"from","to"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","he"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","po"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","sa"
"oe","lo"
"oe","mi"
"oe","mi"
"oe","lp"
"oe","lp"
"oe","ch"
"oe","bl"
"oe","le"
"oe","ri"
"oe","ri"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","po"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","sa"
"he","lo"
"he","lo"
"he","lo"
"he","mi"
"he","lp"
"he","lp"
"he","lp"
"he","lp"
"he","lp"
"he","ch"
"he","do"
"he","li"
"he","ri"
"po","sa"
"po","sa"
"po","sa"
"po","lo"
"po","mi"
"po","mi"
"po","mi"
"po","mi"
"po","mi"
"po","lp"
"po","lp"
"po","lp"
"po","pa"
"po","pa"
"po","ch"
"sa","lo"
"sa","lo"
"sa","mi"
"sa","mi"
"sa","mi"
"sa","lp"
"sa","lp"
"sa","pa"
"sa","ch"
"sa","ch"
"sa","fa"
"lo","mi"
"mi","lp"
"mi","lp"
"mi","ch"
"mi","li"
"da","ri"
