"from","to","weight"
"A1","A1",12
"A1","A2",12
"A1","B1",8
"A1","B2",7
"A1","B3",7
"A1","C1",4
"A1","C2",7
"A1","C3",4
"A2","A2",12
"A2","B1",8
"A2","B2",7
"A2","B3",7
"A2","C1",4
"A2","C2",7
"A2","C3",4
"B1","B1",24
"B1","B2",23
"B1","B3",18
"B1","C1",3
"B1","C2",5
"B1","C3",3
"B2","B2",26
"B2","B3",19
"B2","C1",2
"B2","C2",4
"B2","C3",2
"B3","B3",20
"B3","C1",3
"B3","C2",5
"B3","C3",3
"C1","C1",21
"C1","C2",20
"C1","C3",21
"C2","C2",23
"C2","C3",20
"C3","C3",21
"D1","D1",31
"D1","D2",26
"D2","D2",28
"E1","E1",35
"E1","E2",31
"E1","E3",24
"E2","E2",31
"E2","E3",22
"E3","E3",25
