"from","to","weight"
"Mi63","Mi6369",1
"Mi63","Mino",1
"Mi63","Co65",6
"Mi63","Op60",2
"Mi63","Chonpe",1
"Mi63","Ch69",2
"Mi63","Ch67",1
"Mi63","Ch65",3
"Mi63","Ch64",2
"Mi63","Opress",5
"Mi63","Op6067",2
"Mi63","Op70",2
"Mi63","Op6065",1
"Mi63","Op67",2
"Mi63","Op6268",3
"Mi63","Gl64",1
"Mi63","Gl6469",1
"Mi63","Kusha",1
"Mi63","Ra59",2
"Mi63","Ra60",1
"Mi63","Ra65",1
"Mi63","Mo67",1
"Mi63","Sh62",5
"Mi63","Sh6269",2
"Mi63","Sh6267",3
"Mi63","Sh60",2
"Mi63","Sh6069",3
"Mi63","Mo61",2
"Mi63","Mo6170",1
"Mi63","Mo59",1
"Mi63","S6067",3
"Mi63","S5966",1
"Mi63","Bl5969",1
"Mi63","Bl5964",1
"Mi6369","Ko62",1
"Mi6369","Co65",8
"Mi6369","Op60",1
"Mi6369","Yun",2
"Mi6369","Chonpe",1
"Mi6369","Ch69",4
"Mi6369","Ch67",2
"Mi6369","Ch65",3
"Mi6369","Opress",3
"Mi6369","Op6067",2
"Mi6369","Op70",4
"Mi6369","Op6065",4
"Mi6369","Op67",1
"Mi6369","Op6268",2
"Mi6369","Gl6469",1
"Mi6369","Glance",1
"Mi6369","Kusha",2
"Mi6369","Gl67",1
"Mi6369","K5969",2
"Mi6369","K5964",1
"Mi6369","Ra59",2
"Mi6369","Ra60",1
"Mi6369","Ra65",1
"Mi6369","Mo67",4
"Mi6369","Sh62",1
"Mi6369","Sh6068",1
"Mi6369","Mo59",1
"Mi6369","Ai59",1
"Mi6369","Gl6068",2
"Mi6369","S60",1
"Mi6369","S59",1
"Mi6369","S5968",1
"Mi6369","Bl5969",1
"Mino","Ko62",1
"Mino","Co65",5
"Mino","Op60",3
"Mino","Yun",4
"Mino","Chonpe",5
"Mino","Ch69",1
"Mino","Ch67",1
"Mino","Opress",5
"Mino","Op6067",6
"Mino","Op6065",5
"Mino","Op6268",2
"Mino","Gl64",1
"Mino","Gl6469",1
"Mino","Glance",1
"Mino","K5969",1
"Mino","Ra60",3
"Mino","Ra65",1
"Mino","Mo67",2
"Mino","Sh6269",1
"Mino","Sh60",1
"Mino","Sh6069",1
"Mino","Mo61",2
"Mino","Mo6170",1
"Mino","Ai6170",1
"Mino","Ai6166",1
"Mino","S59",1
"Mino","S5966",3
"Mino","S5968",1
"Mino","Bl5969",2
"Mino","Bl5964",1
"Ko62","Co65",1
"Ko62","Op60",2
"Ko62","Yun",8
"Ko62","Ch69",1
"Ko62","Ch67",9
"Ko62","Ch65",1
"Ko62","Ch64",6
"Ko62","Opress",1
"Ko62","Op70",3
"Ko62","Op6065",4
"Ko62","Op67",2
"Ko62","Op6268",6
"Ko62","Gl6469",1
"Ko62","K60",1
"Ko62","K5969",1
"Ko62","K5964",3
"Ko62","Ra59",1
"Ko62","Ra60",8
"Ko62","Ra65",1
"Ko62","Ra64",1
"Ko62","Ra5866",3
"Ko62","Sh6269",1
"Ko62","Sh6267",1
"Ko62","Sh60",1
"Ko62","Ai59",1
"Ko62","Gl60",1
"Ko62","Gl6068",2
"Ko62","S60",2
"Ko62","S6067",1
"Ko62","S59",1
"Ko62","S5966",5
"Ko62","S5968",3
"Ko62","Bl59",3
"Ko62","Bl5870",1
"Co65","Op60",4
"Co65","Yun",4
"Co65","Chonpe",3
"Co65","Ch69",1
"Co65","Ch67",6
"Co65","Ch65",7
"Co65","Ch64",1
"Co65","Opress",3
"Co65","Op6067",3
"Co65","Op70",3
"Co65","Op6065",5
"Co65","Op6268",2
"Co65","Gl64",2
"Co65","Gl6469",2
"Co65","K60",2
"Co65","Gl60",2
"Co65","Gl67",4
"Co65","K5969",1
"Co65","K5964",2
"Co65","Ra60",1
"Co65","Ra64",4
"Co65","Mo67",3
"Co65","Sh6269",3
"Co65","Sh6267",1
"Co65","Sh60",2
"Co65","Sh6069",1
"Co65","Mo61",1
"Co65","Mo59",2
"Co65","Ai6166",2
"Co65","S60",3
"Co65","S59",1
"Co65","Bl59",1
"Co65","Bl5964",3
"Co65","Bl5870",2
"Co65","Bl5863",1
"Co65","Me62",1
"Op60","Yun",4
"Op60","Ch69",1
"Op60","Ch67",1
"Op60","Ch65",1
"Op60","Ch64",2
"Op60","Op6067",2
"Op60","Op70",2
"Op60","Op6065",2
"Op60","Op67",5
"Op60","Op6268",2
"Op60","Gl6469",4
"Op60","Glance",1
"Op60","Kusha",2
"Op60","K60",3
"Op60","Gl60",5
"Op60","Gl67",6
"Op60","K5969",2
"Op60","K5964",1
"Op60","Ra59",1
"Op60","Ra60",2
"Op60","Ra65",2
"Op60","Ra64",4
"Op60","Ra58",2
"Op60","Mo67",4
"Op60","Sh62",1
"Op60","Sh6269",1
"Op60","Sh6267",2
"Op60","Sh60",3
"Op60","Sh6069",1
"Op60","Sh6068",2
"Op60","Mo61",1
"Op60","Mo6170",1
"Op60","Mo59",3
"Op60","Ai59",2
"Op60","Ai61",1
"Op60","Ai6166",1
"Op60","Gl60",1
"Op60","Gl6068",4
"Op60","S60",1
"Op60","S6065",2
"Op60","S5966",2
"Op60","S5968",1
"Op60","Bl59",3
"Op60","Bl5969",1
"Op60","Bl5964",4
"Op60","Bl5870",3
"Op60","Me62",1
"Yun","Op60",1
"Yun","Chonpe",2
"Yun","Ch69",1
"Yun","Ch67",3
"Yun","Ch65",3
"Yun","Ch64",1
"Yun","Opress",1
"Yun","Op6067",4
"Yun","Op70",1
"Yun","Op6065",1
"Yun","Op67",5
"Yun","Op6268",3
"Yun","Gl64",2
"Yun","Gl6469",4
"Yun","Glance",3
"Yun","Kusha",1
"Yun","K60",1
"Yun","Gl60",5
"Yun","Gl67",1
"Yun","K5969",1
"Yun","K5964",1
"Yun","Ra65",1
"Yun","Ra64",1
"Yun","Ra58",1
