"id","name","lineage","n","m","directed"
1,"1",1,62,1187,TRUE
2,"2",1,62,1187,TRUE
3,"3",1,62,1187,TRUE
4,"4",1,62,1187,TRUE
5,"5",2,62,1187,TRUE
6,"6",2,62,1187,TRUE
7,"7",2,62,1187,TRUE
8,"8",2,62,1187,TRUE
9,"9",2,62,1187,TRUE
10,"10",2,62,1187,TRUE
11,"11",2,62,1187,TRUE
12,"12",2,62,1187,TRUE
13,"13",2,62,1187,TRUE
14,"14",2,62,1187,TRUE
15,"15",2,62,1187,TRUE
16,"16",2,62,1187,TRUE
17,"17",2,62,1187,TRUE
18,"18",2,62,1187,TRUE
19,"19",3,62,1187,TRUE
20,"20",3,62,1187,TRUE
21,"21",3,62,1187,TRUE
22,"22",3,62,1187,TRUE
23,"23",3,62,1187,TRUE
24,"24",3,62,1187,TRUE
25,"25",3,62,1187,TRUE
26,"26",3,62,1187,TRUE
27,"27",3,62,1187,TRUE
28,"28",3,62,1187,TRUE
29,"29",3,62,1187,TRUE
30,"30",3,62,1187,TRUE
31,"31",3,62,1187,TRUE
32,"32",3,62,1187,TRUE
33,"33",3,62,1187,TRUE
34,"34",3,62,1187,TRUE
35,"35",3,62,1187,TRUE
36,"36",3,62,1187,TRUE
37,"37",3,62,1187,TRUE
38,"38",3,62,1187,TRUE
39,"39",3,62,1187,TRUE
40,"40",3,62,1187,TRUE
41,"41",3,62,1187,TRUE
42,"42",3,62,1187,TRUE
43,"43",3,62,1187,TRUE
44,"44",3,62,1187,TRUE
45,"45",3,62,1187,TRUE
46,"46",3,62,1187,TRUE
47,"47",3,62,1187,TRUE
48,"48",3,62,1187,TRUE
49,"49",3,62,1187,TRUE
50,"50",4,62,1187,TRUE
51,"51",4,62,1187,TRUE
52,"52",4,62,1187,TRUE
53,"53",4,62,1187,TRUE
54,"54",4,62,1187,TRUE
55,"55",4,62,1187,TRUE
56,"56",5,62,1187,TRUE
57,"57",5,62,1187,TRUE
58,"58",5,62,1187,TRUE
59,"59",5,62,1187,TRUE
60,"60",5,62,1187,TRUE
61,"61",5,62,1187,TRUE
62,"62",6,62,1187,TRUE
