"id","name","n","m","directed"
1,"1",1174,1417,FALSE
2,"2",1174,1417,FALSE
3,"3",1174,1417,FALSE
4,"4",1174,1417,FALSE
5,"5",1174,1417,FALSE
6,"6",1174,1417,FALSE
7,"7",1174,1417,FALSE
8,"8",1174,1417,FALSE
9,"9",1174,1417,FALSE
10,"10",1174,1417,FALSE
11,"11",1174,1417,FALSE
12,"12",1174,1417,FALSE
13,"13",1174,1417,FALSE
14,"14",1174,1417,FALSE
15,"15",1174,1417,FALSE
16,"16",1174,1417,FALSE
17,"17",1174,1417,FALSE
18,"18",1174,1417,FALSE
19,"19",1174,1417,FALSE
20,"20",1174,1417,FALSE
21,"21",1174,1417,FALSE
22,"22",1174,1417,FALSE
23,"23",1174,1417,FALSE
24,"24",1174,1417,FALSE
25,"25",1174,1417,FALSE
26,"26",1174,1417,FALSE
27,"27",1174,1417,FALSE
28,"28",1174,1417,FALSE
29,"29",1174,1417,FALSE
30,"30",1174,1417,FALSE
31,"31",1174,1417,FALSE
32,"32",1174,1417,FALSE
33,"33",1174,1417,FALSE
34,"34",1174,1417,FALSE
35,"35",1174,1417,FALSE
36,"36",1174,1417,FALSE
37,"37",1174,1417,FALSE
38,"38",1174,1417,FALSE
39,"39",1174,1417,FALSE
40,"40",1174,1417,FALSE
41,"41",1174,1417,FALSE
42,"42",1174,1417,FALSE
43,"43",1174,1417,FALSE
44,"44",1174,1417,FALSE
45,"45",1174,1417,FALSE
46,"46",1174,1417,FALSE
47,"47",1174,1417,FALSE
48,"48",1174,1417,FALSE
49,"49",1174,1417,FALSE
50,"50",1174,1417,FALSE
51,"51",1174,1417,FALSE
52,"52",1174,1417,FALSE
53,"53",1174,1417,FALSE
54,"54",1174,1417,FALSE
55,"55",1174,1417,FALSE
56,"56",1174,1417,FALSE
57,"57",1174,1417,FALSE
58,"58",1174,1417,FALSE
59,"59",1174,1417,FALSE
60,"60",1174,1417,FALSE
61,"61",1174,1417,FALSE
62,"62",1174,1417,FALSE
63,"63",1174,1417,FALSE
64,"64",1174,1417,FALSE
65,"65",1174,1417,FALSE
66,"66",1174,1417,FALSE
67,"67",1174,1417,FALSE
68,"68",1174,1417,FALSE
69,"69",1174,1417,FALSE
70,"70",1174,1417,FALSE
71,"71",1174,1417,FALSE
72,"72",1174,1417,FALSE
73,"73",1174,1417,FALSE
74,"74",1174,1417,FALSE
75,"75",1174,1417,FALSE
76,"76",1174,1417,FALSE
77,"77",1174,1417,FALSE
78,"78",1174,1417,FALSE
79,"79",1174,1417,FALSE
80,"80",1174,1417,FALSE
81,"81",1174,1417,FALSE
82,"82",1174,1417,FALSE
83,"83",1174,1417,FALSE
84,"84",1174,1417,FALSE
85,"85",1174,1417,FALSE
86,"86",1174,1417,FALSE
87,"87",1174,1417,FALSE
88,"88",1174,1417,FALSE
89,"89",1174,1417,FALSE
90,"90",1174,1417,FALSE
91,"91",1174,1417,FALSE
92,"92",1174,1417,FALSE
93,"93",1174,1417,FALSE
94,"94",1174,1417,FALSE
95,"95",1174,1417,FALSE
96,"96",1174,1417,FALSE
97,"97",1174,1417,FALSE
98,"98",1174,1417,FALSE
99,"99",1174,1417,FALSE
100,"100",1174,1417,FALSE
101,"101",1174,1417,FALSE
102,"102",1174,1417,FALSE
103,"103",1174,1417,FALSE
104,"104",1174,1417,FALSE
105,"105",1174,1417,FALSE
106,"106",1174,1417,FALSE
107,"107",1174,1417,FALSE
108,"108",1174,1417,FALSE
109,"109",1174,1417,FALSE
110,"110",1174,1417,FALSE
111,"111",1174,1417,FALSE
112,"112",1174,1417,FALSE
113,"113",1174,1417,FALSE
114,"114",1174,1417,FALSE
115,"115",1174,1417,FALSE
116,"116",1174,1417,FALSE
117,"117",1174,1417,FALSE
118,"118",1174,1417,FALSE
119,"119",1174,1417,FALSE
120,"120",1174,1417,FALSE
121,"121",1174,1417,FALSE
122,"122",1174,1417,FALSE
123,"123",1174,1417,FALSE
124,"124",1174,1417,FALSE
125,"125",1174,1417,FALSE
126,"126",1174,1417,FALSE
127,"127",1174,1417,FALSE
128,"128",1174,1417,FALSE
129,"129",1174,1417,FALSE
130,"130",1174,1417,FALSE
131,"131",1174,1417,FALSE
132,"132",1174,1417,FALSE
133,"133",1174,1417,FALSE
134,"134",1174,1417,FALSE
135,"135",1174,1417,FALSE
136,"136",1174,1417,FALSE
137,"137",1174,1417,FALSE
138,"138",1174,1417,FALSE
139,"139",1174,1417,FALSE
140,"140",1174,1417,FALSE
141,"141",1174,1417,FALSE
142,"142",1174,1417,FALSE
143,"143",1174,1417,FALSE
144,"144",1174,1417,FALSE
145,"145",1174,1417,FALSE
146,"146",1174,1417,FALSE
147,"147",1174,1417,FALSE
148,"148",1174,1417,FALSE
149,"149",1174,1417,FALSE
150,"150",1174,1417,FALSE
151,"151",1174,1417,FALSE
152,"152",1174,1417,FALSE
153,"153",1174,1417,FALSE
154,"154",1174,1417,FALSE
155,"155",1174,1417,FALSE
156,"156",1174,1417,FALSE
157,"157",1174,1417,FALSE
158,"158",1174,1417,FALSE
159,"159",1174,1417,FALSE
160,"160",1174,1417,FALSE
161,"161",1174,1417,FALSE
162,"162",1174,1417,FALSE
163,"163",1174,1417,FALSE
164,"164",1174,1417,FALSE
165,"165",1174,1417,FALSE
166,"166",1174,1417,FALSE
167,"167",1174,1417,FALSE
168,"168",1174,1417,FALSE
169,"169",1174,1417,FALSE
170,"170",1174,1417,FALSE
171,"171",1174,1417,FALSE
172,"172",1174,1417,FALSE
173,"173",1174,1417,FALSE
174,"174",1174,1417,FALSE
175,"175",1174,1417,FALSE
176,"176",1174,1417,FALSE
177,"177",1174,1417,FALSE
178,"178",1174,1417,FALSE
179,"179",1174,1417,FALSE
180,"180",1174,1417,FALSE
181,"181",1174,1417,FALSE
182,"182",1174,1417,FALSE
183,"183",1174,1417,FALSE
184,"184",1174,1417,FALSE
185,"185",1174,1417,FALSE
186,"186",1174,1417,FALSE
187,"187",1174,1417,FALSE
188,"188",1174,1417,FALSE
189,"189",1174,1417,FALSE
190,"190",1174,1417,FALSE
191,"191",1174,1417,FALSE
192,"192",1174,1417,FALSE
193,"193",1174,1417,FALSE
194,"194",1174,1417,FALSE
195,"195",1174,1417,FALSE
196,"196",1174,1417,FALSE
197,"197",1174,1417,FALSE
198,"198",1174,1417,FALSE
199,"199",1174,1417,FALSE
200,"200",1174,1417,FALSE
201,"201",1174,1417,FALSE
202,"202",1174,1417,FALSE
203,"203",1174,1417,FALSE
204,"204",1174,1417,FALSE
205,"205",1174,1417,FALSE
206,"206",1174,1417,FALSE
207,"207",1174,1417,FALSE
208,"208",1174,1417,FALSE
209,"209",1174,1417,FALSE
210,"210",1174,1417,FALSE
211,"211",1174,1417,FALSE
212,"212",1174,1417,FALSE
213,"213",1174,1417,FALSE
214,"214",1174,1417,FALSE
215,"215",1174,1417,FALSE
216,"216",1174,1417,FALSE
217,"217",1174,1417,FALSE
218,"218",1174,1417,FALSE
219,"219",1174,1417,FALSE
220,"220",1174,1417,FALSE
221,"221",1174,1417,FALSE
222,"222",1174,1417,FALSE
223,"223",1174,1417,FALSE
224,"224",1174,1417,FALSE
225,"225",1174,1417,FALSE
226,"226",1174,1417,FALSE
227,"227",1174,1417,FALSE
228,"228",1174,1417,FALSE
229,"229",1174,1417,FALSE
230,"230",1174,1417,FALSE
231,"231",1174,1417,FALSE
232,"232",1174,1417,FALSE
233,"233",1174,1417,FALSE
234,"234",1174,1417,FALSE
235,"235",1174,1417,FALSE
236,"236",1174,1417,FALSE
237,"237",1174,1417,FALSE
238,"238",1174,1417,FALSE
239,"239",1174,1417,FALSE
240,"240",1174,1417,FALSE
241,"241",1174,1417,FALSE
242,"242",1174,1417,FALSE
243,"243",1174,1417,FALSE
244,"244",1174,1417,FALSE
245,"245",1174,1417,FALSE
246,"246",1174,1417,FALSE
247,"247",1174,1417,FALSE
248,"248",1174,1417,FALSE
249,"249",1174,1417,FALSE
250,"250",1174,1417,FALSE
251,"251",1174,1417,FALSE
252,"252",1174,1417,FALSE
253,"253",1174,1417,FALSE
254,"254",1174,1417,FALSE
255,"255",1174,1417,FALSE
256,"256",1174,1417,FALSE
257,"257",1174,1417,FALSE
258,"258",1174,1417,FALSE
259,"259",1174,1417,FALSE
260,"260",1174,1417,FALSE
261,"261",1174,1417,FALSE
262,"262",1174,1417,FALSE
263,"263",1174,1417,FALSE
264,"264",1174,1417,FALSE
265,"265",1174,1417,FALSE
266,"266",1174,1417,FALSE
267,"267",1174,1417,FALSE
268,"268",1174,1417,FALSE
269,"269",1174,1417,FALSE
270,"270",1174,1417,FALSE
271,"271",1174,1417,FALSE
272,"272",1174,1417,FALSE
273,"273",1174,1417,FALSE
274,"274",1174,1417,FALSE
275,"275",1174,1417,FALSE
276,"276",1174,1417,FALSE
277,"277",1174,1417,FALSE
278,"278",1174,1417,FALSE
279,"279",1174,1417,FALSE
280,"280",1174,1417,FALSE
281,"281",1174,1417,FALSE
282,"282",1174,1417,FALSE
283,"283",1174,1417,FALSE
284,"284",1174,1417,FALSE
285,"285",1174,1417,FALSE
286,"286",1174,1417,FALSE
287,"287",1174,1417,FALSE
288,"288",1174,1417,FALSE
289,"289",1174,1417,FALSE
290,"290",1174,1417,FALSE
291,"291",1174,1417,FALSE
292,"292",1174,1417,FALSE
293,"293",1174,1417,FALSE
294,"294",1174,1417,FALSE
295,"295",1174,1417,FALSE
296,"296",1174,1417,FALSE
297,"297",1174,1417,FALSE
298,"298",1174,1417,FALSE
299,"299",1174,1417,FALSE
300,"300",1174,1417,FALSE
301,"301",1174,1417,FALSE
302,"302",1174,1417,FALSE
303,"303",1174,1417,FALSE
304,"304",1174,1417,FALSE
305,"305",1174,1417,FALSE
306,"306",1174,1417,FALSE
307,"307",1174,1417,FALSE
308,"308",1174,1417,FALSE
309,"309",1174,1417,FALSE
310,"310",1174,1417,FALSE
311,"311",1174,1417,FALSE
312,"312",1174,1417,FALSE
313,"313",1174,1417,FALSE
314,"314",1174,1417,FALSE
315,"315",1174,1417,FALSE
316,"316",1174,1417,FALSE
317,"317",1174,1417,FALSE
318,"318",1174,1417,FALSE
319,"319",1174,1417,FALSE
320,"320",1174,1417,FALSE
321,"321",1174,1417,FALSE
322,"322",1174,1417,FALSE
323,"323",1174,1417,FALSE
324,"324",1174,1417,FALSE
325,"325",1174,1417,FALSE
326,"326",1174,1417,FALSE
327,"327",1174,1417,FALSE
328,"328",1174,1417,FALSE
329,"329",1174,1417,FALSE
330,"330",1174,1417,FALSE
331,"331",1174,1417,FALSE
332,"332",1174,1417,FALSE
333,"333",1174,1417,FALSE
334,"334",1174,1417,FALSE
335,"335",1174,1417,FALSE
336,"336",1174,1417,FALSE
337,"337",1174,1417,FALSE
338,"338",1174,1417,FALSE
339,"339",1174,1417,FALSE
340,"340",1174,1417,FALSE
341,"341",1174,1417,FALSE
342,"342",1174,1417,FALSE
343,"343",1174,1417,FALSE
344,"344",1174,1417,FALSE
345,"345",1174,1417,FALSE
346,"346",1174,1417,FALSE
347,"347",1174,1417,FALSE
348,"348",1174,1417,FALSE
349,"349",1174,1417,FALSE
350,"350",1174,1417,FALSE
351,"351",1174,1417,FALSE
352,"352",1174,1417,FALSE
353,"353",1174,1417,FALSE
354,"354",1174,1417,FALSE
355,"355",1174,1417,FALSE
356,"356",1174,1417,FALSE
357,"357",1174,1417,FALSE
358,"358",1174,1417,FALSE
359,"359",1174,1417,FALSE
360,"360",1174,1417,FALSE
361,"361",1174,1417,FALSE
362,"362",1174,1417,FALSE
363,"363",1174,1417,FALSE
364,"364",1174,1417,FALSE
365,"365",1174,1417,FALSE
366,"366",1174,1417,FALSE
367,"367",1174,1417,FALSE
368,"368",1174,1417,FALSE
369,"369",1174,1417,FALSE
370,"370",1174,1417,FALSE
371,"371",1174,1417,FALSE
372,"372",1174,1417,FALSE
373,"373",1174,1417,FALSE
374,"374",1174,1417,FALSE
375,"375",1174,1417,FALSE
376,"376",1174,1417,FALSE
377,"377",1174,1417,FALSE
378,"378",1174,1417,FALSE
379,"379",1174,1417,FALSE
380,"380",1174,1417,FALSE
381,"381",1174,1417,FALSE
382,"382",1174,1417,FALSE
383,"383",1174,1417,FALSE
384,"384",1174,1417,FALSE
385,"385",1174,1417,FALSE
386,"386",1174,1417,FALSE
387,"387",1174,1417,FALSE
388,"388",1174,1417,FALSE
389,"389",1174,1417,FALSE
390,"390",1174,1417,FALSE
391,"391",1174,1417,FALSE
392,"392",1174,1417,FALSE
393,"393",1174,1417,FALSE
394,"394",1174,1417,FALSE
395,"395",1174,1417,FALSE
396,"396",1174,1417,FALSE
397,"397",1174,1417,FALSE
398,"398",1174,1417,FALSE
399,"399",1174,1417,FALSE
400,"400",1174,1417,FALSE
401,"401",1174,1417,FALSE
402,"402",1174,1417,FALSE
403,"403",1174,1417,FALSE
404,"404",1174,1417,FALSE
405,"405",1174,1417,FALSE
406,"406",1174,1417,FALSE
