"id","name","n","m","directed"
1,"1",4941,6594,FALSE
2,"2",4941,6594,FALSE
3,"3",4941,6594,FALSE
4,"4",4941,6594,FALSE
5,"5",4941,6594,FALSE
6,"6",4941,6594,FALSE
7,"7",4941,6594,FALSE
8,"8",4941,6594,FALSE
9,"9",4941,6594,FALSE
10,"10",4941,6594,FALSE
11,"11",4941,6594,FALSE
12,"12",4941,6594,FALSE
13,"13",4941,6594,FALSE
14,"14",4941,6594,FALSE
15,"15",4941,6594,FALSE
16,"16",4941,6594,FALSE
17,"17",4941,6594,FALSE
18,"18",4941,6594,FALSE
19,"19",4941,6594,FALSE
20,"20",4941,6594,FALSE
21,"21",4941,6594,FALSE
22,"22",4941,6594,FALSE
23,"23",4941,6594,FALSE
24,"24",4941,6594,FALSE
25,"25",4941,6594,FALSE
26,"26",4941,6594,FALSE
27,"27",4941,6594,FALSE
28,"28",4941,6594,FALSE
29,"29",4941,6594,FALSE
30,"30",4941,6594,FALSE
31,"31",4941,6594,FALSE
32,"32",4941,6594,FALSE
33,"33",4941,6594,FALSE
34,"34",4941,6594,FALSE
35,"35",4941,6594,FALSE
36,"36",4941,6594,FALSE
37,"37",4941,6594,FALSE
38,"38",4941,6594,FALSE
39,"39",4941,6594,FALSE
40,"40",4941,6594,FALSE
41,"41",4941,6594,FALSE
42,"42",4941,6594,FALSE
43,"43",4941,6594,FALSE
44,"44",4941,6594,FALSE
45,"45",4941,6594,FALSE
46,"46",4941,6594,FALSE
47,"47",4941,6594,FALSE
48,"48",4941,6594,FALSE
49,"49",4941,6594,FALSE
50,"50",4941,6594,FALSE
51,"51",4941,6594,FALSE
52,"52",4941,6594,FALSE
53,"53",4941,6594,FALSE
54,"54",4941,6594,FALSE
55,"55",4941,6594,FALSE
56,"56",4941,6594,FALSE
57,"57",4941,6594,FALSE
58,"58",4941,6594,FALSE
59,"59",4941,6594,FALSE
60,"60",4941,6594,FALSE
61,"61",4941,6594,FALSE
62,"62",4941,6594,FALSE
63,"63",4941,6594,FALSE
64,"64",4941,6594,FALSE
