"from","to"
"Lehigh Valley International","William B Hartsfield-Atlanta Intl"
"Lehigh Valley International","Birmingham International"
"Lehigh Valley International","Cleveland-Hopkins Intl"
"Lehigh Valley International","Charlotte/Douglas International"
"Lehigh Valley International","Cincinnati Northern Kentucky Intl"
"Lehigh Valley International","Detroit Metropolitan-Wayne County"
"Lehigh Valley International","John F Kennedy Intl"
"Lehigh Valley International","LaGuardia"
"Lehigh Valley International","Lincoln Municipal"
"Lehigh Valley International","General Mitchell International"
"Lehigh Valley International","Chicago O'Hare International"
"Lehigh Valley International","Philadelphia Intl"
"Abilene Regional","University of Illinois-Willard"
"Abilene Regional","Dallas-Fort Worth International"
"Albuquerque International","Amarillo International"
"Albuquerque International","William B Hartsfield-Atlanta Intl"
"Albuquerque International","Austin-Bergstrom International"
"Albuquerque International","Baltimore-Washington International"
"Albuquerque International","Cleveland-Hopkins Intl"
"Albuquerque International","City of Colorado Springs Muni"
"Albuquerque International","Cincinnati Northern Kentucky Intl"
"Albuquerque International","Dallas Love"
"Albuquerque International","Denver Intl"
"Albuquerque International","Dallas-Fort Worth International"
"Albuquerque International","Durango-La Plata County"
"Albuquerque International","El Paso International"
"Albuquerque International","Newark Intl"
"Albuquerque International","William P Hobby"
"Albuquerque International","Washington Dulles International"
"Albuquerque International","George Bush Intercontinental"
"Albuquerque International","McCarran International"
"Albuquerque International","Los Angeles International"
"Albuquerque International","Lubbock International"
"Albuquerque International","Midland International"
"Albuquerque International","Kansas City International"
"Albuquerque International","Orlando International"
"Albuquerque International","Chicago Midway"
"Albuquerque International","Minneapolis-St Paul Intl"
"Albuquerque International","Metropolitan Oakland International"
"Albuquerque International","Will Rogers World"
"Albuquerque International","Eppley Airfield"
"Albuquerque International","Ontario International"
"Albuquerque International","Chicago O'Hare International"
"Albuquerque International","Portland Intl"
"Albuquerque International","Phoenix Sky Harbor International"
"Albuquerque International","San Diego International-Lindbergh"
"Albuquerque International","San Antonio International"
"Albuquerque International","Seattle-Tacoma Intl"
"Albuquerque International","San Francisco International"
"Albuquerque International","Salt Lake City Intl"
"Albuquerque International","Sacramento International"
"Albuquerque International","Lambert-St Louis International"
"Albuquerque International","Tampa International"
"Albuquerque International","Tulsa International"
"Albuquerque International","Tucson International"
"Southwest Georgia Regional","William B Hartsfield-Atlanta Intl"
"Nantucket Memorial","Gen Edw L Logan Intl"
"Nantucket Memorial","Newark Intl"
"Nantucket Memorial","John F Kennedy Intl"
"Waco Regional","Dallas-Fort Worth International"
"Arcata","Jack McNamara"
"Arcata","Monterey Peninsula"
"Arcata","San Francisco International"
"Arcata","San Jose International"
"Arcata","Salt Lake City Intl"
