"id","name","city","state","country","latitude","longitude","n","m","directed"
1,"1","Allentown","PA","USA",40.65236278,-75.44040167,276,2682,FALSE
2,"2","Abilene","TX","USA",32.41132,-99.68189722,276,2682,FALSE
3,"3","Albuquerque","NM","USA",35.04022222,-106.6091944,276,2682,FALSE
4,"4","Albany","GA","USA",31.535515,-84.19447333,276,2682,FALSE
5,"5","Nantucket","MA","USA",41.25305194,-70.06018139,276,2682,FALSE
6,"6","Waco","TX","USA",31.61128833,-97.23051917,276,2682,FALSE
7,"7","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,276,2682,FALSE
8,"8","Atlantic City","NJ","USA",39.45758333,-74.57716667,276,2682,FALSE
9,"9","Alexandria","LA","USA",31.32737167,-92.54855611,276,2682,FALSE
10,"10","Augusta","GA","USA",33.369955,-81.96449611,276,2682,FALSE
11,"11","Albany","NY","USA",42.74811944,-73.80297861,276,2682,FALSE
12,"12","Waterloo","IA","USA",42.55708139,-92.40034361,276,2682,FALSE
13,"13","Amarillo","TX","USA",35.2193725,-101.7059272,276,2682,FALSE
14,"14","Aspen","CO","USA",39.22316,-106.868845,276,2682,FALSE
15,"15","Atlanta","GA","USA",33.64044444,-84.42694444,276,2682,FALSE
16,"16","Appleton","WI","USA",44.25740806,-88.51947556,276,2682,FALSE
17,"17","Austin","TX","USA",30.19453278,-97.66987194,276,2682,FALSE
18,"18","Asheville","NC","USA",35.43619444,-82.54180556,276,2682,FALSE
19,"19","Wilkes-Barre/Scranton","PA","USA",41.33814944,-75.7242675,276,2682,FALSE
20,"20","Kalamazoo","MI","USA",42.234875,-85.5520575,276,2682,FALSE
21,"21","Windsor Locks","CT","USA",41.93887417,-72.68322833,276,2682,FALSE
22,"22","Bakersfield","CA","USA",35.43359806,-119.0567681,276,2682,FALSE
23,"23","Binghamton","NY","USA",42.20848278,-75.97961361,276,2682,FALSE
24,"24","Bangor","ME","USA",44.80744444,-68.82813889,276,2682,FALSE
25,"25","Birmingham","AL","USA",33.56294306,-86.75354972,276,2682,FALSE
26,"26","Billings","MT","USA",45.8076625,-108.5428611,276,2682,FALSE
27,"27","Bismarck","ND","USA",46.77411111,-100.7467222,276,2682,FALSE
28,"28","Bemidji","MN","USA",47.50942417,-94.93372333,276,2682,FALSE
29,"29","Bellingham","WA","USA",48.79275,-122.5375278,276,2682,FALSE
30,"30","Bloomington","IL","USA",40.47798556,-88.91595278,276,2682,FALSE
31,"31","Nashville","TN","USA",36.12447667,-86.67818222,276,2682,FALSE
32,"32","Boise","ID","USA",43.56444444,-116.2227778,276,2682,FALSE
33,"33","Boston","MA","USA",42.3643475,-71.00517917,276,2682,FALSE
34,"34","Beaumont/Port Arthur","TX","USA",29.95083333,-94.02069444,276,2682,FALSE
35,"35","Brunswick","GA","USA",31.25902778,-81.46630556,276,2682,FALSE
36,"36","Brownsville","TX","USA",25.90683333,-97.42586111,276,2682,FALSE
37,"37","Butte","MT","USA",45.95479528,-112.49746,276,2682,FALSE
38,"38","Baton Rouge","LA","USA",30.53316083,-91.14963444,276,2682,FALSE
39,"39","Burlington","VT","USA",44.47300361,-73.1503125,276,2682,FALSE
40,"40","Buffalo","NY","USA",42.94052472,-78.73216667,276,2682,FALSE
41,"41","Burbank","CA","USA",34.20061917,-118.3584969,276,2682,FALSE
42,"42","Baltimore","MD","USA",39.17540167,-76.66819833,276,2682,FALSE
43,"43","Bozeman","MT","USA",45.77690139,-111.1530072,276,2682,FALSE
44,"44","Columbia","SC","USA",33.93884,-81.11953944,276,2682,FALSE
45,"45","Akron","OH","USA",40.91631194,-81.44246556,276,2682,FALSE
46,"46","Cedar City","UT","USA",37.70097028,-113.098575,276,2682,FALSE
47,"47","Crescent City","CA","USA",41.78015722,-124.2365333,276,2682,FALSE
48,"48","Chattanooga","TN","USA",35.03526833,-85.20378778,276,2682,FALSE
49,"49","Charlottesville","VA","USA",38.13863889,-78.45286111,276,2682,FALSE
50,"50","Charleston","SC","USA",32.89864639,-80.04050583,276,2682,FALSE
51,"51","Chico","CA","USA",39.79538278,-121.8584231,276,2682,FALSE
52,"52","Cedar Rapids","IA","USA",41.88458833,-91.71087222,276,2682,FALSE
53,"53",NA,NA,"USA",33.127231,-117.278727,276,2682,FALSE
54,"54","Cleveland","OH","USA",41.41089417,-81.84939667,276,2682,FALSE
55,"55","College Station","TX","USA",30.58858944,-96.36382417,276,2682,FALSE
56,"56","Charlotte","NC","USA",35.21401111,-80.94312583,276,2682,FALSE
57,"57","Columbus","OH","USA",39.99798528,-82.89188278,276,2682,FALSE
58,"58","Champaign/Urbana","IL","USA",40.03925,-88.27805556,276,2682,FALSE
59,"59","Hancock","MI","USA",47.16841722,-88.48906083,276,2682,FALSE
60,"60","Cody","WY","USA",44.52019417,-109.0237961,276,2682,FALSE
61,"61","Colorado Springs","CO","USA",38.80580556,-104.70025,276,2682,FALSE
62,"62","Casper","WY","USA",42.90835556,-106.4644661,276,2682,FALSE
63,"63","Corpus Christi","TX","USA",27.77036083,-97.50121528,276,2682,FALSE
64,"64","Charleston","WV","USA",38.37315083,-81.59318972,276,2682,FALSE
65,"65","Columbus","GA","USA",32.51633333,-84.93886111,276,2682,FALSE
66,"66","Covington","KY","USA",39.04614278,-84.6621725,276,2682,FALSE
67,"67","Mosinee","WI","USA",44.77761917,-89.66677944,276,2682,FALSE
68,"68","Cheyenne","WY","USA",41.1557225,-104.8118381,276,2682,FALSE
69,"69","Daytona Beach","FL","USA",29.17991667,-81.05805556,276,2682,FALSE
70,"70","Dallas","TX","USA",32.84711389,-96.85177222,276,2682,FALSE
71,"71","Dayton","OH","USA",39.90237583,-84.219375,276,2682,FALSE
72,"72","Dubuque","IA","USA",42.40295944,-90.70916722,276,2682,FALSE
73,"73","Arlington","VA","USA",38.85208333,-77.03772222,276,2682,FALSE
74,"74","Denver","CO","USA",39.85840806,-104.6670019,276,2682,FALSE
75,"75","Dallas-Fort Worth","TX","USA",32.89595056,-97.0372,276,2682,FALSE
76,"76","Dothan","AL","USA",31.32133917,-85.44962889,276,2682,FALSE
77,"77","Duluth","MN","USA",46.84209028,-92.19364861,276,2682,FALSE
78,"78","Durango","CO","USA",37.15151667,-107.7537692,276,2682,FALSE
79,"79","Des Moines","IA","USA",41.53493306,-93.66068222,276,2682,FALSE
80,"80","Detroit","MI","USA",42.21205889,-83.34883583,276,2682,FALSE
81,"81","Eagle","CO","USA",39.64256778,-106.9176953,276,2682,FALSE
82,"82","Elko","NV","USA",40.82492611,-115.7916964,276,2682,FALSE
83,"83","Elmira","NY","USA",42.15991361,-76.89144333,276,2682,FALSE
84,"84","El Paso","TX","USA",31.80666667,-106.3778056,276,2682,FALSE
85,"85","Erie","PA","USA",42.08202139,-80.17621556,276,2682,FALSE
86,"86","Eugene","OR","USA",44.12326,-123.2186856,276,2682,FALSE
87,"87","Evansville","IN","USA",38.03799139,-87.53062667,276,2682,FALSE
88,"88","New Bern","NC","USA",35.07297222,-77.04294444,276,2682,FALSE
89,"89","Newark","NJ","USA",40.69249722,-74.16866056,276,2682,FALSE
90,"90","Key West","FL","USA",24.55611111,-81.75955556,276,2682,FALSE
91,"91","Fargo","ND","USA",46.91934889,-96.81498889,276,2682,FALSE
92,"92","Fresno","CA","USA",36.77619444,-119.7181389,276,2682,FALSE
93,"93","Fayetteville","NC","USA",34.99147222,-78.88,276,2682,FALSE
94,"94","Kalispell","MT","USA",48.31140472,-114.2550694,276,2682,FALSE
95,"95","Flagstaff","AZ","USA",35.13845472,-111.6712183,276,2682,FALSE
96,"96","Ft. Lauderdale","FL","USA",26.07258333,-80.15275,276,2682,FALSE
97,"97","Florence","SC","USA",34.18536111,-79.72388889,276,2682,FALSE
98,"98","Flint","MI","USA",42.96550333,-83.74345639,276,2682,FALSE
99,"99","Sioux Falls","SD","USA",43.58135111,-96.74170028,276,2682,FALSE
100,"100","Fort Smith","AR","USA",35.33659028,-94.36744111,276,2682,FALSE
101,"101","Fort Wayne","IN","USA",40.97846583,-85.19514639,276,2682,FALSE
102,"102","Gillette","WY","USA",44.34889806,-105.5393614,276,2682,FALSE
103,"103","Spokane","WA","USA",47.61985556,-117.5338425,276,2682,FALSE
104,"104","Grand Forks","ND","USA",47.949255,-97.17611111,276,2682,FALSE
105,"105","Longview","TX","USA",32.38486111,-94.71171,276,2682,FALSE
106,"106","Grand Junction","CO","USA",39.1224125,-108.5267347,276,2682,FALSE
107,"107","Gainesville","FL","USA",29.69005556,-82.27177778,276,2682,FALSE
108,"108","Gulfport-Biloxi","MS","USA",30.40728028,-89.07009278,276,2682,FALSE
109,"109","Green Bay","WI","USA",44.48507333,-88.12959,276,2682,FALSE
110,"110","Killeen","TX","USA",31.06489778,-97.82779778,276,2682,FALSE
111,"111","Grand Rapids","MI","USA",42.88081972,-85.52276778,276,2682,FALSE
112,"112","Greensboro","NC","USA",36.09774694,-79.9372975,276,2682,FALSE
113,"113","Greer","SC","USA",34.89566722,-82.21885833,276,2682,FALSE
114,"114","Great Falls","MT","USA",47.48200194,-111.3706853,276,2682,FALSE
115,"115","Columbus-Starkville-West Point","MS","USA",33.45033444,-88.59136861,276,2682,FALSE
116,"116","Gunnison","CO","USA",38.53396333,-106.9331817,276,2682,FALSE
117,"117","Hayden","CO","USA",40.48118028,-107.2176597,276,2682,FALSE
118,"118",NA,NA,"USA",32.224384,-80.697629,276,2682,FALSE
119,"119","Helena","MT","USA",46.60681806,-111.9827503,276,2682,FALSE
120,"120","Houston","TX","USA",29.64541861,-95.27888889,276,2682,FALSE
121,"121","White Plains","NY","USA",41.06695778,-73.70757444,276,2682,FALSE
122,"122","Harlingen","TX","USA",26.22850611,-97.65439389,276,2682,FALSE
123,"123","Huntsville","AL","USA",34.6404475,-86.77310944,276,2682,FALSE
124,"124","Huntington","WV","USA",38.36666667,-82.55802778,276,2682,FALSE
125,"125","Chantilly","VA","USA",38.94453194,-77.45580972,276,2682,FALSE
126,"126","Houston","TX","USA",29.98047222,-95.33972222,276,2682,FALSE
127,"127","Wichita","KS","USA",37.64995889,-97.43304583,276,2682,FALSE
