"from","to","weight"
"ANGELA","CAROLYN",NA
"ANGELA","LESTER","4.0"
"ANGELA","RICKY","3.0"
"ANNOUNCER","LESTER",NA
"ATTENDANT","CAROLYN",NA
"BARBARA","COLONEL",NA
"BARBARA","JANE",NA
"BRAD","LESTER","2.0"
"BUDDY","CAROLYN","6.0"
"BUDDY","CHRISTY",NA
"BUDDY","COUNTER GIRL","2.0"
"BUDDY","LESTER","2.0"
"CAROLYN","CHRISTY",NA
"CAROLYN","COUNTER GIRL","2.0"
"CAROLYN","JIM #1",NA
"CAROLYN","WOMAN #1",NA
"CAROLYN","WOMAN #2",NA
"CATERING BOSS","CAROLYN",NA
"CO-WORKER","BUDDY",NA
"CO-WORKER","CAROLYN",NA
"CO-WORKER","COUNTER GIRL",NA
"CO-WORKER","LESTER",NA
"COLONEL","RICKY","5.0"
"DRIVE-THRU GIRL","COUNTER GIRL",NA
"DRIVE-THRU GIRL","LESTER",NA
"JANE","ANGELA","8.0"
"JANE","CAROLYN","5.0"
"JIM #1","COLONEL",NA
"JIM #2","COLONEL",NA
"JIM #2","JIM #1","2.0"
"LESTER","CAROLYN","10.0"
"LESTER","CATERING BOSS",NA
"LESTER","CHRISTY",NA
"LESTER","COLONEL",NA
"LESTER","COUNTER GIRL","3.0"
"LESTER","JANE","7.0"
"LESTER","JIM #1","2.0"
"LESTER","JIM #2","2.0"
"MANAGER","LESTER",NA
"RICKY","BARBARA","4.0"
"RICKY","CAROLYN",NA
"RICKY","CATERING BOSS",NA
"RICKY","JANE","7.0"
"RICKY","LESTER","4.0"
"TAPE VOICE","CAROLYN",NA
"WOMAN #1","WOMAN #2",NA
