"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ANGELA","51","2.0","1.8095238095238095","0.0","4","0","0"
2,"ANNOUNCER","51","3.0","2.1904761904761907","0.0","1","0","2"
3,"ATTENDANT","51","3.0","2.2857142857142856","0.0","1","0","3"
4,"BARBARA","51","3.0","2.4285714285714284","0.3333333333333333","3","0","0"
5,"BRAD","51","3.0","2.1904761904761907","0.0","1","0","2"
6,"BUDDY","51","3.0","1.8095238095238095","0.6666666666666666","5","0","2"
7,"CAROLYN","51","2.0","1.3333333333333333","87.76666666666665","14","0","3"
8,"CATERING BOSS","51","2.0","1.8571428571428572","0.0","3","0","3"
9,"CHRISTY","51","3.0","1.9047619047619047","0.0","3","0","2"
10,"CO-WORKER","51","3.0","1.8571428571428572","0.0","4","0","2"
11,"COLONEL","51","3.0","1.9523809523809523","5.300000000000001","5","0","1"
12,"COUNTER GIRL","51","3.0","1.8095238095238095","3.5","5","0","2"
13,"DRIVE-THRU GIRL","51","3.0","2.142857142857143","0.0","2","0","2"
14,"JANE","51","2.0","1.7619047619047619","6.266666666666668","5","0","0"
15,"JIM #1","51","2.0","1.8095238095238095","4.166666666666666","4","0","1"
16,"JIM #2","51","3.0","2.0476190476190474","0.0","3","0","1"
17,"LESTER","51","2.0","1.2380952380952381","102.06666666666669","16","0","2"
18,"MANAGER","51","3.0","2.1904761904761907","0.0","1","0","2"
19,"RICKY","51","2.0","1.6666666666666667","10.933333333333332","7","0","0"
20,"TAPE VOICE","51","3.0","2.2857142857142856","0.0","1","0","3"
21,"WOMAN #1","51","3.0","2.238095238095238","0.0","2","0","3"
22,"WOMAN #2","51","3.0","2.238095238095238","0.0","2","0","3"
