"from","to","weight"
"BLACK MAN","WHITE GIRL",NA
"BLACK WOMAN","DANNY",NA
"BLACK WOMAN","DORIS",NA
"BLACK WOMAN","SETH",NA
"BUDDY #1","BUDDY #2",NA
"BUDDY #1","DARYL",NA
"CAMMERON","BLACK MAN",NA
"CAMMERON","CURTIS","2.0"
"CAMMERON","DANNY","2.0"
"CAMMERON","ET AL",NA
"CAMMERON","LAWRENCE",NA
"CAMMERON","SETH","3.0"
"CAMMERON","WHITE GIRL",NA
"CASSANDRA","CURTIS",NA
"CASSANDRA","DEREK",NA
"CASSANDRA","JASON",NA
"CASSANDRA","LIZZY",NA
"CHRIS","DANNY","4.0"
"CHRIS","DORIS",NA
"CMRIS","CHRIS","2.0"
"CMRIS","DANNY",NA
"CMRIS","DEREK",NA
"CMRIS","JASON","2.0"
"COP #1","COP #2",NA
"COP #2","ANOTHER COP",NA
"COP #2","DEREK",NA
"CURTIS","ET AL",NA
"CURTIS","LIZZY",NA
"DANNY","COP #1",NA
"DANNY","CURTIS",NA
"DANNY","DENNIS",NA
"DANNY","LITTLE HENRY",NA
"DANNY","MURRAY",NA
"DANNY","RASMUSSEN",NA
"DANNY","SETH","7.0"
"DANNY","STACEY","6.0"
"DANNY","SWEENEY","4.0"
"DARYL","BUDDY #2",NA
"DAVINA","DANNY","5.0"
"DAVINA","DORIS","3.0"
"DAVINA","STACEY","2.0"
"DENNIS","DAVINA",NA
"DENNIS","DEREK",NA
"DEREK","CAMMERON","5.0"
"DEREK","CHRIS",NA
"DEREK","COP #1",NA
"DEREK","CURTIS","2.0"
"DEREK","DANNY","11.0"
"DEREK","DAVINA","5.0"
"DEREK","JASON",NA
"DEREK","LAMONT",NA
"DEREK","LAWRENCE","2.0"
"DEREK","LIZZY",NA
"DEREK","MURRAY","2.0"
"DEREK","RASMUSSEN","2.0"
"DEREK","SETH","8.0"
"DEREK","STACEY","6.0"
"DEREK","SWEENEY","2.0"
"DORIS","DANNY","5.0"
"DORIS","DENNIS",NA
"DORIS","DEREK","5.0"
"DORIS","MURRAY","2.0"
"DORIS","SETH",NA
"ET AL","DANNY",NA
"ET AL","DEREK",NA
"ET AL","SETH",NA
"ET AL","STACEY",NA
"HOMELESS MAN","CAMMERON",NA
"HOMELESS MAN","SETH",NA
"HUGE ARYAN","LAMONT",NA
"JASON","CHRIS","5.0"
"JASON","DANNY","4.0"
"JASON","DORIS",NA
"LAWRENCE","CURTIS",NA
"LAWRENCE","DANNY","3.0"
"LAWRENCE","STACEY",NA
"LITTLE HENRY","BUDDY #1",NA
"LITTLE HENRY","BUDDY #2",NA
"LITTLE HENRY","DARYL",NA
"LITTLE HENRY","JEROME",NA
"LIZZY","DANNY","2.0"
"MURRAY","DAVINA",NA
"MURRAY","SWEENEY","3.0"
"OLD TEACHER","DANNY",NA
"RASMUSSEN","ANOTHER COP",NA
"RASMUSSEN","COP #2",NA
"RASMUSSEN","SWEENEY","2.0"
"RASMUSSEN","YOUNG COP",NA
"REPORTER","DEREK",NA
"REPORTER","RASMUSSEN",NA
"SETH","BLACK MAN",NA
"SETH","CHRIS",NA
"SETH","CMRIS",NA
"SETH","CURTIS",NA
"SETH","DAVINA","2.0"
"SETH","JASON",NA
"SETH","LAWRENCE",NA
"SETH","STACEY","2.0"
"SETH","WHITE GIRL",NA
"STACEY","CAMMERON","2.0"
"STACEY","CURTIS",NA
"STACEY","DORIS","2.0"
"STACEY","MURRAY",NA
"STEVIE","DEREK","2.0"
"SWEENEY","ANOTHER COP",NA
"SWEENEY","CHRIS",NA
"SWEENEY","CMRIS",NA
"SWEENEY","COP #2",NA
"SWEENEY","DESK SERGEANT",NA
"SWEENEY","JASON",NA
"SWEENEY","REPORTER",NA
"SWEENEY","YOUNG COP",NA
"YOUNG COP","REPORTER",NA
"YOUNG MAN","LAMONT",NA
