"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ANOTHER COP","54","4.0","2.8157894736842106","0.0","3","0","1"
2,"BLACK MAN","54","4.0","2.736842105263158","0.0","3","0","5"
3,"BLACK WOMAN","54","4.0","2.3421052631578947","0.0","3","0","4"
4,"BUDDY #1","54","5.0","3.1842105263157894","0.0","3","0","0"
5,"BUDDY #2","54","5.0","3.1842105263157894","0.0","3","0","0"
6,"CAMMERON","54","3.0","1.9736842105263157","40.01364468864469","10","0","5"
7,"CASSANDRA","54","4.0","2.3947368421052633","0.5833333333333333","4","0","3"
8,"CHRIS","54","3.0","1.9736842105263157","2.8186813186813184","7","0","3"
9,"CMRIS","54","3.0","2.0","1.9686813186813186","6","0","3"
10,"COP #1","54","3.0","2.210526315789474","1.9166666666666665","3","0","4"
11,"COP #2","54","4.0","2.289473684210526","6.4472527472527466","5","0","1"
12,"CURTIS","54","3.0","2.0","8.338888888888889","9","0","5"
13,"DANNY","54","3.0","1.5","270.64059829059823","21","0","4"
14,"DARYL","54","5.0","3.1842105263157894","0.0","3","0","0"
15,"DAVINA","54","3.0","2.0526315789473686","1.825","7","0","4"
16,"DENNIS","54","3.0","2.210526315789474","0.0","4","0","4"
17,"DEREK","54","3.0","1.5","255.19542124542122","23","0","3"
18,"DESK SERGEANT","54","4.0","2.8947368421052633","0.0","1","0","1"
19,"DORIS","54","3.0","1.9736842105263157","8.580555555555554","10","0","4"
20,"ET AL","54","3.0","2.0789473684210527","0.0","6","0","5"
21,"HOMELESS MAN","54","4.0","2.763157894736842","0.0","2","0","5"
22,"HUGE ARYAN","54","5.0","3.3421052631578947","0.0","1","0","2"
23,"JASON","54","3.0","1.9473684210526316","8.835347985347985","8","0","3"
24,"JEROME","54","5.0","3.236842105263158","0.0","1","0","0"
25,"LAMONT","54","4.0","2.3684210526315788","73.0","3","0","2"
26,"LAWRENCE","54","3.0","2.0789473684210527","0.0","6","0","5"
27,"LITTLE HENRY","54","4.0","2.263157894736842","139.0","5","0","0"
28,"LIZZY","54","3.0","2.210526315789474","1.8611111111111112","4","0","3"
29,"MURRAY","54","3.0","2.0789473684210527","2.65","6","0","4"
30,"OLD TEACHER","54","4.0","2.473684210526316","0.0","1","0","4"
31,"RASMUSSEN","54","3.0","2.0526315789473686","27.524725274725274","7","0","1"
32,"REPORTER","54","4.0","2.3157894736842106","4.304395604395605","4","0","1"
33,"SETH","54","3.0","1.8157894736842106","78.30302197802197","16","0","5"
34,"STACEY","54","3.0","1.9736842105263157","4.449999999999999","10","0","5"
35,"STEVIE","54","4.0","2.473684210526316","0.0","1","0","3"
36,"SWEENEY","54","3.0","1.9210526315789473","82.74267399267399","12","0","1"
37,"WHITE GIRL","54","4.0","2.736842105263158","0.0","3","0","5"
38,"YOUNG COP","54","4.0","2.8421052631578947","0.0","3","0","1"
39,"YOUNG MAN","54","5.0","3.3421052631578947","0.0","1","0","2"
