"from","to","weight"
"ACCOUNTANT","WILLARD",NA
"AGENT","CHEF",NA
"AGENT","CHIEF",NA
"AGENT","CLEAN",NA
"AGENT","LANCE",NA
"AGENT","PILOT",NA
"AGENT","TERRI",NA
"AGENT","WILLARD",NA
"AUSTRALIAN","CHEF",NA
"AUSTRALIAN","COLBY",NA
"AUSTRALIAN","KURTZ",NA
"AUSTRALIAN","LANCE",NA
"AUSTRALIAN","MAN",NA
"AUSTRALIAN","MOONBY",NA
"CAPTAIN","CIVILIAN",NA
"CAPTAIN","WILLARD",NA
"CATHY","CLEAN",NA
"CHARLIE","ACCOUNTANT",NA
"CHARLIE","LAWYER",NA
"CHARLIE","WILLARD",NA
"CHEF","CHIEF","7.0"
"CHEF","COLBY",NA
"CHEF","FRENCHMAN",NA
"CHEF","GASTON","2.0"
"CHEF","KURTZ","3.0"
"CHEF","LYNDA",NA
"CHEF","MAN",NA
"CHEF","MOONBY",NA
"CHEF","PHILIPPE","2.0"
"CHEF","ROXANNE",NA
"CHEF","SOLDIER","2.0"
"CHEF","WILLARD","10.0"
"CHIEF","FRENCHMAN",NA
"CHIEF","GUARD",NA
"CHIEF","GUNNER","2.0"
"CHIEF","LIEUTENANT",NA
"CHIEF","OTHER SOLDIER",NA
"CHIEF","OTHERS",NA
"CHIEF","PHILIPPE",NA
"CHIEF","ROACH",NA
"CHIEF","SERGEANT",NA
"CHIEF","SPOTTER",NA
"CHIEF","TOM",NA
"CHIEF","WILLARD","10.0"
"CIVILIAN","CHEF",NA
"CIVILIAN","CHIEF",NA
"CIVILIAN","CLEAN",NA
"CIVILIAN","KURTZ",NA
"CIVILIAN","LANCE",NA
"CLEAN","CHEF","5.0"
"CLEAN","CHIEF","6.0"
"CLEAN","FRENCHMAN",NA
"CLEAN","GASTON",NA
"CLEAN","OTHERS",NA
"CLEAN","PHILIPPE",NA
"CLEAN","WILLARD","6.0"
"COLBY","WILLARD","2.0"
"COLONEL","CHEF",NA
"COLONEL","CHIEF",NA
"COLONEL","CIVILIAN",NA
"COLONEL","CLEAN",NA
"COLONEL","KURTZ",NA
"COLONEL","LANCE",NA
"COLONEL","MAJOR",NA
"FRENCHMAN","GASTON",NA
"FRENCHMAN","PHILIPPE",NA
"GASTON","CHIEF",NA
"GASTON","PHILIPPE",NA
"GASTON","ROXANNE",NA
"GASTON","WILLARD","2.0"
"GUARD","LANCE",NA
"GUNNER","CHEF",NA
"GUNNER","CLEAN",NA
"GUNNER","OTHER SOLDIER",NA
"GUNNER","ROACH",NA
"GUNNER","SPOTTER",NA
"KILGORE","CHEF",NA
"KILGORE","CHIEF","2.0"
"KILGORE","CLEAN",NA
"KILGORE","GUARD",NA
"KILGORE","GUNNER",NA
"KILGORE","LANCE","3.0"
"KILGORE","LIEUTENANT",NA
"KILGORE","MIKE","2.0"
"KILGORE","OTHERS",NA
"KILGORE","PILOT",NA
"KILGORE","SOLDIER",NA
"KILGORE","TOM",NA
"KILGORE","WILLARD","5.0"
"KURTZ","CHIEF",NA
"KURTZ","CLEAN",NA
"KURTZ","COLBY","2.0"
"KURTZ","WILLARD","5.0"
"KURTZ'S WIFE","KURTZ",NA
"KURTZ'S WIFE","WILLARD",NA
"LANCE","CATHY",NA
"LANCE","CHEF","6.0"
"LANCE","CHIEF","5.0"
"LANCE","CLEAN","5.0"
"LANCE","COLBY",NA
"LANCE","FRENCHMAN",NA
"LANCE","GASTON","2.0"
"LANCE","GUNNER","2.0"
"LANCE","KURTZ","2.0"
"LANCE","MAN",NA
"LANCE","MIKE",NA
"LANCE","OTHER SOLDIER",NA
"LANCE","OTHERS",NA
"LANCE","PHILIPPE","2.0"
"LANCE","ROACH",NA
"LANCE","ROXANNE",NA
"LANCE","SERGEANT",NA
"LANCE","SPOTTER",NA
"LANCE","TOM",NA
"LANCE","WILLARD","10.0"
"LAWYER","ACCOUNTANT",NA
"LAWYER","WILLARD",NA
"LIEUTENANT","CHEF",NA
"LIEUTENANT","CLEAN",NA
"LIEUTENANT","GUNNER",NA
"LIEUTENANT","LANCE",NA
"LIEUTENANT","OTHER SOLDIER",NA
"LIEUTENANT","ROACH",NA
"LIEUTENANT","SPOTTER",NA
"MAJOR","CHEF",NA
"MAJOR","CHIEF",NA
"MAJOR","CIVILIAN",NA
"MAJOR","CLEAN",NA
"MAJOR","KURTZ",NA
"MAJOR","LANCE",NA
"MAN","COLBY",NA
"MAN","KURTZ",NA
"MIKE","CHEF",NA
"MIKE","CHIEF","2.0"
"MIKE","CLEAN",NA
"MIKE","GUNNER",NA
"MIKE","OTHERS",NA
"MIKE","TOM",NA
"MOONBY","COLBY",NA
"MOONBY","KURTZ","2.0"
"MOONBY","LANCE",NA
"MOONBY","MAN",NA
"MOONBY","WILLARD",NA
"NIGHT","CHEF",NA
"NIGHT","CHIEF",NA
"NIGHT","CLEAN",NA
"NIGHT","GUNNER",NA
"NIGHT","KURTZ",NA
"NIGHT","LANCE",NA
"NIGHT","LIEUTENANT",NA
"NIGHT","OTHER SOLDIER",NA
"NIGHT","ROACH",NA
"NIGHT","SOLDIER",NA
"NIGHT","SPOTTER",NA
"NIGHT","WILLARD","2.0"
"OTHER SOLDIER","CHEF",NA
"OTHER SOLDIER","CLEAN",NA
