"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ACCOUNTANT","74","3.0","1.9743589743589745","0.0","3","0","0"
2,"AGENT","74","2.0","1.794871794871795","0.3333333333333333","8","0","2"
3,"AUSTRALIAN","74","2.0","1.8205128205128205","0.0","7","0","1"
4,"CAPTAIN","74","3.0","2.0","0.0","2","0","0"
5,"CATHY","74","3.0","2.1025641025641026","0.0","2","0","2"
6,"CHARLIE","74","3.0","1.9743589743589745","0.0","3","0","0"
7,"CHEF","74","2.0","1.205128205128205","103.97857142857143","31","0","1"
8,"CHIEF","74","2.0","1.3076923076923077","43.861904761904775","27","0","3"
9,"CIVILIAN","74","2.0","1.7692307692307692","4.5","9","0","0"
10,"CLEAN","74","2.0","1.3333333333333333","46.0452380952381","26","0","2"
11,"COLBY","74","2.0","1.8205128205128205","0.0","7","0","1"
12,"COLONEL","74","2.0","1.794871794871795","0.0","8","0","0"
13,"FRENCHMAN","74","2.0","1.8205128205128205","0.0","7","0","2"
14,"GASTON","74","2.0","1.794871794871795","0.6000000000000001","8","0","2"
15,"GUARD","74","3.0","1.9230769230769231","0.0","4","0","3"
16,"GUNNER","74","2.0","1.641025641025641","3.0630952380952383","14","0","3"
17,"KILGORE","74","2.0","1.6666666666666667","5.042857142857143","13","0","3"
18,"KURTZ","74","2.0","1.6153846153846154","15.499999999999998","15","0","1"
19,"KURTZ'S WIFE","74","3.0","2.0","0.0","2","0","0"
20,"LANCE","74","2.0","1.1538461538461537","105.79523809523812","33","0","2"
21,"LAWYER","74","3.0","1.9743589743589745","0.0","3","0","0"
22,"LIEUTENANT","74","2.0","1.6923076923076923","0.5","12","0","3"
23,"LYNDA","74","3.0","2.1794871794871793","0.0","1","0","1"
24,"MAJOR","74","2.0","1.794871794871795","0.0","8","0","0"
25,"MAN","74","2.0","1.8205128205128205","0.0","7","0","1"
26,"MIKE","74","2.0","1.7435897435897436","0.9916666666666667","10","0","3"
27,"MOONBY","74","2.0","1.8205128205128205","0.0","7","0","1"
28,"NIGHT","74","2.0","1.6923076923076923","0.7142857142857141","12","0","3"
29,"OTHER SOLDIER","74","2.0","1.7179487179487178","0.0","11","0","3"
30,"OTHERS","74","2.0","1.794871794871795","0.0","8","0","3"
31,"PHILIPPE","74","2.0","1.794871794871795","0.6000000000000001","8","0","2"
32,"PILOT","74","2.0","1.794871794871795","0.3333333333333333","8","0","2"
33,"ROACH","74","2.0","1.7179487179487178","0.0","11","0","3"
34,"ROXANNE","74","2.0","1.8717948717948718","0.0","5","0","2"
35,"SERGEANT","74","2.0","1.8461538461538463","0.0","6","0","2"
36,"SOLDIER","74","2.0","1.6153846153846154","3.3452380952380953","15","0","3"
37,"SPOTTER","74","2.0","1.7179487179487178","0.0","11","0","3"
38,"TERRI","74","2.0","1.8205128205128205","0.0","7","0","2"
39,"TOM","74","3.0","1.8717948717948718","0.0","6","0","3"
40,"WILLARD","74","2.0","1.0512820512820513","246.79523809523806","37","0","0"
