"from","to","weight"
"ANNOUNCER","BATTY",NA
"ANNOUNCER","LEON",NA
"BARTENDER","DECKARD",NA
"BARTENDER","LEON",NA
"BARTENDER","RUSSIAN",NA
"BATTY","LEON",NA
"BATTY","PIG",NA
"BATTY","PRIS","4.0"
"BRYANT","DECKARD","3.0"
"CHEW","SEBASTIAN","2.0"
"COP","SERGEANT",NA
"DECKARD","COP",NA
"DECKARD","GAFF",NA
"DECKARD","HOLDEN",NA
"DECKARD","RACHEL",NA
"DECKARD","RUSSIAN",NA
"DECKARD","SALOME","2.0"
"DECKARD","SERGEANT",NA
"DECKARD","TAFFEY",NA
"DECKARD","WHEELER",NA
"ESPER","DECKARD","2.0"
"IAN","TYRELL",NA
"LEON","DECKARD",NA
"LEON","HOLDEN",NA
"LEON","RACHAEL",NA
"MARY","BATTY","2.0"
"MARY","PIG",NA
"MARY","PRIS","2.0"
"PRIS","MOUSE",NA
"PRIS","PIG",NA
"PRIS","SEBASTIAN","4.0"
"RACHAEL","BRYANT",NA
"RACHAEL","DECKARD","8.0"
"RACHAEL","RACHEL",NA
"RACHAEL","TYRELL",NA
"RUSSIAN","LEON",NA
"SEBASTIAN","BATTY","3.0"
"SEBASTIAN","MARY","2.0"
"SEBASTIAN","MOUSE",NA
"SEBASTIAN","PIG",NA
"TYRELL","BATTY",NA
"TYRELL","DECKARD",NA
"TYRELL","RACHEL",NA
"TYRELL","SEBASTIAN",NA
