"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ANNOUNCER","134","3.0","2.4166666666666665","0.0","2","0","2"
2,"BARTENDER","134","4.0","2.25","0.0","3","0","2"
3,"BATTY","134","3.0","2.0416666666666665","53.49999999999999","7","0","0"
4,"BRYANT","134","4.0","2.5","0.0","2","0","1"
5,"CHEW","134","4.0","3.125","0.0","1","0","0"
6,"COP","134","4.0","2.5","0.0","2","0","3"
7,"DECKARD","134","3.0","1.5833333333333333","165.0","15","0","3"
8,"ESPER","134","4.0","2.5416666666666665","0.0","1","0","3"
9,"GAFF","134","4.0","2.5416666666666665","0.0","1","0","3"
10,"HOLDEN","134","4.0","2.2916666666666665","0.0","2","0","2"
11,"IAN","134","3.0","2.7083333333333335","0.0","1","0","1"
12,"LEON","134","3.0","1.8333333333333333","48.166666666666664","7","0","2"
13,"MARY","134","4.0","2.7916666666666665","0.0","4","0","0"
14,"MOUSE","134","4.0","3.0833333333333335","0.0","2","0","0"
15,"PIG","134","4.0","2.7916666666666665","0.0","4","0","0"
16,"PRIS","134","4.0","2.75","3.4999999999999996","5","0","0"
17,"RACHAEL","134","3.0","2.0","7.5","5","0","1"
18,"RACHEL","134","3.0","2.125","0.0","3","0","1"
19,"RUSSIAN","134","4.0","2.25","0.0","3","0","2"
20,"SALOME","134","4.0","2.5416666666666665","0.0","1","0","3"
21,"SEBASTIAN","134","3.0","2.1666666666666665","54.99999999999999","7","0","0"
22,"SERGEANT","134","4.0","2.5","0.0","2","0","3"
23,"TAFFEY","134","4.0","2.5416666666666665","0.0","1","0","3"
24,"TYRELL","134","2.0","1.75","89.33333333333334","6","0","1"
25,"WHEELER","134","4.0","2.5416666666666665","0.0","1","0","3"
