"from","to","weight"
"ADVISOR","EDWARD",NA
"ADVISOR","LONGSHANKS",NA
"ARGYLE","LEADER",NA
"AT THE ENGLISH COMMAND","GENERAL",NA
"AT THE ENGLISH COMMAND","LONGSHANKS",NA
"AT THE ENGLISH COMMAND","ROBERT",NA
"BALLIOL","MORNAY",NA
"BALLIOL","ROBERT THE BRUCE",NA
"BALLIOL","WALLACE",NA
"BALLIOL","WILLIAM",NA
"CAMPBELL","CRONY",NA
"CAMPBELL","FAUDRON",NA
"CAMPBELL","GIRL",NA
"CAMPBELL","HAMISH","2.0"
"CAMPBELL","MACGREGOR",NA
"CAMPBELL","MALCOLM WALLACE",NA
"CAMPBELL","NOBLEMAN",NA
"CAMPBELL","PRINCESS",NA
"CAMPBELL","SENTRY",NA
"CAMPBELL","STEPHEN","2.0"
"CAMPBELL","STEWART",NA
"CAMPBELL","WALLACE","4.0"
"CAPTAIN","GOVERNOR",NA
"CAPTAIN","RIDER",NA
"CAPTAIN","WALLACE",NA
"CHELTHAM","HAMISH","2.0"
"CHELTHAM","LOCHLAN",NA
"CHELTHAM","MORNAY",NA
"CHELTHAM","ON THE BRIDGE",NA
"CHIEF ASSASSIN","PRINCESS",NA
"CRAIG","BALLIOL",NA
"CRAIG","MORNAY","3.0"
"CRAIG","ROBERT THE BRUCE",NA
"CRAIG","STEWARD",NA
"CRAIG","WALLACE","3.0"
"CRAIG","WILLIAM",NA
"CRONY","STEPHEN",NA
"DRINKER","NICOLETTE",NA
"DRINKER","PRINCESS",NA
"EDWARD","LONGSHANKS","4.0"
"EDWARD","NICOLETTE",NA
"FARM WOMAN","CAMPBELL",NA
"FARM WOMAN","GIRL",NA
"FARM WOMAN","HAMISH",NA
"FARM WOMAN","NOBLEMAN",NA
"FARM WOMAN","STEWART",NA
"FARMER","DRINKER",NA
"FARMER","NICOLETTE",NA
"FARMER","PRINCESS",NA
"FATHER","JOHN",NA
"FATHER","WILLIAM","2.0"
"FAUDRON","DRINKER",NA
"FAUDRON","FARMER",NA
"FAUDRON","HANDLER",NA
"FAUDRON","LORD PICKERING",NA
"FAUDRON","NICOLETTE",NA
"FAUDRON","PRINCESS",NA
"FAUDRON","THE DOGS",NA
"FAUDRON","VILLAGER",NA
"GENERAL","CHELTHAM",NA
"GENERAL","LOCHLAN",NA
"GENERAL","LONGSHANKS",NA
"GENERAL","MORNAY",NA
"GENERAL","ON THE BRIDGE",NA
"GENERAL","ROBERT",NA
"GIRL","NOBLEMAN",NA
"GIRL","STEWART",NA
"GOVERNOR","RIDER",NA
"GOVERNOR","WALLACE",NA
"HAMISH","AT THE ENGLISH COMMAND",NA
"HAMISH","DRINKER",NA
"HAMISH","FARMER",NA
"HAMISH","FAUDRON","2.0"
"HAMISH","GENERAL",NA
"HAMISH","GIRL",NA
"HAMISH","HANDLER",NA
"HAMISH","LONGSHANKS",NA
"HAMISH","LORD PICKERING",NA
"HAMISH","MORNAY",NA
"HAMISH","NICOLETTE",NA
"HAMISH","NOBLEMAN",NA
"HAMISH","ON THE BRIDGE",NA
"HAMISH","PRINCESS",NA
"HAMISH","ROBERT",NA
"HAMISH","SENTRY",NA
"HAMISH","STEWART",NA
"HAMISH","THE DOGS",NA
"HAMISH","VILLAGER",NA
"HAMISH","WILLIAM","2.0"
"HANDLER","DRINKER",NA
"HANDLER","FARMER",NA
"HANDLER","LORD PICKERING",NA
"HANDLER","NICOLETTE",NA
"HANDLER","PRINCESS",NA
"HANDLER","VILLAGER",NA
"JAILER","PRINCESS",NA
"JOHN","WILLIAM",NA
"LEPER","ROBERT",NA
"LOCHLAN","HAMISH","2.0"
