"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ADVISOR","158","4.0","2.8333333333333335","0.0","2","0","0"
2,"ARGYLE","158","3.0","2.4696969696969697","23.03515651015652","3","0","5"
3,"AT THE ENGLISH COMMAND","158","3.0","1.9545454545454546","0.0","7","0","0"
4,"BALLIOL","158","3.0","2.0","0.0","7","0","5"
5,"CAMPBELL","158","3.0","1.8333333333333333","123.69310966810973","17","0","1"
6,"CAPTAIN","158","4.0","2.3181818181818183","0.0","3","0","3"
7,"CHELTHAM","158","4.0","2.0606060606060606","1.5357142857142854","13","0","2"
8,"CHIEF ASSASSIN","158","4.0","2.757575757575758","0.0","1","0","4"
9,"CORPORAL","158","4.0","2.909090909090909","0.0","1","0","5"
10,"CRAIG","158","3.0","2.0","0.0","7","0","5"
11,"CRONY","158","4.0","2.1818181818181817","0.0","4","0","1"
12,"DRINKER","158","3.0","2.0","0.0","12","0","4"
13,"EDWARD","158","4.0","2.5757575757575757","10.285714285714286","5","0","0"
14,"FARM WOMAN","158","3.0","2.121212121212121","0.0","7","0","1"
15,"FARMER","158","3.0","2.0","0.0","12","0","4"
16,"FATHER","158","3.0","2.5","0.0","2","0","5"
17,"FAUDRON","158","3.0","1.9393939393939394","6.769877344877343","14","0","4"
18,"GENERAL","158","3.0","1.878787878787879","12.615293040293043","12","0","2"
19,"GIRL","158","3.0","2.121212121212121","0.0","7","0","1"
20,"GOVERNOR","158","4.0","2.3181818181818183","0.0","3","0","3"
21,"HAMISH","158","3.0","1.5151515151515151","234.5729201354202","34","0","1"
22,"HANDLER","158","3.0","2.0","0.0","12","0","4"
23,"JAILER","158","4.0","2.303030303030303","0.0","2","0","3"
24,"JOHN","158","3.0","2.5","0.0","2","0","5"
25,"LEADER","158","4.0","3.303030303030303","0.0","2","0","5"
26,"LEPER","158","4.0","2.787878787878788","0.0","1","0","5"
27,"LOCHLAN","158","4.0","2.0606060606060606","1.5357142857142854","13","0","2"
28,"LONGSHANKS","158","3.0","1.8636363636363635","141.93339993339995","12","0","0"
29,"LORD BOTTOMS","158","4.0","2.3333333333333335","0.0","2","0","3"
30,"LORD PICKERING","158","3.0","2.0","0.0","12","0","4"
31,"MACCLANNOUGH","158","3.0","2.409090909090909","7.696825396825395","3","0","1"
32,"MACGREGOR","158","4.0","2.242424242424242","0.0","2","0","1"
33,"MAGISTRATE","158","3.0","1.9242424242424243","80.38492063492063","10","0","5"
34,"MALCOLM","158","3.0","2.242424242424242","0.0","2","0","5"
35,"MALCOLM WALLACE","158","4.0","2.803030303030303","0.0","2","0","1"
36,"MARION","158","3.0","1.803030303030303","105.35750083250083","19","0","4"
37,"MORNAY","158","3.0","1.8181818181818181","40.905036630036626","19","0","2"
38,"MOTHER","158","3.0","2.378787878787879","0.0","2","0","5"
39,"NICOLETTE","158","3.0","1.9393939393939394","19.510927960927965","14","0","4"
40,"NOBLEMAN","158","3.0","2.121212121212121","0.0","7","0","1"
41,"ON THE BRIDGE","158","4.0","2.1666666666666665","0.0","8","0","2"
42,"PHILLIP","158","4.0","2.8333333333333335","0.0","2","0","0"
43,"PRIEST","158","3.0","2.3333333333333335","42.750557775557795","4","0","5"
44,"PRINCESS","158","3.0","1.7727272727272727","139.175333000333","20","0","4"
45,"RIDER","158","4.0","2.3181818181818183","0.0","3","0","3"
46,"ROBERT","158","3.0","1.803030303030303","162.27057387057386","16","0","5"
47,"ROBERT THE BRUCE","158","3.0","1.9393939393939394","44.495238095238086","10","0","5"
48,"RUNNER","158","4.0","2.3484848484848486","0.0","1","0","3"
49,"SCOTS","158","4.0","2.0757575757575757","7.066666666666666","12","0","2"
50,"SCOTTISH VETERAN","158","4.0","2.090909090909091","0.0","11","0","2"
51,"SENTRY","158","4.0","2.1818181818181817","0.0","5","0","1"
52,"SOLDIER","158","3.0","1.803030303030303","80.09503968253969","21","0","2"
53,"SOLDIER #1","158","3.0","2.212121212121212","0.0","5","0","5"
54,"SOLDIER #2","158","3.0","2.212121212121212","0.0","5","0","5"
55,"STEPHEN","158","3.0","1.5757575757575757","134.25755217005218","30","0","2"
56,"STEWARD","158","3.0","2.0","0.0","7","0","5"
57,"STEWART","158","3.0","2.121212121212121","0.0","7","0","1"
58,"TALMADGE","158","4.0","2.0606060606060606","1.5357142857142854","13","0","2"
59,"THE DOGS","158","3.0","2.0","0.0","12","0","4"
60,"THE LEPER","158","4.0","2.757575757575758","0.0","3","0","5"
61,"THE LOVERS","158","3.0","2.0757575757575757","0.0","3","0","5"
62,"VETERAN","158","4.0","2.090909090909091","0.0","11","0","2"
63,"VILLAGER","158","3.0","2.0","0.0","12","0","4"
64,"WALLACE","158","3.0","1.3636363636363635","656.4015997890997","43","0","3"
65,"WILLIAM","158","2.0","1.5303030303030303","517.1196137196135","31","0","5"
66,"WOMAN","158","4.0","2.757575757575758","0.0","3","0","5"
67,"YOUNG SOLDIER","158","4.0","2.090909090909091","0.0","11","0","2"
