"from","to","weight"
"ANOTHER GIRL","KANE",NA
"ANOTHER GIRL","LELAND",NA
"ANOTHER HIRELING","KANE",NA
"ANOTHER VOICE","RAWLSTON",NA
"ANOTHER VOICE","SOMEBODY",NA
"ASSISTANT","GIRL",NA
"ASSISTANT","PHOTOGRAPHER",NA
"ASSISTANT","RAYMOND",NA
"ASSISTANT","SECOND ASSISTANT",NA
"ASSISTANT","SECOND NEWSPAPERMAN",NA
"ASSISTANT","THIRD NEWSPAPERMAN",NA
"ASSISTANT","THOMPSON",NA
"BERNSTEIN","ANOTHER HIRELING",NA
"BERNSTEIN","GEORGIE",NA
"BERNSTEIN","KANE","11.0"
"BERNSTEIN","MIKE",NA
"BERNSTEIN","MISS TOWNSEND",NA
"BERNSTEIN","STEWARD",NA
"BERNSTEIN","THOMPSON","3.0"
"BERTHA","GUARD",NA
"BERTHA","THOMPSON","2.0"
"CARTER","BERNSTEIN","2.0"
"CARTER","LELAND",NA
"CHARLES FOSTER KANE","INVESTIGATOR",NA
"CHARLES FOSTER KANE","MILES""",NA
"CHARLES FOSTER KANE","NARRATOR",NA
"CHARLES FOSTER KANE","SPEAKER",NA
"CHARLES FOSTER KANE","THATCHER",NA
"CITY EDITOR","ANOTHER HIRELING",NA
"CITY EDITOR","BERNSTEIN",NA
"CITY EDITOR","KANE",NA
"DR COREY","KANE",NA
"EMILY","KANE","2.0"
"EMILY","LELAND",NA
"EMILY","THE DRIVER",NA
"FOREMAN","KANE",NA
"FRED","KATHERINE",NA
"GEORGIE","ANOTHER GIRL",NA
"GEORGIE","KANE",NA
"GEORGIE","LELAND",NA
"GEORGIE","ONE OF THE GIRLS",NA
"GIRL","SECOND NEWSPAPERMAN",NA
"GUARD","THOMPSON",NA
"INVESTIGATOR","SPEAKER",NA
"JUNIOR","EMILY",NA
"JUNIOR","KANE",NA
"JUNIOR","THE DRIVER",NA
"KANE","CARTER","2.0"
"KANE","KANE SR",NA
"KANE","MIKE","2.0"
"KANE","MISS TOWNSEND",NA
"KANE","MRS KANE",NA
