"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ANOTHER GIRL","197","3.0","2.327272727272727","0.0","4","0","2"
2,"ANOTHER HIRELING","197","3.0","2.381818181818182","0.0","3","0","2"
3,"ANOTHER VOICE","197","4.0","2.7636363636363637","0.0","5","0","4"
4,"ASSISTANT","197","4.0","2.5090909090909093","0.0","7","0","1"
5,"BERNSTEIN","197","3.0","1.7454545454545454","268.78809523809525","16","0","2"
6,"BERTHA","197","4.0","2.8181818181818183","0.0","2","0","4"
7,"CARTER","197","3.0","2.327272727272727","0.8333333333333333","4","0","2"
8,"CHARLES FOSTER KANE","197","4.0","3.0727272727272728","0.0","5","0","0"
9,"CITY EDITOR","197","3.0","2.381818181818182","0.0","3","0","2"
10,"DR COREY","197","4.0","2.581818181818182","0.0","1","0","2"
11,"EMILY","197","3.0","2.2545454545454544","13.559523809523812","6","0","3"
12,"FOREMAN","197","4.0","2.581818181818182","0.0","1","0","2"
13,"FRED","197","4.0","2.8727272727272726","0.0","2","0","1"
14,"GEORGIE","197","3.0","2.309090909090909","0.6666666666666666","5","0","2"
15,"GIRL","197","4.0","2.5090909090909093","0.0","7","0","1"
16,"GUARD","197","4.0","2.8181818181818183","0.0","2","0","4"
17,"INVESTIGATOR","197","4.0","3.0727272727272728","0.0","5","0","0"
18,"JUNIOR","197","4.0","2.5454545454545454","0.0","3","0","3"
19,"KANE","197","3.0","1.6","707.1071428571425","30","0","2"
20,"KANE SR","197","4.0","2.4545454545454546","0.0","3","0","0"
21,"KATHERINE","197","4.0","2.8727272727272726","0.0","2","0","1"
22,"LELAND","197","3.0","1.8727272727272728","154.69285714285718","14","0","2"
23,"MARIE","197","3.0","2.3636363636363638","0.0","2","0","3"
24,"MATISTI","197","4.0","2.581818181818182","0.0","1","0","2"
25,"MIKE","197","3.0","2.2181818181818183","6.999999999999999","5","0","2"
26,"MILES""","197","4.0","3.0727272727272728","0.0","5","0","0"
27,"MISS ANDERSON","197","4.0","2.8363636363636364","0.0","1","0","4"
28,"MISS TOWNSEND","197","3.0","2.4","0.0","2","0","2"
29,"MRS KANE","197","4.0","2.4545454545454546","0.0","3","0","0"
30,"NARRATOR","197","4.0","3.0727272727272728","0.0","5","0","0"
31,"NURSE","197","4.0","2.4727272727272727","0.0","2","0","2"
32,"ONE OF THE GIRLS","197","3.0","2.327272727272727","0.0","4","0","2"
33,"PHOTOGRAPHER","197","3.0","1.9272727272727272","89.78809523809521","9","0","1"
34,"PRESIDENT","197","4.0","2.4727272727272727","0.0","2","0","2"
35,"RAWLSTON","197","4.0","2.7636363636363637","0.0","5","0","4"
36,"RAYMOND","197","3.0","1.9090909090909092","173.78809523809522","10","0","1"
37,"REILLY","197","3.0","2.327272727272727","0.0","4","0","2"
38,"ROGERS","197","3.0","2.3454545454545452","0.0","3","0","3"
39,"SECOND ASSISTANT","197","4.0","2.5090909090909093","0.0","7","0","1"
40,"SECOND NEWSPAPERMAN","197","4.0","2.5090909090909093","0.0","7","0","1"
41,"SMATHERS","197","3.0","2.381818181818182","0.0","3","0","2"
42,"SOMEBODY","197","4.0","2.7636363636363637","0.0","5","0","4"
43,"SPEAKER","197","4.0","3.0727272727272728","0.0","5","0","0"
44,"STEWARD","197","3.0","2.327272727272727","0.0","4","0","2"
45,"SUSAN","197","3.0","1.981818181818182","98.35952380952381","8","0","3"
46,"THATCHER","197","3.0","2.1636363636363636","254.99999999999994","10","0","0"
47,"THE CAPTAIN","197","4.0","2.5636363636363635","0.0","3","0","3"
48,"THE DRIVER","197","4.0","2.5454545454545454","0.0","3","0","3"
49,"THE MAID","197","4.0","2.581818181818182","0.0","1","0","2"
50,"THE OFFICIAL","197","3.0","2.327272727272727","0.0","4","0","2"
51,"THE PRESIDENT","197","4.0","2.581818181818182","0.0","1","0","2"
52,"THE VOICE","197","4.0","2.7636363636363637","0.0","5","0","4"
53,"THE WAITER","197","4.0","2.5636363636363635","0.0","3","0","3"
54,"THIRD MAN","197","4.0","2.7636363636363637","0.0","5","0","4"
55,"THIRD NEWSPAPERMAN","197","4.0","2.5090909090909093","0.0","7","0","1"
56,"THOMPSON","197","3.0","1.8545454545454545","512.4166666666667","22","0","4"
