"from","to","weight"
"ALEXANDER","HANS",NA
"ARGYLE","HOLLY",NA
"ARGYLE","MCCLANE","4.0"
"ARGYLE","THEO",NA
"BIG JOHNSON","GINNY",NA
"BIG JOHNSON","HOLLY",NA
"BIG JOHNSON","HOSTAGE",NA
"BIG JOHNSON","KRISTOFF",NA
"BIG JOHNSON","PILOT",NA
"BIG JOHNSON","POWELL","2.0"
"CAMERAMAN","FRANCO",NA
"CAMERAMAN","HANS",NA
"CLERK","DISPATCHER/RADIO",NA
"CLERK","POWELL",NA
"DISPATCHER","MCCLANE",NA
"DISPATCHER","SUPERVISOR",NA
"EDDIE","BIG JOHNSON",NA
"EDDIE","GINNY",NA
"EDDIE","HANS","2.0"
"EDDIE","HOLLY",NA
"EDDIE","HOSTAGE",NA
"EDDIE","LITTLE JOHNSON",NA
"EDDIE","LUCY",NA
"EDDIE","MCCLANE","2.0"
"EDDIE","PILOT",NA
"EDDIE","THORNBURG",NA
"ELLIS","FRANCO",NA
"ELLIS","GINNY",NA
"ELLIS","HANS","3.0"
"ELLIS","JOHN",NA
"ELLIS","KARL",NA
"ELLIS","MCCLANE","3.0"
"ELLIS","WOMAN",NA
"ENGINEER","BIG JOHNSON",NA
"ENGINEER","HANS",NA
"ENGINEER","MCCLANE",NA
"ENGINEER","POWELL",NA
"ENGINEER","ROBINSON",NA
"FRANCO","HANS","2.0"
"FRANCO","KARL",NA
"GAIL","ELLIS",NA
"GAIL","HANS",NA
"GAIL","HARVEY","2.0"
"GAIL","HASSELDORF",NA
"GAIL","HOLLY",NA
"GAIL","KARL",NA
"GINNY","HOLLY","3.0"
"GINNY","HOSTAGE",NA
"GINNY","THEO",NA
"HANS","ARGYLE","2.0"
"HANS","BIG JOHNSON","2.0"
"HANS","FRITZ",NA
"HANS","GINNY",NA
"HANS","HOSTAGE",NA
"HANS","KRISTOFF",NA
"HANS","PILOT",NA
"HANS","TAKAGI",NA
"HANS","TONY",NA
"HARVEY","ELLIS",NA
"HARVEY","HANS",NA
"HARVEY","HOLLY",NA
"HARVEY","KARL",NA
"HASSELDORF","GINNY",NA
"HASSELDORF","HANS",NA
"HASSELDORF","HARVEY",NA
"HASSELDORF","HOLLY",NA
"HASSELDORF","MARY",NA
"HASSELDORF","THEO",NA
"HASSELDORF","THORNBURG",NA
"HOLLY","ELLIS","3.0"
"HOLLY","HANS","3.0"
"HOLLY","HOSTAGE",NA
"HOLLY","JOHN",NA
"HOLLY","KARL","2.0"
"HOLLY","PAULINA",NA
"HOLLY","PILOT",NA
"HOLLY","ROBINSON",NA
"HOLLY","THEO",NA
"ID","ARGYLE",NA
"ID","HANS",NA
"ID","HOLLY",NA
"ID","THORNBURG",NA
"KARL","BIG JOHNSON",NA
"KARL","EDDIE",NA
"KARL","GINNY",NA
"KARL","HANS","4.0"
"KARL","HOSTAGE",NA
"KARL","LITTLE JOHNSON",NA
"KARL","LUCY",NA
"KARL","PILOT",NA
"KARL","THEO","2.0"
"KARL","THORNBURG",NA
"KRISTOFF","MCCLANE",NA
"KRISTOFF","THEO",NA
"LITTLE JOHNSON","BIG JOHNSON","2.0"
"LITTLE JOHNSON","ENGINEER",NA
"LITTLE JOHNSON","GINNY",NA
"LITTLE JOHNSON","HANS","2.0"
"LITTLE JOHNSON","HOLLY",NA
"LITTLE JOHNSON","HOSTAGE",NA
"LITTLE JOHNSON","KRISTOFF",NA
"LITTLE JOHNSON","MCCLANE","2.0"
"LITTLE JOHNSON","PILOT",NA
"LITTLE JOHNSON","POWELL","2.0"
"LITTLE JOHNSON","ROBINSON",NA
"LITTLE JOHNSON","THEO",NA
"LUCY","BIG JOHNSON",NA
"LUCY","GINNY",NA
"LUCY","HANS",NA
"LUCY","HOLLY","2.0"
"LUCY","HOSTAGE",NA
"LUCY","LITTLE JOHNSON",NA
"LUCY","MCCLANE",NA
"LUCY","PAULINA",NA
"LUCY","PILOT",NA
"MAN #1","THEO",NA
"MARY","GINNY",NA
"MARY","HANS",NA
"MARY","HOLLY",NA
"MARY","THEO",NA
"MCCLANE","BIG JOHNSON","3.0"
"MCCLANE","FRANCO","2.0"
"MCCLANE","FRITZ",NA
"MCCLANE","GAIL",NA
"MCCLANE","GINNY","2.0"
"MCCLANE","GUARD",NA
"MCCLANE","HANS","11.0"
"MCCLANE","HARVEY",NA
"MCCLANE","HOLLY","7.0"
"MCCLANE","HOSTAGE",NA
"MCCLANE","JOHN",NA
"MCCLANE","KARL","3.0"
"MCCLANE","MARCO",NA
"MCCLANE","PAULINA",NA
"MCCLANE","PILOT",NA
"MCCLANE","ROBINSON","4.0"
"MCCLANE","STEWARDESS",NA
"MCCLANE","SUPERVISOR",NA
"MCCLANE","THEO","3.0"
"MCCLANE","THORNBURG","2.0"
"MCCLANE","TONY",NA
"MITCHELL","HANS","2.0"
"MITCHELL","MCCLANE",NA
"MITCHELL","POWELL",NA
"MITCHELL","THEO",NA
