"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ALEXANDER","254","3.0","2.260869565217391","0.0","1","0","1"
2,"ARGYLE","254","2.0","1.826086956521739","1.142857142857143","8","0","1"
3,"BIG JOHNSON","254","3.0","1.6521739130434783","6.536111111111111","17","0","0"
4,"CAMERAMAN","254","3.0","2.152173913043478","0.0","3","0","4"
5,"CLERK","254","3.0","2.239130434782609","0.0","2","0","1"
6,"DISPATCHER","254","3.0","2.0434782608695654","2.119047619047619","3","0","2"
7,"DISPATCHER/RADIO","254","3.0","2.239130434782609","0.0","2","0","1"
8,"EDDIE","254","3.0","1.7391304347826086","0.0","13","0","0"
9,"ELLIS","254","3.0","1.7608695652173914","8.686904761904762","12","0","3"
10,"ENGINEER","254","3.0","1.891304347826087","0.0","6","0","1"
11,"FRANCO","254","3.0","1.8695652173913044","4.541666666666666","7","0","4"
12,"FRITZ","254","3.0","2.0652173913043477","0.0","2","0","1"
13,"GAIL","254","3.0","1.8478260869565217","1.7714285714285711","8","0","3"
14,"GINNY","254","2.0","1.5869565217391304","17.576190476190476","19","0","0"
15,"GUARD","254","3.0","2.1956521739130435","0.0","1","0","2"
16,"HANS","254","2.0","1.2826086956521738","166.55039682539686","33","0","1"
17,"HARVEY","254","3.0","1.8478260869565217","1.7714285714285711","8","0","3"
18,"HASSELDORF","254","3.0","2.0","1.9523809523809526","8","0","3"
19,"HOLLY","254","2.0","1.434782608695652","53.91825396825397","26","0","3"
20,"HOSTAGE","254","3.0","1.7391304347826086","0.0","13","0","0"
21,"ID","254","3.0","1.9782608695652173","0.0","6","0","1"
22,"JOHN","254","3.0","2.0434782608695654","0.0","4","0","3"
23,"KARL","254","2.0","1.565217391304348","13.917063492063493","20","0","0"
24,"KRISTOFF","254","2.0","1.8695652173913044","0.2","6","0","1"
25,"LITTLE JOHNSON","254","2.0","1.608695652173913","8.786111111111111","18","0","0"
26,"LUCY","254","3.0","1.7173913043478262","2.0","14","0","0"
27,"MAN #1","254","3.0","2.608695652173913","0.0","1","0","1"
28,"MARCO","254","3.0","2.0652173913043477","0.0","2","0","1"
29,"MARY","254","3.0","2.0434782608695654","0.0","6","0","3"
30,"MCCLANE","254","2.0","1.2173913043478262","303.60873015873005","36","0","2"
31,"MITCHELL","254","2.0","1.8478260869565217","0.0","7","0","1"
32,"OFFICER","254","3.0","1.7391304347826086","0.0","13","0","0"
33,"PAULINA","254","3.0","1.934782608695652","0.0","5","0","4"
34,"PILOT","254","3.0","1.7391304347826086","0.0","13","0","0"
35,"POLICE SCANNER","254","3.0","2.130434782608696","0.0","3","0","4"
36,"POWELL","254","2.0","1.2826086956521738","201.48134920634917","33","0","1"
37,"RIVERS","254","2.0","1.8478260869565217","0.0","7","0","1"
38,"ROBINSON","254","2.0","1.673913043478261","8.761904761904761","15","0","1"
39,"SALESMAN","254","3.0","2.1739130434782608","0.0","2","0","2"
40,"STEWARDESS","254","3.0","2.1739130434782608","0.0","2","0","2"
41,"SUPERVISOR","254","3.0","2.1739130434782608","0.0","2","0","2"
42,"TAKAGI","254","3.0","1.8478260869565217","4.57857142857143","9","0","3"
43,"THEO","254","2.0","1.6304347826086956","59.01944444444444","17","0","1"
44,"THORNBURG","254","2.0","1.434782608695652","70.89563492063492","26","0","4"
45,"TONY","254","3.0","2.0652173913043477","0.0","2","0","1"
46,"WOMAN","254","3.0","2.0217391304347827","3.1845238095238098","7","0","3"
47,"YOUNG COP","254","3.0","1.891304347826087","0.0","6","0","1"
