"from","to","weight"
"AGATHA","CHRIS",NA
"AGATHA","JEREMY",NA
"AGATHA","SAM",NA
"AGATHA","TED","2.0"
"BILLY MOORCROFT","PHIL",NA
"BILLY'S MOTHER","COREY",NA
"CHILD PSYCHOLOGIST","BILLY'S MOTHER",NA
"CHRIS","COREY","8.0"
"CHRIS","DUSTY","2.0"
"CHRIS","FATHER HOMEIJER",NA
"CHRIS","JEREMY",NA
"CHRIS","SAM","6.0"
"CHRIS","TRUDY",NA
"COREY","AGATHA",NA
"COREY","BILLY MOORCROFT","3.0"
"COREY","DUSTY","2.0"
"COREY","FATHER HOMEIJER",NA
"COREY","JEFF","3.0"
"COREY","JEFF MIKE","2.0"
"COREY","JEREMY",NA
"COREY","MIKE","3.0"
"COREY","PHIL",NA
"COREY","TED",NA
"COREY","TRUDY",NA
"CUSTOMER","CHRIS",NA
"CUSTOMER","COREY",NA
"DETECTIVE","OFFICER O'DELL",NA
"DUSTY","FATHER HOMEIJER",NA
"DUSTY","TRUDY",NA
"FAT MAN","TRUDY",NA
"FATHER HOMEIJER","FAT MAN",NA
"FATHER HOMEIJER","OFFICER HINES",NA
"FATHER HOMEIJER","OFFICER O'DELL",NA
"FEMALE CO-WORKER","SAM",NA
"FIELD REPORTER","FATHER HOMEIJER",NA
"FIREMAN #1","OFFICER O'DELL",NA
"FIREMAN #1","PHIL",NA
"FRANK","COREY",NA
"FRANK","FIREMAN #1",NA
"FRANK","OFFICER O'DELL","2.0"
"FRANK","PHIL",NA
"JEFF MIKE","JEFF","2.0"
"JEFF MIKE","MIKE",NA
"JEFF MIKE","RANDY",NA
"JEREMY","SAM","8.0"
"MIKE","JEFF","2.0"
"MIKE","RANDY",NA
"MIKE","RUTH","2.0"
"OFFICER HINES","OFFICER O'DELL","2.0"
"OFFICER O'DELL","COREY","2.0"
"OFFICER O'DELL","PHIL",NA
"PHIL","SAM","2.0"
"RANDY","CHRIS",NA
"RANDY","COREY","4.0"
"RANDY","JEFF","2.0"
"RUTH","CHRIS",NA
"RUTH","COREY","2.0"
"RUTH","DUSTY","2.0"
"RUTH","FATHER HOMEIJER",NA
"RUTH","JEFF",NA
"RUTH","RANDY","2.0"
"RUTH","SAM","2.0"
"RUTH","TRUDY",NA
"SAM","COREY","8.0"
"SAM","DUSTY",NA
"SAM","FRANK",NA
"SAM","JEFF","2.0"
"SAM","JEFF MIKE","2.0"
"SAM","MIKE",NA
"SAM","OFFICER O'DELL",NA
"SAM","RANDY","2.0"
"TED","CHRIS",NA
"TED","JEREMY",NA
"TED","SAM",NA
"TRUDY","FATHER HOMEIJER","4.0"
"TRUDY","FEMALE CO-WORKER",NA
"TRUDY","OFFICER HINES",NA
"TRUDY","OFFICER O'DELL",NA
"TRUDY","SAM",NA
"VIETNAM TOM","SAM",NA
