"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"AGATHA","703","3.0","2.037037037037037","0.0","5","0","2"
2,"BILLY MOORCROFT","703","3.0","2.185185185185185","0.0","2","0","1"
3,"BILLY'S MOTHER","703","3.0","2.185185185185185","26.0","2","0","2"
4,"CHILD PSYCHOLOGIST","703","4.0","3.1481481481481484","0.0","1","0","2"
5,"CHRIS","703","3.0","1.7037037037037037","18.2984126984127","11","0","2"
6,"COREY","703","2.0","1.2962962962962963","137.33690476190472","19","0","2"
7,"CUSTOMER","703","3.0","2.2222222222222223","0.0","2","0","2"
8,"DETECTIVE","703","4.0","2.6666666666666665","0.0","1","0","1"
9,"DUSTY","703","3.0","1.8888888888888888","0.6666666666666666","6","0","3"
10,"FAT MAN","703","4.0","2.5555555555555554","0.0","2","0","3"
11,"FATHER HOMEIJER","703","3.0","1.7407407407407407","42.548809523809524","9","0","3"
12,"FEMALE CO-WORKER","703","4.0","2.2222222222222223","0.0","2","0","3"
13,"FIELD REPORTER","703","4.0","2.7037037037037037","0.0","1","0","3"
14,"FIREMAN #1","703","4.0","2.5555555555555554","0.0","3","0","1"
15,"FRANK","703","3.0","1.9259259259259258","5.333333333333336","5","0","1"
16,"JEFF","703","3.0","2.0","0.2","6","0","0"
17,"JEFF MIKE","703","3.0","2.037037037037037","0.0","5","0","0"
18,"JEREMY","703","3.0","2.037037037037037","0.0","5","0","2"
19,"MIKE","703","3.0","2.0","0.2","6","0","0"
20,"OFFICER HINES","703","4.0","2.3703703703703702","0.0","3","0","3"
21,"OFFICER O'DELL","703","3.0","1.7037037037037037","48.21746031746033","9","0","1"
22,"PHIL","703","3.0","1.8888888888888888","9.416666666666664","6","0","1"
23,"RANDY","703","3.0","1.962962962962963","1.0333333333333334","7","0","0"
24,"RUTH","703","3.0","1.7777777777777777","7.546031746031747","9","0","0"
25,"SAM","703","3.0","1.4444444444444444","81.00198412698414","17","0","0"
26,"TED","703","3.0","2.037037037037037","0.0","5","0","2"
27,"TRUDY","703","3.0","1.6666666666666667","32.20039682539682","10","0","3"
28,"VIETNAM TOM","703","4.0","2.4074074074074074","0.0","1","0","0"
