"from","to","weight"
"BOYS","CLEMENTINE",NA
"BOYS","JOEL",NA
"BOYS","VOICE-OVER",NA
"CARRIE","JOEL","3.0"
"CARRIE","ROB",NA
"CARRIE","VOICE-OVER","2.0"
"CLEMENTINE","CONDUCTOR",NA
"CLEMENTINE","FATHER",NA
"CLEMENTINE","JOE EARLY",NA
"CLEMENTINE","MARK",NA
"CLEMENTINE","MONTAGE","2.0"
"CLEMENTINE","MOTHER","2.0"
"CLEMENTINE","PATRICK","4.0"
"CLEMENTINE","STAN",NA
"CLEMENTINE","VOICE-OVER","5.0"
"DISTRAUGHT WOMAN","SAD WOMAN",NA
"FATHER","JOEL",NA
"HOLLIS","MARY",NA
"HOLLIS","STAN",NA
"HOWARD","HOLLIS",NA
"JOEL","BLACK",NA
"JOEL","CARMEN",NA
"JOEL","CLEMENTINE","21.0"
"JOEL","CONDUCTOR",NA
"JOEL","JOE EARLY",NA
"JOEL","MARK",NA
"JOEL","MIERZWIAK","2.0"
"JOEL","MONTAGE","2.0"
"JOEL","MOTHER","2.0"
"JOEL","NAOMI","4.0"
"JOEL","RECORDED VOICE",NA
"JOEL","ROB",NA
"JOEL","STAN","2.0"
"MAN","DISTRAUGHT WOMAN",NA
"MARY","CLEMENTINE","2.0"
"MARY","DISTRAUGHT WOMAN",NA
"MARY","JOEL","2.0"
"MARY","MIERZWIAK","5.0"
"MARY","SAD WOMAN",NA
"MIERZWIAK","CLEMENTINE","2.0"
"MIERZWIAK","HOLLIS",NA
"MIERZWIAK","PATRICK","2.0"
"MIERZWIAK","YOUNG WOMAN",NA
"MIERZWIAK VOICE","MARY",NA
"NAOMI","CLEMENTINE",NA
"OLD MAN","SECOND OLD WOMAN","2.0"
"OLD WOMAN","OLD MAN",NA
"OLD WOMAN","SECOND OLD WOMAN","2.0"
"PATRICK","JOEL","3.0"
"PATRICK","MARY",NA
"PATRICK","VOICE-OVER","2.0"
"RECEPTIONIST","OLD WOMAN",NA
"RECEPTIONIST","STAN",NA
"RECORDED VOICE","BLACK",NA
"ROB","VOICE-OVER",NA
"SAD WOMAN","MAN",NA
"STAN","MARY","10.0"
"STAN","MIERZWIAK","9.0"
"STAN","PATRICK","9.0"
"STAN","VOICE-OVER",NA
"STAN","YOUNG WOMAN",NA
"VOICE-OVER","BLACK",NA
"VOICE-OVER","CARMEN",NA
"VOICE-OVER","JOE EARLY",NA
"VOICE-OVER","JOEL","16.0"
"VOICE-OVER","NAOMI","2.0"
"VOICE-OVER","RECORDED VOICE","2.0"
"WAITRESS","CLEMENTINE",NA
"YOUNG WOMAN","PATRICK",NA
