"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"BLACK","289","5.0","2.5161290322580645","0.0","3","0","2"
2,"BOYS","289","5.0","2.4838709677419355","0.0","3","0","2"
3,"CARMEN","289","5.0","2.5483870967741935","0.0","2","0","2"
4,"CARRIE","289","5.0","2.5161290322580645","0.0","3","0","2"
5,"CLEMENTINE","289","4.0","1.7419354838709677","103.69642857142857","15","0","3"
6,"CONDUCTOR","289","5.0","2.5161290322580645","0.0","2","0","3"
7,"DISTRAUGHT WOMAN","289","5.0","2.7419354838709675","14.5","3","0","0"
8,"FATHER","289","5.0","2.5161290322580645","0.0","2","0","3"
9,"HOLLIS","289","4.0","2.5161290322580645","30.0","4","0","4"
10,"HOWARD","289","5.0","3.4838709677419355","0.0","1","0","4"
11,"JOE EARLY","289","5.0","2.4838709677419355","0.0","3","0","2"
12,"JOEL","289","4.0","1.6129032258064515","170.69642857142858","19","0","2"
13,"MAN","289","6.0","3.6774193548387095","0.0","2","0","0"
14,"MARK","289","5.0","2.5161290322580645","0.0","2","0","3"
15,"MARY","289","4.0","1.8709677419354838","121.21428571428571","9","0","4"
16,"MIERZWIAK","289","4.0","1.967741935483871","17.297619047619047","7","0","4"
17,"MIERZWIAK VOICE","289","5.0","2.838709677419355","0.0","1","0","4"
18,"MONTAGE","289","5.0","2.5161290322580645","0.0","2","0","3"
19,"MOTHER","289","5.0","2.5161290322580645","0.0","2","0","3"
20,"NAOMI","289","5.0","2.4838709677419355","0.0","3","0","2"
21,"OLD MAN","289","6.0","4.354838709677419","0.0","2","0","1"
22,"OLD WOMAN","289","5.0","3.4193548387096775","58.0","3","0","1"
23,"PATRICK","289","4.0","2.0","9.458333333333332","7","0","4"
24,"RECEPTIONIST","289","4.0","2.5806451612903225","84.0","2","0","1"
25,"RECORDED VOICE","289","5.0","2.5161290322580645","0.0","3","0","2"
26,"ROB","289","5.0","2.5161290322580645","0.0","3","0","2"
27,"SAD WOMAN","289","5.0","2.7419354838709675","14.5","3","0","0"
28,"SECOND OLD WOMAN","289","6.0","4.354838709677419","0.0","2","0","1"
29,"STAN","289","3.0","1.8064516129032258","134.0297619047619","9","0","4"
30,"VOICE-OVER","289","4.0","1.967741935483871","44.60714285714286","12","0","2"
31,"WAITRESS","289","5.0","2.7096774193548385","0.0","1","0","3"
32,"YOUNG WOMAN","289","4.0","2.7096774193548385","0.0","3","0","4"
