"from","to","weight"
"ANDERSON","CARL",NA
"ANDERSON","GRIMSRUD",NA
"ANDERSON","JERRY",NA
"ANDERSON","YOUNGER MAN",NA
"CARL","ATTENDANT","2.0"
"CARL","HIS HOOKER",NA
"CARL","MAN",NA
"CARL","SHEP",NA
"CARL","TROOPER",NA
"CARL","WOMAN",NA
"CASHIER","JERRY",NA
"CLERK","ANDERSON",NA
"CLERK","MAN",NA
"CUSTOMER","WIFE","2.0"
"GARY","MARGE",NA
"GARY","NORM",NA
"GRIMSRUD","CARL","6.0"
"HIS HOOKER","GRIMSRUD",NA
"HOOKER ONE","HOOKER TWO",NA
"JEAN","JERRY",NA
"JEAN","PHONE VOICE",NA
"JEAN","SCOTT",NA
"JEAN","WADE",NA
"JERRY","CARL","5.0"
"JERRY","CUSTOMER","3.0"
"JERRY","GRIMSRUD",NA
"JERRY","MECHANIC",NA
"JERRY","SALESMAN",NA
"JERRY","SCOTT","2.0"
"JERRY","SHEP",NA
"JERRY","WADE","4.0"
"JERRY","WIFE","4.0"
"LOU","MARGE","8.0"
"MAN","ANDERSON",NA
"MAN","GARY",NA
"MARGE","CLERK",NA
"MARGE","DETECTIVE SIBERT",NA
"MARGE","HOOKER ONE",NA
"MARGE","HOOKER TWO",NA
"MARGE","JERRY","2.0"
"MARGE","MAN",NA
"MARGE","MIKE","4.0"
"MARGE","SHEP",NA
"NORM","LOU",NA
"NORM","MARGE","5.0"
"PHONE VOICE","JERRY",NA
"PHONE VOICE","WADE",NA
"SCOTT","PHONE VOICE",NA
"SCOTT","WADE",NA
"SCOTTY","JERRY",NA
"SCOTTY","WADE",NA
"SCOTTY","WIFE",NA
"SHEP","MAN",NA
"STAN","JERRY","3.0"
"WADE","CARL",NA
"WADE","STAN","2.0"
"WAITRESS","ANDERSON",NA
"WIFE","WADE","2.0"
"WOMAN","DETECTIVE SIBERT",NA
"WOMAN","MAN",NA
"WOMAN","MARGE","2.0"
"YOUNGER MAN","CARL",NA
"YOUNGER MAN","GRIMSRUD",NA
"YOUNGER MAN","JERRY",NA
