"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ANDERSON","302","3.0","1.967741935483871","44.28333333333334","7","0","0"
2,"ATTENDANT","302","4.0","2.774193548387097","0.0","1","0","0"
3,"CARL","302","3.0","1.8064516129032258","102.71666666666665","11","0","0"
4,"CASHIER","302","3.0","2.4193548387096775","0.0","1","0","2"
5,"CLERK","302","3.0","2.3548387096774195","4.2333333333333325","3","0","0"
6,"CUSTOMER","302","3.0","2.3870967741935485","0.0","2","0","2"
7,"DETECTIVE SIBERT","302","4.0","2.5483870967741935","0.0","2","0","1"
8,"GARY","302","3.0","2.4516129032258065","1.7666666666666666","3","0","1"
9,"GRIMSRUD","302","3.0","2.064516129032258","7.5","5","0","0"
10,"HIS HOOKER","302","4.0","2.7419354838709675","0.0","2","0","0"
11,"HOOKER ONE","302","4.0","2.6774193548387095","0.0","2","0","1"
12,"HOOKER TWO","302","4.0","2.6774193548387095","0.0","2","0","1"
13,"JEAN","302","3.0","2.3225806451612905","0.0","4","0","2"
14,"JERRY","302","2.0","1.4516129032258065","259.54999999999995","17","0","2"
15,"LOU","302","4.0","2.6774193548387095","0.0","2","0","1"
16,"MAN","302","3.0","2.096774193548387","25.833333333333332","7","0","0"
17,"MARGE","302","3.0","1.7419354838709677","179.63333333333338","12","0","1"
18,"MECHANIC","302","3.0","2.4193548387096775","0.0","1","0","2"
19,"MIKE","302","4.0","2.7096774193548385","0.0","1","0","1"
20,"NORM","302","4.0","2.6451612903225805","0.5","3","0","1"
21,"PHONE VOICE","302","3.0","2.3225806451612905","0.0","4","0","2"
22,"SALESMAN","302","3.0","2.4193548387096775","0.0","1","0","2"
23,"SCOTT","302","3.0","2.3225806451612905","0.0","4","0","2"
24,"SCOTTY","302","3.0","2.3548387096774195","0.0","3","0","2"
25,"SHEP","302","3.0","1.903225806451613","7.966666666666664","4","0","0"
26,"STAN","302","3.0","2.3870967741935485","0.0","2","0","2"
27,"TROOPER","302","4.0","2.774193548387097","0.0","1","0","0"
28,"WADE","302","3.0","2.032258064516129","19.7","8","0","2"
29,"WAITRESS","302","4.0","2.935483870967742","0.0","1","0","0"
30,"WIFE","302","3.0","2.3225806451612905","1.0","4","0","2"
31,"WOMAN","302","3.0","2.225806451612903","12.316666666666665","4","0","1"
32,"YOUNGER MAN","302","3.0","2.096774193548387","0.0","4","0","0"
