"from","to","weight"
"ANGEL FACE","ALL SPACE MONKEYS",NA
"ANGEL FACE","JACK","3.0"
"ANGEL FACE","REPORTER",NA
"ANOTHER SPACE MONKEY","ALL SPACE MONKEYS",NA
"ANOTHER SPACE MONKEY","ANGEL FACE",NA
"ANOTHER SPACE MONKEY","JACK",NA
"ANOTHER SPACE MONKEY","RICKY",NA
"ATTENDANT","JACK",NA
"BOB","ANGEL FACE",NA
"BOB","JACK","3.0"
"BOB","JACOBS",NA
"BOB","REPORTER",NA
"BOSS","JACK","5.0"
"BOSS","MARLA",NA
"BRUISED PATRON #1","JACK",NA
"CHLOE","JACK",NA
"CHLOE","MARLA",NA
"CLERK","RAYMOND",NA
"CLERK","TYLER",NA
"COP","MARLA",NA
"DESK CLERK","JACK",NA
"DETECTIVE STERN","MARLA",NA
"DETECTIVE STERN","TYLER",NA
"DOORMAN","JACK","3.0"
"DOORMAN","TYLER",NA
"FAT MAN","LOU",NA
"FLAT-TOP","BALDY",NA
"FLAT-TOP","REDHEAD",NA
"FRECKLED SPACE MONKEY","JACK",NA
"JACK","ALL SPACE MONKEYS",NA
"JACK","BALDY",NA
"JACK","BANDAGED PROPRIETOR",NA
"JACK","BARTENDER",NA
"JACK","CLERK",NA
"JACK","DETECTIVE STERN",NA
"JACK","DIFFERENT VOICE",NA
"JACK","FLAT-TOP",NA
"JACK","INTERN",NA
"JACK","LEADER","4.0"
"JACK","OPPONENT",NA
"JACK","RAYMOND",NA
"JACK","REDHEAD",NA
"JACK","RICKY","3.0"
"JACK","RICKY AND MECHANIC",NA
"JACK","STERN",NA
"JACK","TECHNICIAN #1",NA
"JACK","TECHNICIAN #2",NA
"JACK","TYLER","25.0"
"JACK","WAITER",NA
"JACK","WALTER",NA
"JACK","YUPPIE",NA
"LEADER","BOB",NA
"LEADER","CHLOE","2.0"
"LEADER","MARLA",NA
"LEADER","PENGUIN",NA
"MAN","JACK",NA
"MAN","WOUNDED BARTENDER",NA
"MARLA","JACK","15.0"
"MARLA","WAITER",NA
"MECHANIC","ALL SPACE MONKEYS",NA
"MECHANIC","ANGEL FACE",NA
"MECHANIC","ANOTHER SPACE MONKEY",NA
"MECHANIC","JACK","2.0"
"MECHANIC","RICKY",NA
"REDHEAD","BALDY",NA
"REPORTER","JACK",NA
"RICKY","ALL SPACE MONKEYS",NA
"RICKY","ANGEL FACE","2.0"
"RICKY","BOB",NA
"RICKY","REPORTER",NA
"RICKY AND MECHANIC","MECHANIC",NA
"RICKY AND MECHANIC","RICKY",NA
"SECURITY TFM","JACK",NA
"SPEAKER","BOB",NA
"SPEAKER","JACK",NA
"SPEAKER","LEADER",NA
"STERN","BALDY",NA
"STERN","FLAT-TOP",NA
"STERN","REDHEAD",NA
"TECHNICIAN #1","TECHNICIAN #2",NA
"TYLER","BOB",NA
"TYLER","FAT MAN",NA
"TYLER","JACOBS",NA
"TYLER","LOU",NA
"TYLER","MARLA","3.0"
"TYLER","MECHANIC",NA
"TYLER","OPPONENT",NA
"TYLER","RAYMOND",NA
"TYLER","RICKY",NA
"TYLER","RICKY AND MECHANIC",NA
"VALET","JACK",NA
"VALET","TYLER",NA
"WALTER","BOSS",NA
"WOUNDED BARTENDER","JACK",NA
