"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ALL SPACE MONKEYS","309","3.0","2.0","0.0","5","0","0"
2,"ANGEL FACE","309","3.0","1.9333333333333333","2.25","7","0","0"
3,"ANOTHER SPACE MONKEY","309","3.0","2.0","0.0","5","0","0"
4,"ATTENDANT","309","3.0","2.088888888888889","0.0","1","0","5"
5,"BALDY","309","3.0","2.022222222222222","0.0","4","0","3"
6,"BANDAGED PROPRIETOR","309","3.0","2.088888888888889","0.0","1","0","5"
7,"BARTENDER","309","3.0","2.088888888888889","0.0","1","0","5"
8,"BOB","309","3.0","1.8444444444444446","27.416666666666668","8","0","1"
9,"BOSS","309","3.0","2.022222222222222","1.0","3","0","4"
10,"BRUISED PATRON #1","309","3.0","2.088888888888889","0.0","1","0","5"
11,"CHLOE","309","3.0","2.0","0.0","3","0","4"
12,"CLERK","309","3.0","1.9777777777777779","0.0","3","0","2"
13,"COP","309","3.0","2.8","0.0","1","0","4"
14,"DESK CLERK","309","3.0","2.088888888888889","0.0","1","0","5"
15,"DETECTIVE STERN","309","3.0","1.9555555555555555","0.0","3","0","4"
16,"DIFFERENT VOICE","309","3.0","2.088888888888889","0.0","1","0","5"
17,"DOORMAN","309","3.0","2.0","0.0","2","0","2"
18,"FAT MAN","309","4.0","2.6444444444444444","0.0","2","0","2"
19,"FLAT-TOP","309","3.0","2.022222222222222","0.0","4","0","3"
20,"FRECKLED SPACE MONKEY","309","3.0","2.088888888888889","0.0","1","0","5"
21,"INTERN","309","3.0","2.088888888888889","0.0","1","0","5"
22,"JACK","309","2.0","1.1111111111111112","813.1666666666667","40","0","5"
23,"JACOBS","309","3.0","2.533333333333333","0.0","2","0","1"
24,"LEADER","309","3.0","1.9111111111111112","46.916666666666664","6","0","1"
25,"LOU","309","4.0","2.6444444444444444","0.0","2","0","2"
26,"MAN","309","3.0","2.066666666666667","0.0","2","0","5"
27,"MARLA","309","2.0","1.8222222222222222","57.41666666666667","8","0","4"
28,"MECHANIC","309","3.0","1.8888888888888888","4.083333333333333","7","0","0"
29,"OPPONENT","309","3.0","2.0","0.0","2","0","2"
30,"PENGUIN","309","4.0","2.888888888888889","0.0","1","0","1"
31,"RAYMOND","309","3.0","1.9777777777777779","0.0","3","0","2"
32,"REDHEAD","309","3.0","2.022222222222222","0.0","4","0","3"
33,"REPORTER","309","3.0","2.0","0.0","4","0","0"
34,"RICKY","309","3.0","1.8444444444444446","8.166666666666666","9","0","0"
35,"RICKY AND MECHANIC","309","3.0","1.9555555555555555","0.0","4","0","0"
36,"SECURITY TFM","309","3.0","2.088888888888889","0.0","1","0","5"
37,"SPEAKER","309","3.0","2.0","0.0","3","0","1"
38,"STERN","309","3.0","2.022222222222222","0.0","4","0","3"
39,"TECHNICIAN #1","309","3.0","2.066666666666667","0.0","2","0","5"
40,"TECHNICIAN #2","309","3.0","2.066666666666667","0.0","2","0","5"
41,"TYLER","309","3.0","1.6888888888888889","137.58333333333334","15","0","2"
42,"VALET","309","3.0","2.0","0.0","2","0","2"
43,"WAITER","309","3.0","2.0444444444444443","0.0","2","0","4"
44,"WALTER","309","3.0","2.066666666666667","0.0","2","0","4"
45,"WOUNDED BARTENDER","309","3.0","2.066666666666667","0.0","2","0","5"
46,"YUPPIE","309","3.0","2.088888888888889","0.0","1","0","5"
