"from","to","weight"
"ABBIE HOFFMAN","JENNY",NA
"ABBIE HOFFMAN","POLICEMAN",NA
"ANCHORMAN","FORREST","3.0"
"ANCHORMAN","LT DAN",NA
"ANCHORMAN","MARGO",NA
"ANCHORMAN","MRS GUMP",NA
"ANCHORMAN","PRESIDENT JOHNSON",NA
"ANNOUNCER","FORREST","2.0"
"ANNOUNCER","JENNY",NA
"ANNOUNCER","LT DAN",NA
"ANOTHER DAY","BUBBA",NA
"ANOTHER DAY","NIGHT",NA
"ANOTHER DAY","SONG",NA
"ASSISTANT COACH","FOOTBALL COACH",NA
"ASSISTANT COACH","FORREST",NA
"BERT","ERNIE",NA
"BERT","FORREST JR",NA
"BLACK WOMAN","BILLY",NA
"BLACK WOMAN","JENNY",NA
"BLACK WOMAN","WHITE WOMAN",NA
"BOB HOPE","LT DAN",NA
"BOY","JENNY",NA
"BOY #1","BOY #2","2.0"
"BOY #1","BOY #3","2.0"
"BOY #1","FORREST","2.0"
"BOY #1","JENNY",NA
"BOY #1","SLOW MOTION",NA
"BOY #2","BOY #3","2.0"
"BOY #2","FORREST","2.0"
"BOY #2","JENNY",NA
"BOY #2","SLOW MOTION",NA
"BOY #3","FORREST","2.0"
"BOY #3","JENNY",NA
"BOY #3","SLOW MOTION",NA
"BUBBA","DALLAS",NA
"BUBBA","MAN",NA
"BUBBA","NIGHT",NA
"BUBBA","SGT SIMS","2.0"
"BUBBA","SOLDIER",NA
"BUBBA","STRONGARM",NA
"BUS STOP - PRESENT - DAY","DICK CAVETT",NA
"BUS STOP - PRESENT - DAY","JOHN LENNON",NA
"CAB DRIVER","JENNY",NA
"CARLA","FORREST",NA
"CARLA","LT DAN",NA
"CHET HUNTLEY","ASSISTANT COACH",NA
"CHET HUNTLEY","FOOTBALL COACH",NA
"CHET HUNTLEY","FORREST",NA
"CHET HUNTLEY","GOVERNOR WALLACE",NA
"DALLAS","MAN",NA
"DALLAS","STRONGARM",NA
"DEAN","FORREST",NA
"DEAN","MRS GUMP",NA
"DICK CAVETT","JOHN LENNON",NA
"DICK CLARK","CARLA",NA
"DICK CLARK","FORREST","2.0"
"DICK CLARK","LENORE",NA
"DICK CLARK","LT DAN",NA
"DOCTOR","FORREST",NA
"DRILL SERGEANT","ANOTHER DAY",NA
"DRILL SERGEANT","BUBBA",NA
"DRILL SERGEANT","FORREST",NA
"DRILL SERGEANT","NIGHT",NA
"DRILL SERGEANT","SONG",NA
"ELVIS","MRS GUMP",NA
"EMCEE","JENNY",NA
"EMCEE","MAN #",NA
"EMCEE","MAN #1",NA
"EMCEE","MAN #2",NA
"EMCEE","MAN #3",NA
"EMCEE","MAN #5",NA
"EMCEE","MEN",NA
"ERNIE","FORREST JR",NA
"FOOTBALL COACH","FORREST","3.0"
"FORREST","ABBIE HOFFMAN",NA
"FORREST","AGING HIPPIE",NA
"FORREST","ANOTHER DAY",NA
"FORREST","BERT",NA
"FORREST","BILLY",NA
"FORREST","BLACK PANTHER",NA
"FORREST","BLACK WOMAN","2.0"
"FORREST","BOB HOPE",NA
"FORREST","BUBBA","6.0"
"FORREST","BUS DRIVER",NA
"FORREST","BUS STOP - PRESENT - DAY","2.0"
"FORREST","DALLAS",NA
"FORREST","DICK CAVETT",NA
"FORREST","DJ",NA
"FORREST","DRIVER",NA
"FORREST","EARL",NA
"FORREST","ELDERLY WOMAN","4.0"
"FORREST","ELVIS","2.0"
"FORREST","EMCEE",NA
"FORREST","ERNIE",NA
"FORREST","HILARY",NA
"FORREST","ISABEL",NA
"FORREST","JENNY'S DAD",NA
"FORREST","JOHN LENNON",NA
"FORREST","LITTLE BOY",NA
"FORREST","LYNN MARIE",NA
"FORREST","MALE NURSE",NA
"FORREST","MAN","2.0"
"FORREST","MAN #",NA
"FORREST","MAN #1",NA
"FORREST","MAN #2",NA
"FORREST","MAN #3",NA
"FORREST","MAN #5",NA
"FORREST","MASAI",NA
"FORREST","MEN",NA
"FORREST","MRS BLUE","2.0"
"FORREST","NEWSCASTER","2.0"
"FORREST","NIGHT",NA
"FORREST","NURSE",NA
"FORREST","OLD SHRIMPER","2.0"
"FORREST","OLDER BOY #1",NA
"FORREST","OLDER BOY #2",NA
"FORREST","POLICEMAN",NA
"FORREST","PRESIDENT KENNEDY",NA
"FORREST","PRINCIPAL",NA
"FORREST","RUBEN",NA
"FORREST","STRONGARM",NA
"FORREST","SUSAN",NA
"FORREST","VET",NA
"FORREST","WESLEY","2.0"
"FORREST","WHITE WOMAN",NA
"FORREST","WILD-EYED MAN",NA
"FORREST","YOUNG HIPPIE",NA
"FORREST","YOUNG MAN",NA
"FORREST JR","FORREST",NA
"GIRL","FORREST",NA
"GIRL","JENNY",NA
"HILARY","ABBIE HOFFMAN",NA
"HILARY","JENNY",NA
"HILARY","POLICEMAN",NA
"HILARY","VET",NA
"ISABEL","ABBIE HOFFMAN",NA
"ISABEL","HILARY",NA
"ISABEL","JENNY",NA
"ISABEL","POLICEMAN",NA
"ISABEL","VET",NA
"JENNY","BERT",NA
"JENNY","BILLY",NA
"JENNY","BLACK PANTHER",NA
"JENNY","DJ",NA
"JENNY","DRIVER",NA
"JENNY","ERNIE",NA
"JENNY","FORREST","17.0"
"JENNY","FORREST JR",NA
"JENNY","JENNY'S DAD",NA
"JENNY","LITTLE BOY",NA
"JENNY","LT DAN",NA
"JENNY","LYNN MARIE",NA
"JENNY","MAN #",NA
"JENNY","MAN #1",NA
"JENNY","MAN #2",NA
"JENNY","MAN #3",NA
"JENNY","MAN #5",NA
"JENNY","MASAI",NA
"JENNY","MEN",NA
"JENNY","OLDER BOY #2",NA
"JENNY","SLOW MOTION",NA
"JENNY","SUSAN",NA
"JENNY","WESLEY","2.0"
"JENNY","YOUNG HIPPIE",NA
"KATZENBACH","EARL",NA
"KATZENBACH","FORREST",NA
"LENORE","CARLA","2.0"
"LENORE","FORREST",NA
"LENORE","LT DAN",NA
"LITTLE BOY","BERT",NA
"LITTLE BOY","ERNIE",NA
"LITTLE BOY","FORREST JR",NA
"LOUISE","FORREST","2.0"
"LOUISE","JENNY",NA
"LOUISE","LT DAN",NA
"LOUISE","SUSAN",NA
"LT DAN","BUBBA",NA
"LT DAN","DALLAS",NA
"LT DAN","FORREST","9.0"
"LT DAN","MAN",NA
"LT DAN","SGT SIMS","5.0"
"LT DAN","STRONGARM",NA
"LT DAN","SUSAN",NA
"LYNN MARIE","BERT",NA
"LYNN MARIE","ERNIE",NA
"LYNN MARIE","FORREST JR",NA
"LYNN MARIE","LITTLE BOY",NA
"MALE NURSE","SOLDIER",NA
"MAN","ELDERLY WOMAN",NA
"MAN #","MAN #5",NA
"MAN #","MEN",NA
"MAN #1","MAN #",NA
"MAN #1","MAN #2",NA
"MAN #1","MAN #3",NA
"MAN #1","MAN #5",NA
"MAN #1","MEN",NA
"MAN #2","MAN #",NA
"MAN #2","MAN #3",NA
"MAN #2","MAN #5",NA
"MAN #2","MEN",NA
"MAN #3","MAN #",NA
"MAN #3","MAN #5",NA
"MAN #3","MEN",NA
"MARGO","LT DAN",NA
"MASAI","BLACK PANTHER",NA
"MASAI","WESLEY",NA
"MEN","MAN #5",NA
"MINISTER","FORREST",NA
"MINISTER","JENNY",NA
"MINISTER","LOUISE",NA
"MINISTER","LT DAN",NA
"MINISTER","SUSAN",NA
"MRS GUMP","BUS DRIVER",NA
"MRS GUMP","DOCTOR",NA
"MRS GUMP","FORREST","9.0"
"MRS GUMP","LOUISE",NA
"NEWSCASTER","JENNY",NA
"NEWSCASTER","LOUISE",NA
"NEWSCASTER","NEWSMAN",NA
"NEWSMAN","FORREST","2.0"
"NEWSMAN","GOVERNOR WALLACE",NA
"NEWSMAN","JENNY",NA
"NEWSMAN","REPORTER",NA
"NIGHT","SONG",NA
"OFFICER","FORREST","2.0"
"OLDER BOY","FOOTBALL COACH",NA
"OLDER BOY","FORREST",NA
"OLDER BOY #1","BOY",NA
"OLDER BOY #1","JENNY","2.0"
"OLDER BOY #1","OLDER BOY #2",NA
"PATRONS","FORREST",NA
"POLICEMAN","JENNY",NA
"PRESIDENT JOHNSON","FORREST",NA
"PRESIDENT NIXON","FORREST",NA
"PRESIDENT NIXON","OFFICER",NA
"PRINCIPAL","MRS GUMP","3.0"
"REPORTER","FORREST",NA
"REVEREND","FORREST",NA
"RUBEN","BLACK PANTHER",NA
"RUBEN","JENNY",NA
"RUBEN","MASAI",NA
"RUBEN","WESLEY",NA
"SECURITY GUARD","FORREST",NA
"SGT SIMS","DALLAS",NA
"SGT SIMS","FORREST","3.0"
"SGT SIMS","MAN",NA
"SGT SIMS","SOLDIER",NA
"SGT SIMS","STRONGARM",NA
"SLOW MOTION","FORREST",NA
"SOLDIER","ANNOUNCER",NA
"SOLDIER","DALLAS",NA
"SOLDIER","FORREST","2.0"
"SOLDIER","LT DAN",NA
"SOLDIER","MAN",NA
"SOLDIER","STRONGARM",NA
"SONG","BUBBA","2.0"
"SONG","DALLAS",NA
"SONG","FORREST","3.0"
"SONG","LT DAN","3.0"
"SONG","MAN",NA
"SONG","SGT SIMS","3.0"
"SONG","SOLDIER",NA
"SONG","STRONGARM",NA
"STRONGARM","MAN",NA
"VET","ABBIE HOFFMAN",NA
"VET","JENNY",NA
