"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ABBIE HOFFMAN","316","3.0","1.956989247311828","0.0","6","0","3"
2,"AGING HIPPIE","316","3.0","2.032258064516129","0.0","1","0","2"
3,"ANCHORMAN","316","3.0","1.978494623655914","32.233333333333334","5","0","2"
4,"ANNOUNCER","316","3.0","1.967741935483871","0.9166666666666665","4","0","4"
5,"ANOTHER DAY","316","3.0","1.989247311827957","0.0","5","0","4"
6,"ASSISTANT COACH","316","3.0","2.0","0.0","3","0","2"
7,"BERT","316","3.0","1.956989247311828","0.0","6","0","0"
8,"BILLY","316","3.0","1.978494623655914","0.0","4","0","0"
9,"BLACK PANTHER","316","3.0","1.967741935483871","0.0","5","0","5"
10,"BLACK WOMAN","316","3.0","1.978494623655914","0.0","4","0","0"
11,"BOB HOPE","316","3.0","2.010752688172043","0.0","2","0","4"
12,"BOY","316","3.0","2.4946236559139785","0.0","2","0","0"
13,"BOY #1","316","3.0","1.967741935483871","0.0","5","0","0"
14,"BOY #2","316","3.0","1.967741935483871","0.0","5","0","0"
15,"BOY #3","316","3.0","1.967741935483871","0.0","5","0","0"
16,"BUBBA","316","3.0","1.913978494623656","6.75","11","0","4"
17,"BUS DRIVER","316","3.0","2.021505376344086","0.0","2","0","2"
18,"BUS STOP - PRESENT - DAY","316","3.0","2.010752688172043","0.0","3","0","2"
19,"CAB DRIVER","316","3.0","2.5053763440860215","0.0","1","0","0"
20,"CARLA","316","3.0","1.989247311827957","0.0","4","0","4"
21,"CHET HUNTLEY","316","3.0","1.989247311827957","37.149999999999984","4","0","2"
22,"DALLAS","316","3.0","1.946236559139785","0.0","8","0","4"
23,"DEAN","316","3.0","2.021505376344086","0.0","2","0","2"
24,"DICK CAVETT","316","3.0","2.010752688172043","0.0","3","0","2"
25,"DICK CLARK","316","3.0","1.989247311827957","0.0","4","0","4"
26,"DJ","316","3.0","2.0","0.0","2","0","0"
27,"DOCTOR","316","3.0","2.021505376344086","0.0","2","0","2"
28,"DRILL SERGEANT","316","3.0","1.989247311827957","0.0","5","0","4"
29,"DRIVER","316","3.0","2.0","0.0","2","0","0"
30,"EARL","316","3.0","2.021505376344086","0.0","2","0","2"
31,"ELDERLY WOMAN","316","3.0","2.021505376344086","0.0","2","0","4"
32,"ELVIS","316","3.0","2.021505376344086","0.0","2","0","2"
33,"EMCEE","316","3.0","1.935483870967742","0.0","8","0","1"
34,"ERNIE","316","3.0","1.956989247311828","0.0","6","0","0"
35,"FOOTBALL COACH","316","3.0","1.989247311827957","1.3333333333333333","4","0","2"
36,"FORREST","316","2.0","1.043010752688172","3453.7999999999993","89","0","2"
37,"FORREST JR","316","3.0","1.956989247311828","0.0","6","0","0"
38,"GIRL","316","3.0","2.0","0.0","2","0","0"
39,"GOVERNOR WALLACE","316","4.0","2.903225806451613","0.5","2","0","6"
40,"HILARY","316","3.0","1.956989247311828","0.0","6","0","3"
41,"ISABEL","316","3.0","1.956989247311828","0.0","6","0","3"
42,"JENNY","316","2.0","1.5161290322580645","582.6166666666667","45","0","0"
43,"JENNY'S DAD","316","3.0","2.0","0.0","2","0","0"
44,"JOHN LENNON","316","3.0","2.010752688172043","0.0","3","0","2"
45,"KATZENBACH","316","3.0","2.021505376344086","0.0","2","0","2"
46,"LENORE","316","3.0","1.989247311827957","0.0","4","0","4"
47,"LITTLE BOY","316","3.0","1.956989247311828","0.0","6","0","0"
48,"LOUISE","316","3.0","1.935483870967742","4.416666666666667","7","0","6"
49,"LT DAN","316","3.0","1.8064516129032258","120.01666666666662","19","0","4"
50,"LYNN MARIE","316","3.0","1.956989247311828","0.0","6","0","0"
51,"MALE NURSE","316","3.0","2.021505376344086","0.0","2","0","4"
52,"MAN","316","3.0","1.935483870967742","3.833333333333333","9","0","4"
53,"MAN #","316","3.0","1.935483870967742","0.0","8","0","1"
54,"MAN #1","316","3.0","1.935483870967742","0.0","8","0","1"
55,"MAN #2","316","3.0","1.935483870967742","0.0","8","0","1"
56,"MAN #3","316","3.0","1.935483870967742","0.0","8","0","1"
57,"MAN #5","316","3.0","1.935483870967742","0.0","8","0","1"
58,"MARGO","316","4.0","2.763440860215054","0.0","2","0","2"
59,"MASAI","316","3.0","1.967741935483871","0.0","5","0","5"
60,"MEN","316","3.0","1.935483870967742","0.0","8","0","1"
61,"MINISTER","316","3.0","1.956989247311828","0.0","5","0","6"
62,"MRS BLUE","316","3.0","2.032258064516129","0.0","1","0","2"
63,"MRS GUMP","316","3.0","1.946236559139785","11.999999999999998","8","0","2"
64,"NEWSCASTER","316","3.0","1.956989247311828","3.25","5","0","6"
65,"NEWSMAN","316","3.0","1.956989247311828","55.68333333333339","5","0","6"
66,"NIGHT","316","3.0","1.989247311827957","0.0","5","0","4"
67,"NURSE","316","3.0","2.032258064516129","0.0","1","0","2"
68,"OFFICER","316","3.0","2.021505376344086","0.0","2","0","2"
69,"OLD SHRIMPER","316","3.0","2.032258064516129","0.0","1","0","2"
70,"OLDER BOY","316","3.0","2.021505376344086","0.0","2","0","2"
71,"OLDER BOY #1","316","3.0","1.978494623655914","21.416666666666675","4","0","0"
72,"OLDER BOY #2","316","3.0","1.989247311827957","0.0","3","0","0"
73,"PATRONS","316","3.0","2.032258064516129","0.0","1","0","2"
74,"POLICEMAN","316","3.0","1.956989247311828","0.0","6","0","3"
75,"PRESIDENT JOHNSON","316","3.0","2.010752688172043","0.0","2","0","2"
76,"PRESIDENT KENNEDY","316","3.0","2.032258064516129","0.0","1","0","2"
77,"PRESIDENT NIXON","316","3.0","2.021505376344086","0.0","2","0","2"
78,"PRINCIPAL","316","3.0","2.021505376344086","0.0","2","0","2"
79,"REPORTER","316","3.0","2.010752688172043","0.0","2","0","6"
80,"REVEREND","316","3.0","2.032258064516129","0.0","1","0","2"
81,"RUBEN","316","3.0","1.967741935483871","0.0","5","0","5"
82,"SECURITY GUARD","316","3.0","2.032258064516129","0.0","1","0","2"
83,"SGT SIMS","316","3.0","1.946236559139785","0.0","8","0","4"
84,"SLOW MOTION","316","3.0","1.967741935483871","0.0","5","0","0"
85,"SOLDIER","316","3.0","1.924731182795699","6.333333333333335","10","0","4"
86,"SONG","316","3.0","1.913978494623656","6.75","11","0","4"
87,"STRONGARM","316","3.0","1.946236559139785","0.0","8","0","4"
88,"SUSAN","316","3.0","1.956989247311828","0.0","5","0","6"
89,"VET","316","3.0","1.956989247311828","0.0","6","0","3"
90,"WESLEY","316","3.0","1.967741935483871","0.0","5","0","5"
91,"WHITE WOMAN","316","3.0","1.978494623655914","0.0","4","0","0"
92,"WILD-EYED MAN","316","3.0","2.032258064516129","0.0","1","0","2"
93,"YOUNG HIPPIE","316","3.0","2.0","0.0","2","0","0"
94,"YOUNG MAN","316","3.0","2.021505376344086","0.0","2","0","6"
