"from","to","weight"
"ASSASSIN #1","ASSASSIN #3",NA
"CASSIUS","COMMODUS",NA
"CASSIUS","MAXIMUS",NA
"CASSIUS","PROXIMO",NA
"CASSIUS","TRAINER #1",NA
"CASSIUS","TRAINER #3",NA
"CASSIUS","TRAINER #4",NA
"CENTURION BODY GUARD","MAXIMUS",NA
"CENTURION BODY GUARD","PROXIMO",NA
"CHILD","COMMODUS",NA
"CHILD","GAIUS",NA
"CHILD","GRACCHUS",NA
"CHILD","LUCILLA",NA
"CHILD","MARCELLUS",NA
"COMMODUS","CENTURION BODY GUARD",NA
"COMMODUS","GAIUS",NA
"COMMODUS","GRACCHUS",NA
"COMMODUS","HANDMAIDEN",NA
"COMMODUS","MARCELLUS",NA
"COMMODUS","MAXIMUS","5.0"
"COMMODUS","PROXIMO",NA
"COMMODUS","QUINTUS",NA
"COMMODUS","SOLDIER #1",NA
"COMMODUS","TITUS",NA
"FALCO","COMMODUS",NA
"FALCO","GAIUS",NA
"FALCO","MARCUS",NA
"FALCO","MAXIMUS",NA
"FALCO","QUINTUS",NA
"FALCO","TITUS",NA
"GAIUS","GRACCHUS","3.0"
"GAIUS","LUCIUS",NA
"GAIUS","MAXIMUS",NA
"GAIUS","QUINTUS",NA
"GAIUS","TITUS",NA
"GALLUS","VALERIUS",NA
"GRACCHUS","LUCIUS",NA
"GRACCHUS","MARCELLUS","3.0"
"GRACCHUS","MAXIMUS",NA
"JUBA","LUCILLA",NA
"JUBA","MAXIMUS","3.0"
"JUBA","PROXIMO","2.0"
"LUCILLA","CENTURION BODY GUARD",NA
"LUCILLA","COMMODUS","7.0"
"LUCILLA","GAIUS","3.0"
"LUCILLA","GRACCHUS","3.0"
"LUCILLA","MARCELLUS","2.0"
"LUCILLA","PROXIMO",NA
"LUCIUS","COMMODUS",NA
"LUCIUS","LUCILLA",NA
"LUCIUS","MAXIMUS",NA
"MARCELLUS","GAIUS","3.0"
"MARCELLUS","LUCIUS",NA
"MARCUS","COMMODUS","2.0"
"MARCUS","GAIUS",NA
"MARCUS","GERMAN PRISONER",NA
"MARCUS","LUCILLA",NA
"MARCUS","MAXIMUS","3.0"
"MARCUS","QUINTUS",NA
"MARCUS","TITUS",NA
"MAXIMUS","ASSASSIN #3",NA
"MAXIMUS","GALLUS",NA
"MAXIMUS","GERMAN PRISONER",NA
"MAXIMUS","LUCILLA","5.0"
"MAXIMUS","PROXIMO","6.0"
"MAXIMUS","QUINTUS","4.0"
"MAXIMUS","TITUS","2.0"
"MAXIMUS","VALERIUS",NA
"MAXIMUS","VIBIUS","2.0"
"PROXIMO","TRAINER #3",NA
"PROXIMO","TRAINER #4",NA
"PROXIMO","VIBIUS","2.0"
"QUINTUS","TITUS","2.0"
"SCRIBE","PROXIMO",NA
"SCRIBE","VIBIUS",NA
"SLAVE TRADER","PROXIMO",NA
"SOLDIER #1","LUCILLA",NA
"TRAINER #1","PROXIMO",NA
"TRAINER #1","TRAINER #3",NA
"TRAINER #1","TRAINER #4",NA
"TRAINER #3","TRAINER #4",NA
"VIBIUS","JUBA",NA
