"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ASSASSIN #1","352","4.0","3.2142857142857144","0.0","1","0","2"
2,"ASSASSIN #3","352","3.0","2.25","27.0","2","0","2"
3,"CASSIUS","352","3.0","1.8214285714285714","24.3","6","0","3"
4,"CENTURION BODY GUARD","352","3.0","1.8928571428571428","0.0","4","0","0"
5,"CHILD","352","4.0","2.25","0.0","5","0","0"
6,"COMMODUS","352","3.0","1.4642857142857142","85.80476190476188","16","0","0"
7,"FALCO","352","3.0","2.0","0.0","6","0","1"
8,"GAIUS","352","3.0","1.8214285714285714","10.170238095238094","11","0","1"
9,"GALLUS","352","3.0","2.2857142857142856","0.0","2","0","2"
10,"GERMAN PRISONER","352","3.0","2.2857142857142856","0.0","2","0","2"
11,"GRACCHUS","352","3.0","1.9642857142857142","2.985714285714286","7","0","0"
12,"HANDMAIDEN","352","4.0","2.4285714285714284","0.0","1","0","0"
13,"JUBA","352","3.0","1.9285714285714286","0.8011904761904762","4","0","3"
14,"LUCILLA","352","3.0","1.6071428571428572","33.95595238095238","12","0","0"
15,"LUCIUS","352","3.0","2.0","1.2500000000000002","6","0","0"
16,"MARCELLUS","352","4.0","2.2142857142857144","0.2","6","0","0"
17,"MARCUS","352","3.0","1.9285714285714286","5.553571428571429","8","0","1"
18,"MAXIMUS","352","2.0","1.3571428571428572","163.84285714285716","18","0","2"
19,"PROXIMO","352","3.0","1.6071428571428572","93.6357142857143","12","0","3"
20,"QUINTUS","352","3.0","2.0","0.0","6","0","1"
21,"SCRIBE","352","4.0","2.5357142857142856","0.0","2","0","3"
22,"SLAVE TRADER","352","4.0","2.5714285714285716","0.0","1","0","3"
23,"SOLDIER #1","352","4.0","2.357142857142857","0.0","2","0","0"
24,"TITUS","352","3.0","2.0","0.0","6","0","1"
25,"TRAINER #1","352","4.0","2.4642857142857144","0.0","4","0","3"
26,"TRAINER #3","352","4.0","2.4642857142857144","0.0","4","0","3"
27,"TRAINER #4","352","4.0","2.4642857142857144","0.0","4","0","3"
28,"VALERIUS","352","3.0","2.2857142857142856","0.0","2","0","2"
29,"VIBIUS","352","3.0","2.0357142857142856","5.5","4","0","3"
