"from","to","weight"
"ALBERT","CEZAR",NA
"ALBERT","NEIL",NA
"BARTENDER","TV ANNOUNCER",NA
"BARTENDER","WAINGRO",NA
"BOSKO","DIETER",NA
"BOSKO","HANNA","5.0"
"BOSKO","RICHIE",NA
"BOSKO","SCHWARTZ",NA
"BREEDAN","CERRITO",NA
"BREEDAN","CHRIS","2.0"
"BREEDAN","LILLIAN","2.0"
"BREEDAN","NEIL","3.0"
"BREEDAN","SOLENKO","3.0"
"BREEDAN","TOWNER",NA
"BRUCE","HANNA",NA
"CASALS","WIDE",NA
"CERRITO","ANITA",NA
"CERRITO","CASALS",NA
"CERRITO","CHRIS","3.0"
"CERRITO","CLERK",NA
"CERRITO","HANNA",NA
"CERRITO","SCHWARTZ",NA
"CERRITO","TIMMONS",NA
"CERRITO","TOWNER","2.0"
"CEZAR","NEIL",NA
"CHARLENE","MICHAEL",NA
"CHRIS","CHARLENE",NA
"CHRIS","FARINA",NA
"CHRIS","MICHAEL",NA
"CLERK","CHRIS",NA
"COOK","VAN ZANT",NA
"COP #5","FARINA",NA
"DIETER","CASALS",NA
"DIETER","WIDE",NA
"DISPATCHER","TOWNER",NA
"DOC","DR BOB",NA
"DOC","NEIL",NA
"DOCTOR","EADY",NA
"DOCTOR","NEIL",NA
"DOCTOR","RADIO ANNOUNCER",NA
"DRUCKER","BOSKO","2.0"
"DRUCKER","CASALS",NA
"DRUCKER","HANNA","5.0"
"ELAINE","ANITA",NA
"ELAINE","CERRITO",NA
"FARINA","CHARLENE","2.0"
"FARINA","DRUCKER",NA
"FARINA","HANNA",NA
"FARINA","MARCIANO","2.0"
"GUNMAN","NEIL",NA
"HANNA","ALBERT","2.0"
"HANNA","ALPHONSE",NA
"HANNA","CASALS","3.0"
"HANNA","CEZAR",NA
"HANNA","CUZOMANO",NA
"HANNA","DESK CLERK/COP",NA
"HANNA","DIETER",NA
"HANNA","DOCTOR",NA
"HANNA","EADY",NA
"HANNA","HEINZ",NA
"HANNA","JUSTINE","3.0"
"HANNA","LAUREN",NA
"HANNA","MOTHER",NA
"HANNA","NATE","2.0"
"HANNA","ORDERLY",NA
"HANNA","RADIO ANNOUNCER",NA
"HANNA","RAOUL",NA
"HEINZ","BOSKO",NA
"HEINZ","DRUCKER",NA
"HUGH","VAN ZANT",NA
"HUGH","WAINGRO",NA
"JACKSON","HANNA","3.0"
"JOHN","CERRITO",NA
"JOHN","NEIL",NA
"JOHN","TIMMONS",NA
"JUSTINE","LAUREN",NA
"JUSTINE","RALPH",NA
"LILLIAN","BARTENDER",NA
"LILLIAN","TV ANNOUNCER",NA
"MARCIANO","CHARLENE","3.0"
"MARCIANO","HANNA",NA
"MARCIANO","SCHWARTZ",NA
"MICHAEL","NEIL",NA
"NATE","BOSKO",NA
"NATE","CHRIS",NA
"NATE","EADY",NA
"NATE","HUGH",NA
"NEIL","CASALS",NA
"NEIL","CASHIER",NA
"NEIL","CERRITO","5.0"
"NEIL","CHARLENE","4.0"
"NEIL","CHRIS","8.0"
"NEIL","COOK",NA
"NEIL","DR BOB",NA
"NEIL","DRIVER",NA
"NEIL","EADY","8.0"
"NEIL","HANNA","4.0"
"NEIL","KELSO","2.0"
"NEIL","NATE","4.0"
"NEIL","SCHWARTZ",NA
"NEIL","TIMMONS",NA
"NEIL","VAN ZANT","3.0"
"NEIL","WAINGRO","3.0"
"OPERATOR","HANNA",NA
"OPERATOR","JUSTINE",NA
"OPERATOR","NEIL",NA
"ORDERLY","DOCTOR",NA
"ORDERLY","EADY",NA
"ORDERLY","NEIL",NA
"ORDERLY","RADIO ANNOUNCER",NA
"PROSTITUTE","WAINGRO",NA
"RADIO ANNOUNCER","EADY",NA
"RADIO ANNOUNCER","NEIL","2.0"
"RALPH","HANNA",NA
"RAOUL","ALBERT",NA
"RICHIE","HANNA",NA
"RICHIE","MOTHER",NA
"SCHWARTZ","CASALS",NA
"SCHWARTZ","HANNA","3.0"
"SCHWARTZ","RICHIE",NA
"SOLENKO","CASHIER",NA
"SOLENKO","CERRITO",NA
"SOLENKO","CHRIS",NA
"SOLENKO","NEIL","2.0"
"SOLENKO","TOWNER",NA
"TOWNER","CHRIS",NA
"TOWNER","NEIL","2.0"
"UNIT TWO","CHARLENE",NA
"UNIT TWO","FARINA",NA
"UNIT TWO","MARCIANO",NA
"VAN ZANT","NATE",NA
"VAN ZANT","WAINGRO",NA
"WAINGRO","CERRITO","3.0"
"WAINGRO","LILLIAN",NA
"WAINGRO","TOWNER","2.0"
