"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ALBERT","387","4.0","2.1551724137931036","9.449999999999996","4","0","1"
2,"ALPHONSE","387","5.0","2.586206896551724","0.0","1","0","1"
3,"ANITA","387","4.0","2.7758620689655173","0.0","2","0","2"
4,"BARTENDER","387","5.0","3.1379310344827585","17.26014328808447","3","0","3"
5,"BOSKO","387","5.0","2.413793103448276","10.428571428571427","7","0","5"
6,"BREEDAN","387","3.0","2.2586206896551726","49.51585505997267","6","0","2"
7,"BRUCE","387","5.0","2.586206896551724","0.0","1","0","1"
8,"CASALS","387","4.0","2.0344827586206895","69.22026862026864","7","0","5"
9,"CASHIER","387","4.0","2.5","0.0","2","0","0"
10,"CERRITO","387","3.0","1.8103448275862069","273.06185448538395","14","0","2"
11,"CEZAR","387","4.0","2.1724137931034484","0.0","3","0","1"
12,"CHARLENE","387","4.0","2.310344827586207","40.7281512605042","6","0","4"
13,"CHRIS","387","3.0","2.1206896551724137","68.8468900380665","10","0","2"
14,"CLERK","387","4.0","2.6724137931034484","0.0","2","0","2"
15,"COOK","387","4.0","2.4827586206896552","0.0","2","0","3"
16,"COP #5","387","5.0","3.2586206896551726","0.0","1","0","4"
17,"CUZOMANO","387","5.0","2.586206896551724","0.0","1","0","1"
18,"DESK CLERK/COP","387","5.0","2.586206896551724","0.0","1","0","1"
19,"DIETER","387","5.0","2.5172413793103448","12.154761904761905","4","0","5"
20,"DISPATCHER","387","4.0","3.206896551724138","0.0","1","0","2"
21,"DOC","387","4.0","2.5","0.0","2","0","0"
22,"DOCTOR","387","4.0","2.1379310344827585","0.0","5","0","0"
23,"DR BOB","387","4.0","2.5","0.0","2","0","0"
24,"DRIVER","387","4.0","2.5172413793103448","0.0","1","0","0"
25,"DRUCKER","387","5.0","2.4310344827586206","6.1345238095238095","5","0","5"
26,"EADY","387","4.0","2.103448275862069","1.5999999999999999","6","0","0"
27,"ELAINE","387","4.0","2.7758620689655173","0.0","2","0","2"
28,"FARINA","387","4.0","2.2758620689655173","86.88495295554118","7","0","4"
29,"GUNMAN","387","4.0","2.5172413793103448","0.0","1","0","0"
30,"HANNA","387","4.0","1.603448275862069","725.7820925806224","29","0","1"
31,"HEINZ","387","5.0","2.5517241379310347","0.0","3","0","5"
32,"HUGH","387","4.0","2.7586206896551726","2.0554945054945053","3","0","3"
33,"JACKSON","387","5.0","2.586206896551724","0.0","1","0","1"
34,"JOHN","387","4.0","2.4310344827586206","0.0","3","0","2"
35,"JUSTINE","387","5.0","2.5344827586206895","1.5","4","0","1"
36,"KELSO","387","4.0","2.5172413793103448","0.0","1","0","0"
37,"LAUREN","387","5.0","2.5689655172413794","0.0","2","0","1"
38,"LILLIAN","387","4.0","3.0517241379310347","41.16842814048697","4","0","3"
39,"MARCIANO","387","5.0","2.4310344827586206","19.154761904761905","5","0","4"
40,"MICHAEL","387","4.0","2.396551724137931","0.0","3","0","4"
41,"MOTHER","387","5.0","2.5689655172413794","0.0","2","0","5"
42,"NATE","387","4.0","2.0689655172413794","55.59652014652015","7","0","3"
43,"NEIL","387","3.0","1.5344827586206897","738.7874093227033","29","0","0"
44,"OPERATOR","387","4.0","2.1724137931034484","8.949999999999996","3","0","1"
45,"ORDERLY","387","4.0","2.1379310344827585","0.0","5","0","0"
46,"PROSTITUTE","387","5.0","3.206896551724138","0.0","1","0","3"
47,"RADIO ANNOUNCER","387","4.0","2.1379310344827585","0.0","5","0","0"
48,"RALPH","387","5.0","2.5689655172413794","0.0","2","0","1"
49,"RAOUL","387","5.0","2.5689655172413794","0.0","2","0","1"
50,"RICHIE","387","5.0","2.5344827586206895","1.0","4","0","5"
51,"SCHWARTZ","387","4.0","2.0172413793103448","34.20587157940099","7","0","5"
52,"SOLENKO","387","3.0","2.293103448275862","5.083333333333333","6","0","2"
53,"TIMMONS","387","4.0","2.4310344827586206","0.0","3","0","2"
54,"TOWNER","387","3.0","2.2241379310344827","60.59523809523809","7","0","2"
55,"TV ANNOUNCER","387","5.0","4.017241379310345","0.0","2","0","3"
56,"UNIT TWO","387","5.0","2.9482758620689653","0.0","3","0","4"
57,"VAN ZANT","387","4.0","2.3448275862068964","11.684065934065933","5","0","3"
58,"WAINGRO","387","4.0","2.2241379310344827","182.15081160669396","8","0","3"
59,"WIDE","387","5.0","2.9827586206896552","0.0","2","0","5"
