"from","to","weight"
"ANNOUNCER","ASSISTANT DIRECTOR",NA
"ANNOUNCER","CAMERAMAN",NA
"ANNOUNCER","DIRECTOR",NA
"ANNOUNCER","HOOPER",NA
"ANNOUNCER","VAUGHN","2.0"
"ASSISTANT","HOOPER",NA
"ASSISTANT DIRECTOR","CAMERAMAN",NA
"BRODY","CASSIDY",NA
"BRODY","DOCTOR",NA
"BRODY","ENSIGN",NA
"BRODY","GAFFER",NA
"BRODY","HOOPER","15.0"
"BRODY","KEISEL",NA
"BRODY","MAN",NA
"BRODY","MRS TAFT",NA
"BRODY","PRATT",NA
"BRODY","SEAN","2.0"
"BRODY","TAFT",NA
"BRODY","TV DIRECTOR",NA
"BRODY","VAUGHN","4.0"
"BRODY","WOMAN",NA
"CHARLIE","DENHERDER","2.0"
"COPTER SPOTTER","SONAR OPERATOR",NA
"DENHERDER","BRODY",NA
"DENHERDER","MEADOWS",NA
"DENHERDER","MRS TAFT",NA
"DENHERDER","WOMAN",NA
"DIRECTOR","ASSISTANT DIRECTOR",NA
"DIRECTOR","CAMERAMAN",NA
"DIRECTOR","VAUGHN",NA
"ELLEN","BRODY","8.0"
"ELLEN","VAUGHN",NA
"ENSIGN","HOOPER",NA
"GAFFER","HOOPER",NA
"GAFFER","MEADOWS",NA
"GARDNER","BRODY",NA
"HENDRICKS","BRODY","2.0"
"HENDRICKS","COPTER SPOTTER",NA
"HENDRICKS","SONAR OPERATOR",NA
"HOOPER","ELLEN",NA
"HOOPER","GARDNER",NA
"HOOPER","MAN",NA
"HOOPER","MEADOWS",NA
"HOOPER","VAUGHN","2.0"
"KEISEL","ELLEN",NA
"MEADOWS","BRODY","4.0"
"MEADOWS","DOCTOR",NA
"MEADOWS","MICHAEL",NA
"MEADOWS","MRS TAFT",NA
"MEADOWS","VAUGHN","3.0"
"MEADOWS","WOMAN",NA
"MICHAEL","BRODY","3.0"
"MICHAEL","ELLEN","2.0"
"MICHAEL","VAUGHN",NA
"NURSE","BRODY",NA
"NURSE","ELLEN",NA
"NURSE","MICHAEL",NA
"NURSE","VAUGHN",NA
"OFFICER","BRODY",NA
"POLLY","BRODY","2.0"
"PRATT","GAFFER",NA
"PRATT","HARRY",NA
"PRATT","HOOPER",NA
"PRATT","MEADOWS",NA
"RADIO ANNOUNCER","BRODY",NA
"RADIO ANNOUNCER","ELLEN",NA
"SEAN","ELLEN",NA
"SEAN","HOOPER",NA
"TAFT","ELLEN",NA
"TAFT","SEAN",NA
"TOURIST","WOMAN",NA
"TV DIRECTOR","ANNOUNCER",NA
"TV DIRECTOR","VAUGHN",NA
"VAUGHN","ARTHUR",NA
"VAUGHN","ASSISTANT DIRECTOR",NA
"VAUGHN","CAMERAMAN",NA
"VAUGHN","DENHERDER",NA
"VAUGHN","DOCTOR",NA
"VAUGHN","GAFFER",NA
"VAUGHN","HENDRICKS",NA
"VAUGHN","MRS TAFT",NA
"VAUGHN","PRATT",NA
"VAUGHN","WOMAN","2.0"
"WOMAN","ARTHUR",NA
"WOMAN","MRS TAFT",NA
