"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ANNOUNCER","450","3.0","2.142857142857143","8.916666666666666","6","1","0"
2,"ARTHUR","450","3.0","2.3714285714285714","0.0","2","1","4"
3,"ASSISTANT","450","4.0","2.742857142857143","0.0","1","1","1"
4,"ASSISTANT DIRECTOR","450","3.0","2.342857142857143","0.0","4","1","0"
5,"BRODY","450","2.0","1.3142857142857143","291.5333333333333","24","1","1"
6,"CAMERAMAN","450","3.0","2.342857142857143","0.0","4","1","0"
7,"CASSIDY","450","3.0","2.2857142857142856","0.0","1","1","1"
8,"CHARLIE","450","4.0","2.914285714285714","0.0","1","1","4"
9,"COPTER SPOTTER","450","4.0","2.942857142857143","0.0","2","1","2"
10,"DENHERDER","450","3.0","1.9428571428571428","34.0","6","1","4"
11,"DIRECTOR","450","3.0","2.342857142857143","0.0","4","1","0"
12,"DOCTOR","450","3.0","2.085714285714286","0.0","3","1","1"
13,"ELLEN","450","3.0","1.8857142857142857","19.800000000000004","9","1","3"
14,"ENSIGN","450","3.0","2.2","0.0","2","1","1"
15,"GAFFER","450","3.0","1.9714285714285715","0.0","5","1","1"
16,"GARDNER","450","3.0","2.2","0.0","2","1","1"
17,"HARRY","450","4.0","2.914285714285714","0.0","1","1","1"
18,"HENDRICKS","450","3.0","2.0","66.0","4","1","2"
19,"HOOPER","450","3.0","1.7714285714285714","67.46666666666665","12","1","1"
20,"KEISEL","450","3.0","2.257142857142857","0.0","2","1","3"
21,"MAN","450","3.0","2.2","0.0","2","1","1"
22,"MEADOWS","450","3.0","1.7714285714285714","15.166666666666663","10","1","1"
23,"MICHAEL","450","3.0","2.0285714285714285","0.5833333333333333","5","1","3"
24,"MRS TAFT","450","3.0","1.9714285714285715","0.0","5","1","4"
25,"NURSE","450","3.0","2.057142857142857","0.0","4","1","3"
26,"OFFICER","450","3.0","2.2857142857142856","0.0","1","1","1"
27,"POLLY","450","3.0","2.2857142857142856","0.0","1","1","1"
28,"PRATT","450","3.0","1.9428571428571428","34.0","6","1","1"
29,"RADIO ANNOUNCER","450","3.0","2.257142857142857","0.0","2","1","3"
30,"SEAN","450","3.0","2.142857142857143","0.8333333333333333","4","1","3"
31,"SONAR OPERATOR","450","4.0","2.942857142857143","0.0","2","1","2"
32,"TAFT","450","3.0","2.2285714285714286","0.0","3","1","3"
33,"TOURIST","450","4.0","2.8857142857142857","0.0","1","1","4"
34,"TV DIRECTOR","450","3.0","2.085714285714286","1.9000000000000001","3","1","0"
35,"VAUGHN","450","2.0","1.457142857142857","179.54999999999995","19","1","0"
36,"WOMAN","450","3.0","1.9142857142857144","40.25","7","1","4"
