"from","to","weight"
"ALL THREE","ELLIE",NA
"ALL THREE","GENNARO",NA
"ALL THREE","GRANT",NA
"ARNOLD","GRANT","2.0"
"ARNOLD","HAMMOND","6.0"
"ARNOLD","LEX","2.0"
"ARNOLD","MULDOON","3.0"
"ARNOLD","NEDRY","2.0"
"ARNOLD","PRE-RECORDED VOICE",NA
"CAPTAIN FARRELL","GENNARO",NA
"CAPTAIN FARRELL","GRANT",NA
"CAPTAIN FARRELL","LEX",NA
"CAPTAIN FARRELL","NEDRY",NA
"CAPTAIN FARRELL","REGIS",NA
"CAPTAIN FARRELL","TIMMY",NA
"ELLIE","ARNOLD","3.0"
"ELLIE","GRANT","13.0"
"ELLIE","HAMMOND","6.0"
"ELLIE","LEX","4.0"
"ELLIE","MULDOON","7.0"
"ELLIE","NEDRY","3.0"
"ELLIE","TIM","2.0"
"ELLIE","TIMMY","4.0"
"ELLIE","WU","6.0"
"GENNARO","ELLIE","4.0"
"GENNARO","GRANT","8.0"
"GENNARO","GRANT AND TIMMY",NA
"GENNARO","HARDING","2.0"
"GENNARO","LEX","5.0"
"GENNARO","TIMMY","3.0"
"GRANT","GRANT AND TIMMY","2.0"
"GRANT","HAMMOND","8.0"
"GRANT","HARDING",NA
"GRANT","MULDOON","3.0"
"GRANT","RECORDED VOICE",NA
"GRANT","STUDENT",NA
"GRANT","TIM","4.0"
"HAMMOND","GENNARO","3.0"
"HAMMOND","GRANT AND TIMMY",NA
"HAMMOND","HARDING",NA
"HAMMOND","LEX","4.0"
"HAMMOND","PRE-RECORDED VOICE","2.0"
"HAMMOND","RECORDED VOICE",NA
"HAMMOND","TIMMY","3.0"
"HARDING","ELLIE",NA
"HARDING","TIMMY",NA
"LEX","GRANT","10.0"
"LEX","GRANT AND TIMMY","2.0"
"LEX","HARDING",NA
"LEX","PRE-RECORDED VOICE",NA
"LEX","RECORDED VOICE",NA
"LEX","TIMMY","10.0"
"LEX","VET",NA
"LEX","WU","3.0"
"MOUTH","BAKER",NA
"MOUTH","NEDRY",NA
"MULDOON","HAMMOND","6.0"
"MULDOON","LEX","3.0"
"MULDOON","NEDRY","2.0"
"MULDOON","PRE-RECORDED VOICE",NA
"MULDOON","RECORDED VOICE",NA
"MULDOON","TIMMY",NA
"MULDOON","WU","2.0"
"NEDRY","BAKER",NA
"NEDRY","GENNARO",NA
"NEDRY","GRANT","3.0"
"NEDRY","HAMMOND","2.0"
"NEDRY","LEX",NA
"NEDRY","PRE-RECORDED VOICE",NA
"NEDRY","TIMMY","2.0"
"PILOT","ELLIE",NA
"PILOT","GENNARO",NA
"PILOT","GRANT",NA
"PILOT","NEDRY",NA
"PILOT","REGIS",NA
"PRE-RECORDED VOICE","ALL THREE",NA
"PRE-RECORDED VOICE","ELLIE","3.0"
"PRE-RECORDED VOICE","GENNARO","2.0"
"PRE-RECORDED VOICE","GRANT","3.0"
"PRE-RECORDED VOICE","REGIS","2.0"
"RECORDED VOICE","ARNOLD",NA
"RECORDED VOICE","NEDRY",NA
"RECORDED VOICE","PRE-RECORDED VOICE",NA
"REGIS","ARNOLD",NA
"REGIS","ELLIE","5.0"
"REGIS","GENNARO","7.0"
"REGIS","GRANT","7.0"
"REGIS","HAMMOND","2.0"
"REGIS","HARDING",NA
"REGIS","LEX","4.0"
"REGIS","MULDOON","2.0"
"REGIS","NEDRY","2.0"
"REGIS","RECORDED VOICE",NA
"REGIS","TIM",NA
"ROSS","GENNARO",NA
"STUDENT","ELLIE",NA
"TIM","GENNARO",NA
"TIM","LEX","5.0"
"TIMMY","ARNOLD","2.0"
"TIMMY","GRANT","10.0"
"TIMMY","REGIS","3.0"
"TIMMY","TIM","3.0"
"VET","ELLIE",NA
"VET","GENNARO",NA
"VET","GRANT",NA
"VET","HARDING",NA
"VET","REGIS",NA
"VET","TIMMY",NA
"WU","ARNOLD","4.0"
"WU","GENNARO",NA
"WU","GRANT","2.0"
"WU","GRANT AND TIMMY",NA
"WU","HAMMOND","3.0"
"WU","TIM",NA
"WU","TIMMY",NA
