"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ALL THREE","460","3.0","1.9130434782608696","0.0","4","0","1"
2,"ARNOLD","460","3.0","1.565217391304348","1.207936507936508","11","0","3"
3,"BAKER","460","3.0","2.260869565217391","0.0","2","0","0"
4,"CAPTAIN FARRELL","460","2.0","1.7391304347826086","0.0","6","0","2"
5,"ELLIE","460","2.0","1.2608695652173914","20.782142857142855","17","0","1"
6,"GENNARO","460","2.0","1.2608695652173914","37.054365079365084","17","0","2"
7,"GRANT","460","2.0","1.1304347826086956","33.766666666666666","20","0","1"
8,"GRANT AND TIMMY","460","3.0","1.8695652173913044","0.0","5","0","3"
9,"HAMMOND","460","2.0","1.391304347826087","6.064285714285714","14","0","3"
10,"HARDING","460","3.0","1.7391304347826086","0.14285714285714285","8","0","2"
11,"LEX","460","2.0","1.2608695652173914","12.633333333333335","17","0","2"
12,"MOUTH","460","3.0","2.260869565217391","0.0","2","0","0"
13,"MULDOON","460","3.0","1.565217391304348","1.207936507936508","11","0","3"
14,"NEDRY","460","2.0","1.3478260869565217","46.2234126984127","15","0","0"
15,"PILOT","460","2.0","1.7826086956521738","0.0","5","0","0"
16,"PRE-RECORDED VOICE","460","2.0","1.5217391304347827","3.569444444444444","11","0","3"
17,"RECORDED VOICE","460","3.0","1.6956521739130435","0.0","8","0","3"
18,"REGIS","460","2.0","1.3043478260869565","10.171031746031746","16","0","2"
19,"ROSS","460","3.0","2.217391304347826","0.0","1","0","2"
20,"STUDENT","460","3.0","2.0434782608695654","0.0","2","0","1"
21,"TIM","460","3.0","1.7826086956521738","0.1111111111111111","7","0","2"
22,"TIMMY","460","2.0","1.391304347826087","5.994841269841269","14","0","2"
23,"VET","460","3.0","1.7826086956521738","0.0","7","0","2"
24,"WU","460","3.0","1.6521739130434783","2.0706349206349204","10","0","3"
