"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"BLONDE","548","2.0","1.9230769230769231","0.0","1","0","0"
2,"BURT","548","2.0","1.8461538461538463","0.0","2","0","2"
3,"DOCTOR","548","2.0","1.8461538461538463","0.0","2","0","1"
4,"DODD","548","2.0","1.7692307692307692","0.0","3","0","2"
5,"JIMMY","548","2.0","1.9230769230769231","0.0","1","0","0"
6,"LEONARD","548","1.0","1.0","69.5","13","0","0"
7,"LEONARD'S WIFE","548","2.0","1.9230769230769231","0.0","1","0","0"
8,"MAN","548","2.0","1.7692307692307692","0.0","3","0","2"
9,"MRS JANKIS","548","2.0","1.9230769230769231","0.0","1","0","0"
10,"NATALIE","548","2.0","1.9230769230769231","0.0","1","0","0"
11,"SAMMY","548","2.0","1.8461538461538463","0.0","2","0","1"
12,"TATTOOIST","548","2.0","1.8461538461538463","0.0","2","0","2"
13,"TEDDY","548","2.0","1.6153846153846154","2.5","5","0","2"
14,"WAITER","548","2.0","1.9230769230769231","0.0","1","0","0"
