"from","to","weight"
"BRETT","MARSELLUS",NA
"BRETT","MARVIN",NA
"BRETT","ROGER",NA
"BRETT","VINCENT",NA
"BUDDY","MIA",NA
"BUDDY","VINCENT",NA
"BUTCH","BRETT",NA
"BUTCH","CAPT KOONS",NA
"BUTCH","ESMARELDA","2.0"
"BUTCH","GAWKER #2",NA
"BUTCH","JULES",NA
"BUTCH","MARSELLUS","3.0"
"BUTCH","PEDESTRIAN",NA
"BUTCH","SPORTSCASTER #1",NA
"ENGLISH DAVE","BUTCH",NA
"FABIENNE","BRETT",NA
"FABIENNE","BUTCH","2.0"
"FABIENNE","JULES",NA
"FOURTH MAN","JULES",NA
"FOURTH MAN","VINCENT",NA
"GAWKER #2","MARSELLUS",NA
"HONEY BUNNY","MANAGER",NA
"JIMMIE","JULES","2.0"
"JODY","MIA",NA
"JULES","BRETT","2.0"
"JULES","HONEY BUNNY",NA
"JULES","MANAGER",NA
"JULES","MARSELLUS","2.0"
"JULES","MARVIN","2.0"
"JULES","PATRON",NA
"JULES","PUMPKIN",NA
"JULES","RAQUEL",NA
"JULES","ROGER",NA
"JULES","WINSTON",NA
"LANCE","JODY","3.0"
"LANCE","MIA",NA
"LANCE","VINCENT","4.0"
"MARSELLUS","ENGLISH DAVE",NA
"MARVIN","BUTCH",NA
"MARVIN","MARSELLUS",NA
"MARVIN","ROGER",NA
"MAYNARD","BUTCH",NA
"MAYNARD","THE GIMP",NA
"MAYNARD","ZED",NA
"MIA","BUTCH",NA
"MIA","CAPT KOONS",NA
"MIA","ED SULLIVAN",NA
"MIA","ENGLISH DAVE",NA
"MIA","MARSELLUS",NA
"MIA","MOTHER",NA
"MIA","WOMAN",NA
"MOTHER","BUTCH",NA
"MOTHER","CAPT KOONS",NA
"PATRON","HONEY BUNNY",NA
"PATRON","MANAGER",NA
"PATRON","PUMPKIN",NA
"PEDESTRIAN","GAWKER #2",NA
"PEDESTRIAN","MARSELLUS",NA
"PREACHER","JODY",NA
"PREACHER","LANCE",NA
"PREACHER","VINCENT",NA
"PUMPKIN","HONEY BUNNY","2.0"
"PUMPKIN","MANAGER",NA
"RAQUEL","VINCENT",NA
"ROGER","BUTCH",NA
"ROGER","MARSELLUS",NA
"SPORTSCASTER #1","SPORTSCASTER #2","2.0"
"THE WOLF","JIMMIE","6.0"
"THE WOLF","JULES","4.0"
"THE WOLF","VINCENT","3.0"
"VINCENT","BUTCH","3.0"
"VINCENT","CAPT KOONS",NA
"VINCENT","ED SULLIVAN",NA
"VINCENT","ENGLISH DAVE","2.0"
"VINCENT","HONEY BUNNY",NA
"VINCENT","JIMMIE",NA
"VINCENT","JODY","3.0"
"VINCENT","JULES","9.0"
"VINCENT","MANAGER",NA
"VINCENT","MARSELLUS","3.0"
"VINCENT","MARVIN","2.0"
"VINCENT","MIA","6.0"
"VINCENT","MOTHER",NA
"VINCENT","PATRON",NA
"VINCENT","PUMPKIN",NA
"VINCENT","ROGER",NA
"VINCENT","WOMAN",NA
"WAITRESS","HONEY BUNNY",NA
"WAITRESS","PUMPKIN",NA
"WINSTON","RAQUEL",NA
"WINSTON","VINCENT",NA
"WOMAN","BUTCH",NA
"WOMAN","CAPT KOONS",NA
"WOMAN","MOTHER",NA
"YOUNG MAN","HONEY BUNNY",NA
"YOUNG MAN","PUMPKIN",NA
"YOUNG MAN","WAITRESS",NA
"YOUNG MAN","YOUNG WOMAN",NA
"YOUNG WOMAN","HONEY BUNNY",NA
"YOUNG WOMAN","PUMPKIN",NA
"YOUNG WOMAN","WAITRESS",NA
"ZED","THE GIMP",NA
