"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"BRETT","660","3.0","1.972972972972973","2.666666666666666","7","0","1"
2,"BUDDY","660","4.0","2.3513513513513513","0.0","2","0","0"
3,"BUTCH","660","3.0","1.6216216216216217","248.33333333333334","17","0","1"
4,"CAPT KOONS","660","3.0","2.027027027027027","0.0","5","0","0"
5,"ED SULLIVAN","660","4.0","2.3513513513513513","0.0","2","0","0"
6,"ENGLISH DAVE","660","3.0","2.054054054054054","0.0","4","0","0"
7,"ESMARELDA","660","4.0","2.5945945945945947","0.0","1","0","1"
8,"FABIENNE","660","3.0","2.2162162162162162","0.0","3","0","1"
9,"FOURTH MAN","660","4.0","2.324324324324324","0.0","2","0","2"
10,"GAWKER #2","660","4.0","2.5405405405405403","0.0","3","0","1"
11,"HONEY BUNNY","660","4.0","2.081081081081081","49.5","8","0","3"
12,"JIMMIE","660","4.0","2.2972972972972974","0.0","3","0","2"
13,"JODY","660","4.0","2.2972972972972974","0.3333333333333333","4","0","0"
14,"JULES","660","3.0","1.6486486486486487","114.16666666666667","16","0","2"
15,"LANCE","660","4.0","2.2972972972972974","0.3333333333333333","4","0","0"
16,"MANAGER","660","4.0","2.1621621621621623","0.0","5","0","3"
17,"MARSELLUS","660","3.0","1.8918918918918919","26.666666666666668","10","0","1"
18,"MARVIN","660","3.0","2.0","0.0","6","0","1"
19,"MAYNARD","660","4.0","2.4864864864864864","70.0","3","0","4"
20,"MIA","660","3.0","1.864864864864865","33.5","11","0","0"
21,"MOTHER","660","3.0","2.027027027027027","0.0","5","0","0"
22,"PATRON","660","4.0","2.1621621621621623","0.0","5","0","3"
23,"PEDESTRIAN","660","4.0","2.5405405405405403","0.0","3","0","1"
24,"PREACHER","660","4.0","2.324324324324324","0.0","3","0","0"
25,"PUMPKIN","660","4.0","2.081081081081081","49.5","8","0","3"
26,"RAQUEL","660","4.0","2.2972972972972974","0.0","3","0","2"
27,"ROGER","660","3.0","2.0","0.0","6","0","1"
28,"SPORTSCASTER #1","660","4.0","2.5405405405405403","36.0","2","0","1"
29,"SPORTSCASTER #2","660","5.0","3.5135135135135136","0.0","1","0","1"
30,"THE GIMP","660","5.0","3.4324324324324325","0.0","2","0","4"
31,"THE WOLF","660","4.0","2.2972972972972974","0.0","3","0","2"
32,"VINCENT","660","3.0","1.4054054054054055","301.00000000000006","25","0","0"
33,"WAITRESS","660","5.0","2.972972972972973","0.0","4","0","3"
34,"WINSTON","660","4.0","2.2972972972972974","0.0","3","0","2"
35,"WOMAN","660","3.0","2.027027027027027","0.0","5","0","0"
36,"YOUNG MAN","660","5.0","2.972972972972973","0.0","4","0","3"
37,"YOUNG WOMAN","660","5.0","2.972972972972973","0.0","4","0","3"
38,"ZED","660","5.0","3.4324324324324325","0.0","2","0","4"
