"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"BABY SITTER","673","3.0","2.090909090909091","0.0","1","1","2"
2,"BRYCE","673","4.0","2.8181818181818183","0.0","1","1","1"
3,"CARL","673","3.0","2.0","0.0","2","1","3"
4,"DETECTIVE","673","4.0","2.5454545454545454","0.0","2","1","0"
5,"DOYLE","673","3.0","1.7272727272727273","4.5","4","1","0"
6,"GUNNISON","673","3.0","1.9090909090909092","10.0","2","1","1"
7,"JEFF","673","2.0","1.1818181818181819","42.5","9","1","2"
8,"LISA","673","3.0","1.6363636363636365","3.5","5","1","3"
9,"MRS DOYLE","673","3.0","2.090909090909091","0.0","1","1","2"
10,"POLICE","673","3.0","2.090909090909091","0.0","1","1","2"
11,"STELLA","673","3.0","1.7272727272727273","4.5","4","1","0"
12,"THORWALD","673","3.0","2.0","0.0","2","1","3"
