"from","to","weight"
"ANGEL","CONTINUED","4.0"
"ANGEL","LIZARD",NA
"ANGEL","MANNY",NA
"ANGEL","TOAD",NA
"ANGEL","TONY","3.0"
"BANKER","CONTINUED",NA
"BERNSTEIN","CONTINUED - 2","2.0"
"BERNSTEIN","ERNIE",NA
"BERNSTEIN","MEL",NA
"BERNSTEIN","TONY","2.0"
"CHI-CHI","CONTINUED","4.0"
"CHI-CHI","ERNIE",NA
"CHI-CHI","TONY","7.0"
"CHI-CHI","TRANSVESTITE",NA
"CONTINUED","BERNSTEIN","3.0"
"CONTINUED","CHICK",NA
"CONTINUED","CONTINUED - 2","2.0"
"CONTINUED","COOK",NA
"CONTINUED","FRANK",NA
"CONTINUED","GINA","6.0"
"CONTINUED","HEAD WAITER",NA
"CONTINUED","INTERVIEWER",NA
"CONTINUED","LIZARD",NA
"CONTINUED","LOPEZ","4.0"
"CONTINUED","MAN #1",NA
"CONTINUED","MAN #2",NA
"CONTINUED","MAN #3",NA
"CONTINUED","MANNY","2.0"
"CONTINUED","MEL",NA
"CONTINUED","NEWS ANCHORMAN",NA
"CONTINUED","NICK","2.0"
"CONTINUED","NO",NA
"CONTINUED","OMAR","3.0"
"CONTINUED","SALESMAN",NA
"CONTINUED","SHEFFIELD","2.0"
"CONTINUED","SOSA","5.0"
"CONTINUED","TONY","47.0"
"CONTINUED","TRANSVESTITE",NA
"CONTINUED - 2","ERNIE",NA
"CONTINUED - 2","MEL",NA
"DOCTOR","TONY",NA
"ELVIRA","CONTINUED","7.0"
"ELVIRA","FRANK",NA
"ELVIRA","HEAD WAITER",NA
"ELVIRA","LOPEZ","3.0"
"ELVIRA","MANNY",NA
"ELVIRA","NEWS ANCHORMAN",NA
"ELVIRA","SALESMAN",NA
"ELVIRA","TONY","10.0"
"ERNIE","CONTINUED","3.0"
"ERNIE","ELVIRA",NA
"ERNIE","FRANK",NA
"ERNIE","SHADOW",NA
"ERNIE","TONY","5.0"
"FEMALE COP","CONTINUED",NA
"FEMALE COP","SHADOW",NA
"GABRIELLA","CONTINUED",NA
"GINA","CHI-CHI",NA
"GINA","TONY","3.0"
"INTERVIEWER","SOSA",NA
"INTERVIEWER","TONY",NA
"LARGE MAN","BERNSTEIN",NA
"LARGE MAN","CONTINUED",NA
"LIZARD","TOAD",NA
"LIZARD","TONY",NA
"LOPEZ","BERNSTEIN",NA
"LOPEZ","CONTINUED - 2",NA
"LOPEZ","ERNIE","2.0"
"LOPEZ","FRANK",NA
"LOPEZ","HEAD WAITER",NA
"LOPEZ","MANNY",NA
"LOPEZ","MEL",NA
"LOPEZ","MUFFLED VOICE",NA
"LOPEZ","OMAR",NA
"LOPEZ","SHEFFIELD",NA
"LUIS","CONTINUED","2.0"
"LUIS","NICK","2.0"
"LUIS","SIEDELBAUM","2.0"
"LUIS","TONY","2.0"
"MAN #1","MAN #2",NA
"MAN #1","MAN #3",NA
"MAN #2","MAN #3",NA
"MEL","ERNIE",NA
"MONTANA","CONTINUED",NA
"MONTANA","MAN #1",NA
"MONTANA","MAN #2",NA
"MONTANA","MAN #3",NA
"MONTANA","NO",NA
"MONTANA","TONY",NA
"NICK","TONY","2.0"
"NO","MAN #1",NA
"NO","MAN #2",NA
"NO","MAN #3",NA
"OMAR","COOK",NA
"OWNER","BERNSTEIN",NA
"OWNER","CONTINUED","2.0"
"OWNER","LARGE MAN",NA
"OWNER","TONY",NA
"SALESLADY","TONY",NA
"SEIDELBAUM","CONTINUED",NA
"SEIDELBAUM","LUIS",NA
"SEIDELBAUM","NICK",NA
"SEIDELBAUM","SIEDELBAUM","2.0"
"SEIDELBAUM","TONY","2.0"
"SHADOW","CHI-CHI",NA
"SHADOW","CONTINUED","3.0"
"SHADOW","TONY","3.0"
"SHEFFIELD","ELVIRA",NA
"SHEFFIELD","TONY","3.0"
"SIEDELBAUM","CONTINUED",NA
"SIEDELBAUM","NICK",NA
"SOSA","GABRIELLA",NA
"SOSA","OMAR","2.0"
"TOAD","CONTINUED","2.0"
"TOAD","TONY","2.0"
"TONY","BANKER",NA
"TONY","CONTINUED - 2","2.0"
"TONY","COOK","2.0"
"TONY","CUSTOMS OFFICER",NA
"TONY","FEMALE COP",NA
"TONY","FRANK",NA
"TONY","GABRIELLA",NA
"TONY","HEAD WAITER",NA
"TONY","LARGE MAN",NA
"TONY","LOPEZ","4.0"
"TONY","MAN #1",NA
"TONY","MAN #2",NA
"TONY","MAN #3",NA
"TONY","MANNY","3.0"
"TONY","MEL",NA
"TONY","MIRIAM",NA
"TONY","NEWS ANCHORMAN",NA
"TONY","NO",NA
"TONY","OMAR","3.0"
"TONY","SALESMAN",NA
"TONY","SIEDELBAUM","2.0"
"TONY","SOSA","4.0"
"TONY","TRANSVESTITE",NA
"TONY","UP",NA
"TONY","VIC",NA
"VIC","CONTINUED",NA
"VIC","ELVIRA",NA
"VOICE #1","CONTINUED",NA
"VOICE #1","MAN #1",NA
"VOICE #1","MAN #2",NA
"VOICE #1","MAN #3",NA
"VOICE #1","MONTANA",NA
"VOICE #1","NO",NA
"VOICE #1","TONY",NA
"VOICE #1","VOICE #2",NA
"VOICE #2","CONTINUED",NA
"VOICE #2","MAN #1",NA
"VOICE #2","MAN #2",NA
"VOICE #2","MAN #3",NA
"VOICE #2","MONTANA",NA
"VOICE #2","NO",NA
"VOICE #2","TONY",NA
