"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ANGEL","710","3.0","1.9166666666666667","0.6666666666666666","5","0","2"
2,"BANKER","710","3.0","1.9791666666666667","0.0","2","0","3"
3,"BERNSTEIN","710","2.0","1.8333333333333333","3.333333333333333","8","0","1"
4,"CHI-CHI","710","3.0","1.8958333333333333","1.6666666666666665","6","0","3"
5,"CHICK","710","3.0","2.1041666666666665","0.0","1","0","2"
6,"CONTINUED","710","2.0","1.125","398.91666666666663","42","0","2"
7,"CONTINUED - 2","710","2.0","1.875","0.0","6","0","1"
8,"COOK","710","3.0","1.9583333333333333","0.0","3","0","3"
9,"CUSTOMS OFFICER","710","3.0","2.0208333333333335","0.0","1","0","3"
10,"DOCTOR","710","3.0","2.0208333333333335","0.0","1","0","3"
11,"ELVIRA","710","2.0","1.7708333333333333","10.249999999999998","11","0","2"
12,"ERNIE","710","2.0","1.7916666666666667","6.166666666666664","10","0","1"
13,"FEMALE COP","710","3.0","1.9583333333333333","0.0","3","0","3"
14,"FRANK","710","2.0","1.8958333333333333","0.0","5","0","1"
15,"GABRIELLA","710","3.0","1.9583333333333333","0.0","3","0","3"
16,"GINA","710","3.0","1.9583333333333333","0.0","3","0","3"
17,"HEAD WAITER","710","2.0","1.9166666666666667","0.0","4","0","2"
18,"INTERVIEWER","710","3.0","1.9583333333333333","0.0","3","0","3"
19,"LARGE MAN","710","3.0","1.9375","0.0","4","0","1"
20,"LIZARD","710","3.0","1.9375","0.0","4","0","2"
21,"LOPEZ","710","2.0","1.7291666666666667","56.74999999999999","13","0","1"
22,"LUIS","710","3.0","1.9166666666666667","0.0","5","0","0"
23,"MAN #1","710","3.0","1.8541666666666667","0.0","8","0","4"
24,"MAN #2","710","3.0","1.8541666666666667","0.0","8","0","4"
25,"MAN #3","710","3.0","1.8541666666666667","0.0","8","0","4"
26,"MANNY","710","2.0","1.8958333333333333","0.9999999999999999","5","0","2"
27,"MEL","710","2.0","1.875","0.0","6","0","1"
28,"MIRIAM","710","3.0","2.0208333333333335","0.0","1","0","3"
29,"MONTANA","710","3.0","1.8541666666666667","0.0","8","0","4"
30,"MUFFLED VOICE","710","3.0","2.7083333333333335","0.0","1","0","1"
31,"NEWS ANCHORMAN","710","3.0","1.9583333333333333","0.0","3","0","2"
32,"NICK","710","3.0","1.9166666666666667","0.0","5","0","0"
33,"NO","710","3.0","1.8541666666666667","0.0","8","0","4"
34,"OMAR","710","2.0","1.8958333333333333","1.6666666666666665","5","0","3"
35,"OWNER","710","3.0","1.9375","0.0","4","0","1"
36,"SALESLADY","710","3.0","2.0208333333333335","0.0","1","0","3"
37,"SALESMAN","710","3.0","1.9583333333333333","0.0","3","0","2"
38,"SEIDELBAUM","710","3.0","1.9166666666666667","0.0","5","0","0"
39,"SHADOW","710","3.0","1.9166666666666667","0.6666666666666666","5","0","3"
40,"SHEFFIELD","710","2.0","1.9166666666666667","0.0","4","0","2"
41,"SIEDELBAUM","710","3.0","1.9166666666666667","0.0","5","0","0"
42,"SOSA","710","3.0","1.9166666666666667","1.0","5","0","3"
43,"TOAD","710","3.0","1.9375","0.0","4","0","2"
44,"TONY","710","2.0","1.0416666666666667","576.9166666666666","46","0","3"
45,"TRANSVESTITE","710","3.0","1.9583333333333333","0.0","3","0","3"
46,"UP","710","3.0","2.0208333333333335","0.0","1","0","3"
47,"VIC","710","3.0","1.9583333333333333","0.0","3","0","2"
48,"VOICE #1","710","3.0","1.8541666666666667","0.0","8","0","4"
49,"VOICE #2","710","3.0","1.8541666666666667","0.0","8","0","4"
