"from","to","weight"
"BOY","SCHINDLER",NA
"BRINNLITZ GUY 2","GIRL",NA
"BRINNLITZ GUY 2","SCHINDLER",NA
"CLERK","SERGEANT",NA
"CLERK","STERN",NA
"CZURDA","GOETH",NA
"DOORMAN","SCHINDLER",NA
"EMILIE","KLONOWSKA",NA
"EMILIE","SCHINDLER","4.0"
"ENGINEER","GOETH",NA
"FOREMAN","SCHINDLER",NA
"FOREMAN","STERN",NA
"GESTAPO","SCHINDLER",NA
"GESTAPO CLERK","SCHINDLER","2.0"
"GOETH","BOY",NA
"GOETH","GOLDBERG",NA
"GOETH","GUARD",NA
"GOETH","HUJAR","2.0"
"GOETH","LEVARTOV",NA
"GOETH","SCHINDLER","5.0"
"GOETH","STERN",NA
"GOETH","TREBLINKA GUY",NA
"HOSS","SCHINDLER",NA
"HUJAR","ENGINEER",NA
"HUJAR","GUARD",NA
"INVESTIGATOR","SCHINDLER",NA
"JANEK","SCHINDLER",NA
"KUHNPAST","STERN",NA
"LEO JOHN","SCHINDLER",NA
"LEVARTOV","GOLDBERG",NA
"LEVARTOV","STERN",NA
"LIEUTENANT","SCHINDLER",NA
"MECHANIC","SCHINDLER",NA
"PARTISAN","PFEFFERBERG",NA
"PFEFFERBERG","GOETH",NA
"PFEFFERBERG","GOLDBERG","2.0"
"PRISONER","GOLDBERG",NA
"RASCH","EMILIE",NA
"RUSSIAN","WORKER",NA
"SCHERNER","GOETH",NA
"SCHERNER","TREBLINKA GUY",NA
"SCHINDLER","CLERK",NA
"SCHINDLER","CZURDA",NA
"SCHINDLER","GIRL",NA
"SCHINDLER","GUARD","2.0"
"SCHINDLER","HUJAR",NA
"SCHINDLER","INVESTOR",NA
"SCHINDLER","INVESTOR 1",NA
"SCHINDLER","KLONOWSKA",NA
"SCHINDLER","KUHNPAST",NA
"SCHINDLER","LEVARTOV","2.0"
"SCHINDLER","LIEPOLD",NA
"SCHINDLER","LOWENSTEIN",NA
"SCHINDLER","MISS KRAUSE","2.0"
"SCHINDLER","PFEFFERBERG","2.0"
"SCHINDLER","PRIEST",NA
"SCHINDLER","RASCH","2.0"
"SCHINDLER","SCHERNER",NA
"SCHINDLER","SERGEANT",NA
"SCHINDLER","TOFFEL",NA
"SCHINDLER","WORKER",NA
"SERGEANT","STERN",NA
"SS OFFICER","GOETH",NA
"SS OFFICER","SCHERNER",NA
"SS OFFICER","SCHINDLER",NA
"SS OFFICER","TREBLINKA GUY",NA
"STERN","EMILIE",NA
"STERN","GOLDBERG",NA
"STERN","LOWENSTEIN",NA
"STERN","SCHINDLER","14.0"
"TEACHER","CLERK","2.0"
"TOFFEL","SCHERNER",NA
"WAITER","LIEUTENANT",NA
"WAITER","SCHINDLER",NA
"WORKER","GOETH",NA
"WORKER","LEVARTOV",NA
