"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"BOY","712","3.0","2.0454545454545454","0.0","2","0","3"
2,"BRINNLITZ GUY 2","712","4.0","2.1363636363636362","0.0","2","0","1"
3,"CLERK","712","3.0","2.022727272727273","43.0","4","0","2"
4,"CZURDA","712","3.0","2.0454545454545454","0.0","2","0","3"
5,"DOORMAN","712","4.0","2.159090909090909","0.0","1","0","1"
6,"EMILIE","712","3.0","2.0454545454545454","2.3","4","0","1"
7,"ENGINEER","712","4.0","2.659090909090909","0.0","2","0","3"
8,"FOREMAN","712","3.0","2.090909090909091","0.0","2","0","2"
9,"GESTAPO","712","4.0","2.159090909090909","0.0","1","0","1"
10,"GESTAPO CLERK","712","4.0","2.159090909090909","0.0","1","0","1"
11,"GIRL","712","4.0","2.1363636363636362","0.0","2","0","1"
12,"GOETH","712","3.0","1.7045454545454546","104.1","14","0","3"
13,"GOLDBERG","712","3.0","2.3863636363636362","44.333333333333336","5","0","0"
14,"GUARD","712","3.0","2.022727272727273","0.0","3","0","3"
15,"HOSS","712","4.0","2.159090909090909","0.0","1","0","1"
16,"HUJAR","712","3.0","2.0","13.166666666666663","4","0","3"
17,"INVESTIGATOR","712","4.0","2.159090909090909","0.0","1","0","1"
18,"INVESTOR","712","4.0","2.159090909090909","0.0","1","0","1"
19,"INVESTOR 1","712","4.0","2.159090909090909","0.0","1","0","1"
20,"JANEK","712","4.0","2.159090909090909","0.0","1","0","1"
21,"KLONOWSKA","712","4.0","2.1363636363636362","0.0","2","0","1"
22,"KUHNPAST","712","3.0","2.090909090909091","0.0","2","0","2"
23,"LEO JOHN","712","4.0","2.159090909090909","0.0","1","0","1"
24,"LEVARTOV","712","3.0","1.9318181818181819","12.866666666666665","5","0","0"
25,"LIEPOLD","712","4.0","2.159090909090909","0.0","1","0","1"
26,"LIEUTENANT","712","4.0","2.1363636363636362","0.0","2","0","1"
27,"LOWENSTEIN","712","3.0","2.090909090909091","0.0","2","0","2"
28,"MECHANIC","712","4.0","2.159090909090909","0.0","1","0","1"
29,"MISS KRAUSE","712","4.0","2.159090909090909","0.0","1","0","1"
30,"PARTISAN","712","4.0","2.9318181818181817","0.0","1","0","0"
31,"PFEFFERBERG","712","3.0","1.9545454545454546","53.2","4","0","0"
32,"PRIEST","712","4.0","2.159090909090909","0.0","1","0","1"
33,"PRISONER","712","4.0","3.3636363636363638","0.0","1","0","0"
34,"RASCH","712","4.0","2.1363636363636362","0.0","2","0","1"
35,"RUSSIAN","712","4.0","2.9545454545454546","0.0","1","0","0"
36,"SCHERNER","712","3.0","1.9772727272727273","11.149999999999997","5","0","3"
37,"SCHINDLER","712","3.0","1.1818181818181819","784.3833333333333","37","0","1"
38,"SERGEANT","712","3.0","2.0454545454545454","0.0","3","0","2"
39,"SS OFFICER","712","3.0","2.0","8.416666666666666","4","0","3"
40,"STERN","712","3.0","1.8181818181818181","45.08333333333333","10","0","2"
41,"TEACHER","712","4.0","3.0","0.0","1","0","2"
42,"TOFFEL","712","4.0","2.1136363636363638","0.0","2","0","3"
43,"TREBLINKA GUY","712","4.0","2.6136363636363638","0.0","3","0","3"
44,"WAITER","712","4.0","2.1363636363636362","0.0","2","0","1"
45,"WORKER","712","3.0","1.9772727272727273","43.0","4","0","0"
