"from","to","weight"
"ANOTHER COP","COP",NA
"ANOTHER COP","JOHN DOE",NA
"BEARDSLEY","MILLS",NA
"BLEEKER","SOMERSET","5.0"
"CALIFORNIA","PILOT","2.0"
"CAPTAIN","CALIFORNIA",NA
"CAPTAIN","FEMALE COP",NA
"CAPTAIN","SOMERSET","3.0"
"CRAZED MAN","SECOND ATTENDANT",NA
"CRAZED MAN","SOMERSET",NA
"DARIO","MILLS",NA
"DAVIS","MILLS",NA
"DETECTIVE","MILLS",NA
"FAT MAN","COP",NA
"FEMALE COP","CALIFORNIA",NA
"FEMALE COP","MILLS",NA
"FEMALE COP","SOMERSET",NA
"FIRST THUG","SECOND THUG",NA
"FORENSIC","MILLS",NA
"FORENSIC","SOMERSET",NA
"JOHN DOE","CALIFORNIA",NA
"JOHN DOE","COP",NA
"JOHN DOE","MILLS","6.0"
"JOHN DOE","SOMERSET","2.0"
"MAN","MILLS",NA
"MAN","SOMERSET",NA
"MAN","TALBOT",NA
"MILLS","ANOTHER COP",NA
"MILLS","CALIFORNIA","2.0"
"MILLS","CAPTAIN","3.0"
"MILLS","CHRIS",NA
"MILLS","COP",NA
"MILLS","FIRST THUG",NA
"MILLS","JOHN",NA
"MILLS","MRS GOLD","2.0"
"MILLS","OLD MAN",NA
"MILLS","POLICEMAN",NA
"MILLS","SARA",NA
"MILLS","SARAH",NA
"MILLS","SECOND THUG",NA
"MILLS","SERGEANT",NA
"MILLS","SOMERSET","23.0"
"MILLS","STRANGE MAN","2.0"
"MILLS","TECHNICIAN",NA
"MILLS","UNIFORMED COP",NA
"MRS GOLD","SOMERSET","2.0"
"OFFICER","MILLS",NA
"PHOTOGRAPHER","MILLS",NA
"PHOTOGRAPHER","SOMERSET",NA
"PREACHER","JOHN",NA
"SANTIAGO","MILLS",NA
"SANTIAGO","SOMERSET",NA
"SARAH","SARA",NA
"SERGEANT","ANOTHER COP",NA
"SERGEANT","COP",NA
"SERGEANT","JOHN DOE",NA
"SERGEANT","UNIFORMED COP",NA
"SKETCH ARTIST","MILLS",NA
"SKETCH ARTIST","SARA",NA
"SKETCH ARTIST","SARAH",NA
"SOMERSET","ANOTHER COP",NA
"SOMERSET","CALIFORNIA","3.0"
"SOMERSET","CLERK",NA
"SOMERSET","COP",NA
"SOMERSET","DARIO",NA
"SOMERSET","DAVIS",NA
"SOMERSET","JOHN",NA
"SOMERSET","MOVER",NA
"SOMERSET","NUN",NA
"SOMERSET","POLICEMAN",NA
"SOMERSET","SERGEANT",NA
"SOMERSET","STONE",NA
"SOMERSET","TECHNICIAN",NA
"SOMERSET","TRACY","6.0"
"SOMERSET","UNIFORMED COP",NA
"STONE","NUN",NA
"STRANGE MAN","OLD MAN",NA
"SWARR","CAPTAIN",NA
"SWARR","MILLS",NA
"SWARR","SOMERSET",NA
"SWARR","TALBOT",NA
"TALBOT","CAPTAIN",NA
"TALBOT","MILLS","2.0"
"TALBOT","SOMERSET",NA
"TAYLOR","MILLS",NA
"TAYLOR","SOMERSET",NA
"TRACY","CLERK",NA
"TRACY","MILLS","4.0"
"TRACY","MOVER",NA
"TRACY","STRANGE MAN",NA
"UNIFORMED COP","ANOTHER COP",NA
"UNIFORMED COP","COP",NA
"UNIFORMED COP","JOHN DOE",NA
"WILD BILL","MILLS",NA
"WILD BILL","POLICEMAN",NA
"WILD BILL","SOMERSET",NA
"WILLIAM","SOMERSET","2.0"
"WOMAN","TRACY",NA
"WORKMAN","CAPTAIN",NA
"WORKMAN","SOMERSET",NA
