"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ANOTHER COP","716","3.0","1.9583333333333333","0.0","6","0","4"
2,"BEARDSLEY","716","4.0","2.2708333333333335","0.0","1","0","0"
3,"BLEEKER","716","3.0","2.3125","0.0","1","0","1"
4,"CALIFORNIA","716","3.0","1.9583333333333333","47.66666666666666","6","0","2"
5,"CAPTAIN","716","3.0","1.9375","10.333333333333334","7","0","2"
6,"CHRIS","716","4.0","2.2708333333333335","0.0","1","0","0"
7,"CLERK","716","3.0","2.25","0.0","2","0","3"
8,"COP","716","3.0","1.9375","47.0","7","0","4"
9,"CRAZED MAN","716","3.0","2.2708333333333335","47.0","2","0","1"
10,"DARIO","716","3.0","2.0625","0.0","2","0","0"
11,"DAVIS","716","3.0","2.0625","0.0","2","0","1"
12,"DETECTIVE","716","4.0","2.2708333333333335","0.0","1","0","0"
13,"FAT MAN","716","4.0","2.9166666666666665","0.0","1","0","4"
14,"FEMALE COP","716","3.0","2.0","0.0","4","0","2"
15,"FIRST THUG","716","4.0","2.25","0.0","2","0","0"
16,"FORENSIC","716","3.0","2.0625","0.0","2","0","1"
17,"JOHN","716","3.0","2.0208333333333335","47.0","3","0","1"
18,"JOHN DOE","716","3.0","1.9166666666666667","3.333333333333333","7","0","4"
19,"MAN","716","3.0","2.0416666666666665","0.0","3","0","2"
20,"MILLS","716","3.0","1.2916666666666667","604.6666666666667","35","0","0"
21,"MOVER","716","3.0","2.25","0.0","2","0","3"
22,"MRS GOLD","716","3.0","2.0625","0.0","2","0","0"
23,"NUN","716","3.0","2.2916666666666665","0.0","2","0","1"
24,"OFFICER","716","4.0","2.2708333333333335","0.0","1","0","0"
25,"OLD MAN","716","4.0","2.25","0.0","2","0","3"
26,"PHOTOGRAPHER","716","3.0","2.0625","0.0","2","0","1"
27,"PILOT","716","4.0","2.9375","0.0","1","0","2"
28,"POLICEMAN","716","3.0","2.0416666666666665","0.0","3","0","1"
29,"PREACHER","716","4.0","3.0","0.0","1","0","1"
30,"SANTIAGO","716","3.0","2.0625","0.0","2","0","1"
31,"SARA","716","4.0","2.2291666666666665","0.0","3","0","0"
32,"SARAH","716","4.0","2.2291666666666665","0.0","3","0","0"
33,"SECOND ATTENDANT","716","4.0","3.25","0.0","1","0","1"
34,"SECOND THUG","716","4.0","2.25","0.0","2","0","0"
35,"SERGEANT","716","3.0","1.9583333333333333","0.0","6","0","4"
36,"SKETCH ARTIST","716","4.0","2.2291666666666665","0.0","3","0","0"
37,"SOMERSET","716","2.0","1.3333333333333333","515.0","32","0","1"
38,"STONE","716","3.0","2.2916666666666665","0.0","2","0","1"
39,"STRANGE MAN","716","4.0","2.1666666666666665","1.6666666666666665","3","0","3"
40,"SWARR","716","3.0","2.0208333333333335","0.0","4","0","2"
41,"TALBOT","716","3.0","2.0","0.6666666666666666","5","0","2"
42,"TAYLOR","716","3.0","2.0625","0.0","2","0","0"
43,"TECHNICIAN","716","3.0","2.0625","0.0","2","0","1"
44,"TRACY","716","3.0","1.9583333333333333","64.66666666666667","6","0","3"
45,"UNIFORMED COP","716","3.0","1.9583333333333333","0.0","6","0","4"
46,"WILD BILL","716","3.0","2.0416666666666665","0.0","3","0","1"
47,"WILLIAM","716","3.0","2.3125","0.0","1","0","1"
48,"WOMAN","716","4.0","2.9375","0.0","1","0","3"
49,"WORKMAN","716","3.0","2.2916666666666665","0.0","2","0","2"
