"from","to","weight"
"BARTENDER","BEN",NA
"BARTENDER","CREATURE",NA
"BARTENDER","HUMAN",NA
"BARTENDER","LUKE",NA
"BARTENDER","THREEPIO",NA
"BEN","HAN","8.0"
"BEN","THREEPIO","5.0"
"BEN","TROOPER",NA
"BERU","LUKE",NA
"BERU","OWEN",NA
"BERU","THREEPIO",NA
"BIGGS","BEN",NA
"BIGGS","CAMIE",NA
"BIGGS","CHIEF",NA
"BIGGS","FIXER",NA
"BIGGS","GOLD LEADER",NA
"BIGGS","THREEPIO",NA
"CAMIE","FIXER",NA
"CHIEF","BEN",NA
"CHIEF","THREEPIO",NA
"COMMANDER","SECOND OFFICER",NA
"CREATURE","BEN",NA
"CREATURE","HUMAN",NA
"DEATH STAR INTERCOM VOICE","TARKIN",NA
"DEATH STAR INTERCOM VOICE","VADER",NA
"DODONNA","GOLD LEADER",NA
"DODONNA","LUKE",NA
"DODONNA","WEDGE",NA
"FIRST OFFICER","TROOPER",NA
"FIRST TROOPER","FIRST OFFICER",NA
"FIRST TROOPER","SECOND TROOPER","2.0"
"FIRST TROOPER","TROOPER",NA
"GANTRY OFFICER","BEN",NA
"GANTRY OFFICER","HAN",NA
"GANTRY OFFICER","LUKE",NA
"GANTRY OFFICER","THREEPIO",NA
"GOLD LEADER","LUKE",NA
"GOLD LEADER","RED LEADER",NA
"GOLD LEADER","WEDGE",NA
"GREEDO","HAN",NA
"HAN","FIRST TROOPER",NA
"HAN","INTERCOM VOICE",NA
"HAN","TECHNICIAN",NA
"HAN","THREEPIO","6.0"
"HUMAN","BEN",NA
"IMPERIAL OFFICER","TARKIN",NA
"IMPERIAL OFFICER","TROOPER",NA
"JABBA","HAN",NA
"LEIA","AUNT BERU",NA
"LEIA","BEN","2.0"
"LEIA","BIGGS",NA
"LEIA","CHIEF",NA
"LEIA","COMMANDER",NA
"LEIA","FIRST TROOPER",NA
"LEIA","HAN","10.0"
"LEIA","LUKE","11.0"
"LEIA","RED LEADER",NA
"LEIA","SECOND OFFICER",NA
"LEIA","TARKIN",NA
"LEIA","TECHNICIAN",NA
"LEIA","THREEPIO","3.0"
"LEIA","VADER",NA
"LUKE","AUNT BERU","2.0"
"LUKE","BEN","15.0"
"LUKE","BIGGS","4.0"
"LUKE","CAMIE",NA
"LUKE","CHIEF",NA
"LUKE","CREATURE",NA
"LUKE","FIRST TROOPER",NA
"LUKE","FIXER",NA
"LUKE","HAN","13.0"
"LUKE","HUMAN",NA
"LUKE","INTERCOM VOICE",NA
"LUKE","OWEN","3.0"
"LUKE","RED LEADER","3.0"
"LUKE","RED TEN",NA
"LUKE","TECHNICIAN",NA
"LUKE","TROOPER",NA
"MAN","HAN",NA
"MAN","LUKE",NA
"MOTTI","LEIA",NA
"MOTTI","TARKIN","2.0"
"MOTTI","VADER",NA
"OFFICER","FIRST TROOPER",NA
"OFFICER","HAN",NA
"OFFICER","INTERCOM VOICE",NA
"OFFICER","LUKE",NA
"OFFICER","SECOND TROOPER",NA
"OFFICER","TARKIN",NA
"OFFICER","VADER",NA
"OWEN","AUNT BERU","2.0"
"RED LEADER","BEN",NA
"RED LEADER","BIGGS","2.0"
"RED LEADER","CHIEF",NA
"RED LEADER","RED TEN",NA
"RED LEADER","THREEPIO",NA
"RED LEADER","WEDGE","2.0"
"RED NINE","RED LEADER",NA
"TAGGE","MOTTI",NA
"TAGGE","TARKIN",NA
"TAGGE","VADER",NA
"TARKIN","INTERCOM VOICE",NA
"TARKIN","TROOPER",NA
"THREEPIO","AUNT BERU",NA
"THREEPIO","CREATURE",NA
"THREEPIO","FIRST OFFICER",NA
"THREEPIO","FIRST TROOPER",NA
"THREEPIO","HUMAN",NA
"THREEPIO","LUKE","13.0"
"THREEPIO","OWEN",NA
"THREEPIO","TECHNICIAN",NA
"THREEPIO","TROOPER","2.0"
"TROOPER","HAN",NA
"VADER","BEN",NA
"VADER","COMMANDER",NA
"VADER","IMPERIAL OFFICER",NA
"VADER","INTERCOM VOICE",NA
"VADER","SECOND OFFICER",NA
"VADER","TARKIN","4.0"
"VADER","TROOPER",NA
"VADER","WINGMAN",NA
"WEDGE","BIGGS",NA
"WEDGE","LUKE","2.0"
"WILLARD","LEIA",NA
