"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"AUNT BERU","773","3.0","2.097560975609756","2.3146407685881365","4","0","0"
2,"BARTENDER","773","3.0","2.1951219512195124","0.0","5","0","0"
3,"BEN","773","3.0","1.7073170731707317","61.05190540453698","13","0","0"
4,"BERU","773","4.0","2.341463414634146","0.0","3","0","0"
5,"BIGGS","773","3.0","1.9268292682926829","22.91428571428571","10","0","3"
6,"CAMIE","773","4.0","2.3658536585365852","0.0","3","0","3"
7,"CHIEF","773","3.0","2.024390243902439","0.0","6","0","3"
8,"COMMANDER","773","3.0","2.3658536585365852","0.0","3","0","2"
9,"CREATURE","773","3.0","2.1951219512195124","0.0","5","0","0"
10,"DEATH STAR INTERCOM VOICE","773","4.0","2.926829268292683","0.0","2","0","2"
11,"DODONNA","773","4.0","2.3658536585365852","0.0","3","0","3"
12,"FIRST OFFICER","773","3.0","2.3658536585365852","0.0","3","0","1"
13,"FIRST TROOPER","773","3.0","1.9024390243902438","28.760714285714283","8","0","1"
14,"FIXER","773","4.0","2.3658536585365852","0.0","3","0","3"
15,"GANTRY OFFICER","773","3.0","2.1707317073170733","0.0","4","0","0"
16,"GOLD LEADER","773","4.0","2.292682926829268","0.9999999999999999","5","0","3"
17,"GREEDO","773","4.0","2.7560975609756095","0.0","1","0","1"
18,"HAN","773","3.0","1.7804878048780488","100.0434065934066","13","0","1"
19,"HUMAN","773","3.0","2.1951219512195124","0.0","5","0","0"
20,"IMPERIAL OFFICER","773","4.0","2.5121951219512195","0.0","3","0","2"
21,"INTERCOM VOICE","773","3.0","1.951219512195122","11.852760105391686","5","0","2"
22,"JABBA","773","4.0","2.7560975609756095","0.0","1","0","1"
23,"LEIA","773","2.0","1.6097560975609757","181.23256699440907","16","0","2"
24,"LUKE","773","3.0","1.4390243902439024","287.9778573035153","26","0","3"
25,"MAN","773","4.0","2.341463414634146","0.0","2","0","1"
26,"MOTTI","773","3.0","2.341463414634146","4.28765664160401","4","0","2"
27,"OFFICER","773","3.0","1.8780487804878048","31.774585502217086","7","0","1"
28,"OWEN","773","4.0","2.317073170731707","0.3333333333333333","4","0","0"
29,"RED LEADER","773","3.0","1.9268292682926829","54.85714285714287","10","0","3"
30,"RED NINE","773","4.0","2.902439024390244","0.0","1","0","3"
31,"RED TEN","773","4.0","2.3658536585365852","0.0","2","0","3"
32,"SECOND OFFICER","773","3.0","2.3658536585365852","0.0","3","0","2"
33,"SECOND TROOPER","773","4.0","2.707317073170732","0.0","2","0","1"
34,"TAGGE","773","4.0","2.902439024390244","0.0","3","0","2"
35,"TARKIN","773","3.0","2.1707317073170733","32.572984544695075","9","0","2"
36,"TECHNICIAN","773","3.0","2.048780487804878","0.0","4","0","1"
37,"THREEPIO","773","3.0","1.6341463414634145","83.28292927832405","18","0","0"
38,"TROOPER","773","3.0","1.829268292682927","51.3749646552278","9","0","2"
39,"VADER","773","3.0","1.975609756097561","112.36826601760812","13","0","2"
40,"WEDGE","773","4.0","2.292682926829268","0.9999999999999999","5","0","3"
41,"WILLARD","773","3.0","2.5853658536585367","0.0","1","0","2"
42,"WINGMAN","773","4.0","2.951219512195122","0.0","1","0","2"
