"from","to","weight"
"ANDY","TRAVIS",NA
"ASSISTANT","PALANTINE","2.0"
"ASSISTANT","TOM",NA
"BETSY","PALANTINE",NA
"BETSY","POLICEMAN",NA
"BETSY","SECRET SERVICE MAN",NA
"BETSY","TRAVIS","3.0"
"CHARLIE T","BETSY",NA
"CHARLIE T","TRAVIS",NA
"CONCESSION GIRL","TRAVIS",NA
"DOUGH-BOY","ANDY",NA
"DOUGH-BOY","CHARLIE T",NA
"IRIS","TOM",NA
"IRIS","TRAVIS","3.0"
"JOHN","PROSTITUTE",NA
"MAN","ASSISTANT",NA
"MAN","PALANTINE",NA
"MAN","TOM",NA
"MAN IN BUSINESS SUIT","JOHN",NA
"MAN IN BUSINESS SUIT","PROSTITUTE",NA
"OLD MAN","IRIS",NA
"OLD MAN","TOM",NA
"PALANTINE","POLICEMAN",NA
"PALANTINE","SECRET SERVICE MAN",NA
"PALANTINE","TOM","2.0"
"PALANTINE","TRAVIS","2.0"
"PERSONNEL OFFICER","JOHN",NA
"PERSONNEL OFFICER","MAN IN BUSINESS SUIT",NA
"PERSONNEL OFFICER","PROSTITUTE",NA
"PERSONNEL OFFICER","TRAVIS",NA
"PROFESSIONAL PASSENGER","TRAVIS",NA
"PROFESSIONAL PASSENGER","YOUNG PASSENGER",NA
"SECRET SERVICE MAN","POLICEMAN",NA
"SPORT","IRIS","3.0"
"SPORT","OLD MAN","2.0"
"SPORT","TOM",NA
"TOM","BETSY","2.0"
"TOM","POLICEMAN",NA
"TOM","SECRET SERVICE MAN",NA
"TOM","TRAVIS","3.0"
"TRAVIS","ASSISTANT",NA
"TRAVIS","DOUGH-BOY","2.0"
"TRAVIS","JOHN",NA
"TRAVIS","MAN",NA
"TRAVIS","MAN IN BUSINESS SUIT",NA
"TRAVIS","OLD MAN","2.0"
"TRAVIS","POLICEMAN",NA
"TRAVIS","PROSTITUTE",NA
"TRAVIS","SECRET SERVICE MAN",NA
"TRAVIS","SPORT","4.0"
"TRAVIS","WIZARD","2.0"
"WIZARD","BETSY",NA
"WIZARD","CHARLIE T","2.0"
"WIZARD","DOUGH-BOY","2.0"
"YOUNG PASSENGER","ANDY",NA
"YOUNG PASSENGER","DOUGH-BOY",NA
"YOUNG PASSENGER","TRAVIS",NA
