"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ANDY","808","2.0","1.8571428571428572","0.0","3","0","2"
2,"ASSISTANT","808","2.0","1.8095238095238095","0.0","4","0","1"
3,"BETSY","808","2.0","1.6666666666666667","4.0","7","0","2"
4,"CHARLIE T","808","2.0","1.8095238095238095","0.3333333333333333","4","0","2"
5,"CONCESSION GIRL","808","2.0","1.9523809523809523","0.0","1","0","2"
6,"DOUGH-BOY","808","2.0","1.7619047619047619","2.0","5","0","2"
7,"IRIS","808","2.0","1.8095238095238095","0.0","4","0","1"
8,"JOHN","808","2.0","1.8095238095238095","0.0","4","0","0"
9,"MAN","808","2.0","1.8095238095238095","0.0","4","0","1"
10,"MAN IN BUSINESS SUIT","808","2.0","1.8095238095238095","0.0","4","0","0"
11,"OLD MAN","808","2.0","1.8095238095238095","0.0","4","0","1"
12,"PALANTINE","808","2.0","1.6666666666666667","1.9999999999999998","7","0","1"
13,"PERSONNEL OFFICER","808","2.0","1.8095238095238095","0.0","4","0","0"
14,"POLICEMAN","808","2.0","1.7619047619047619","0.0","5","0","1"
15,"PROFESSIONAL PASSENGER","808","2.0","1.9047619047619047","0.0","2","0","2"
16,"PROSTITUTE","808","2.0","1.8095238095238095","0.0","4","0","0"
17,"SECRET SERVICE MAN","808","2.0","1.7619047619047619","0.0","5","0","1"
18,"SPORT","808","2.0","1.8095238095238095","0.0","4","0","1"
19,"TOM","808","2.0","1.5238095238095237","11.0","10","0","1"
20,"TRAVIS","808","1.0","1.0","153.33333333333331","21","0","2"
21,"WIZARD","808","2.0","1.8095238095238095","0.3333333333333333","4","0","2"
22,"YOUNG PASSENGER","808","2.0","1.8095238095238095","1.0","4","0","2"
