"from","to","weight"
"BARTENDER","DUDE",NA
"BARTENDER","THE STRANGER",NA
"BRANDT","BUNNY",NA
"BRANDT","WALTER",NA
"CHIEF","DUDE",NA
"CHINESE MAN","BLOND MAN",NA
"CHINESE MAN","WOO",NA
"DIETER","DONNY","2.0"
"DIETER","FRANZ","2.0"
"DIETER","KIEFFER","2.0"
"DIETER","MAUDE",NA
"DONNELLY","DUDE",NA
"DONNELLY","WALTER",NA
"DONNY","DUDE","11.0"
"DONNY","QUINTANA",NA
"DONNY","SMOKEY",NA
"DONNY","WALTER","9.0"
"DUDE","ALLAN",NA
"DUDE","BLOND MAN","2.0"
"DUDE","BRANDT","10.0"
"DUDE","BUNNY",NA
"DUDE","CHINESE MAN",NA
"DUDE","DA FINO",NA
"DUDE","DIETER","2.0"
"DUDE","DRIVER",NA
"DUDE","FIRST MAN","2.0"
"DUDE","FRANZ",NA
"DUDE","GARY","2.0"
"DUDE","KIEFFER",NA
"DUDE","MAN","3.0"
"DUDE","OLDER COP","2.0"
"DUDE","QUINTANA",NA
"DUDE","SECOND MAN",NA
"DUDE","SMOKEY",NA
"DUDE","THE STRANGER","2.0"
"DUDE","THIRD MAN",NA
"DUDE","TONY",NA
"DUDE","TREEHORN",NA
"DUDE","WALTER","23.0"
"DUDE","WOO","2.0"
"DUDE","YOUNGER COP","3.0"
"FIRST MAN","DIETER",NA
"FIRST MAN","THIRD MAN",NA
"FRANZ","DONNY",NA
"FRANZ","WALTER",NA
"GARY","THE STRANGER",NA
"HALLWAY","BRANDT",NA
"HALLWAY","DUDE",NA
"KIEFFER","DONNY",NA
"KIEFFER","FRANZ","2.0"
"KIEFFER","WALTER","2.0"
"MAN","BARTENDER",NA
"MAN","DA FINO",NA
"MAN","DONNELLY",NA
"MAN","DONNY",NA
"MAN","THE STRANGER",NA
"MAUDE","DUDE","4.0"
"MAUDE","WALTER",NA
"PILAR","DUDE",NA
"POLICEMAN","DUDE",NA
"QUINTANA","WALTER",NA
"SECOND MAN","DIETER",NA
"SECOND MAN","FIRST MAN",NA
"SECOND MAN","THIRD MAN",NA
"SMOKEY","WALTER","2.0"
"THIRD MAN","DIETER",NA
"WAITRESS","DIETER",NA
"WAITRESS","DUDE",NA
"WAITRESS","FRANZ",NA
"WAITRESS","KIEFFER",NA
"WAITRESS","WALTER",NA
"WALTER","DIETER","3.0"
"WALTER","MAN","2.0"
"WALTER","PILAR",NA
"WOMAN","WALTER",NA
"WOO","BLOND MAN",NA
"YOUNG MAN","DUDE","2.0"
"YOUNG WOMAN","BRANDT",NA
"YOUNG WOMAN","BUNNY",NA
"YOUNG WOMAN","DUDE",NA
"YOUNGER COP","OLDER COP","2.0"
