"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ALLAN","125","3.0","2.0","0.0","1","0","0"
2,"BARTENDER","125","3.0","1.9444444444444444","0.0","3","0","2"
3,"BLOND MAN","125","3.0","1.9444444444444444","0.0","3","0","0"
4,"BRANDT","125","2.0","1.8611111111111112","4.0","5","0","4"
5,"BUNNY","125","3.0","1.9444444444444444","0.0","3","0","4"
6,"CHIEF","125","3.0","2.0","0.0","1","0","0"
7,"CHINESE MAN","125","3.0","1.9444444444444444","0.0","3","0","0"
8,"DA FINO","125","3.0","1.9722222222222223","0.0","2","0","2"
9,"DIETER","125","2.0","1.7222222222222223","12.033333333333331","10","0","1"
10,"DONNELLY","125","2.0","1.9166666666666667","0.0","3","0","2"
11,"DONNY","125","2.0","1.7777777777777777","3.999999999999999","8","0","3"
12,"DRIVER","125","3.0","2.0","0.0","1","0","0"
13,"DUDE","125","2.0","1.0277777777777777","520.3666666666666","35","0","0"
14,"FIRST MAN","125","3.0","1.9166666666666667","0.0","4","0","1"
15,"FRANZ","125","2.0","1.8333333333333333","0.2","6","0","3"
16,"GARY","125","3.0","1.9722222222222223","0.0","2","0","2"
17,"HALLWAY","125","3.0","1.9722222222222223","0.0","2","0","4"
18,"KIEFFER","125","2.0","1.8333333333333333","0.2","6","0","3"
19,"MAN","125","2.0","1.8055555555555556","7.333333333333333","7","0","2"
20,"MAUDE","125","2.0","1.9166666666666667","0.0","3","0","1"
21,"OLDER COP","125","3.0","1.9722222222222223","0.0","2","0","0"
22,"PILAR","125","2.0","1.9444444444444444","0.0","2","0","3"
23,"POLICEMAN","125","3.0","2.0","0.0","1","0","0"
24,"QUINTANA","125","2.0","1.9166666666666667","0.0","3","0","3"
25,"SECOND MAN","125","3.0","1.9166666666666667","0.0","4","0","1"
26,"SMOKEY","125","2.0","1.9166666666666667","0.0","3","0","3"
27,"THE STRANGER","125","3.0","1.9166666666666667","1.0","4","0","2"
28,"THIRD MAN","125","3.0","1.9166666666666667","0.0","4","0","1"
29,"TONY","125","3.0","2.0","0.0","1","0","0"
30,"TREEHORN","125","3.0","2.0","0.0","1","0","0"
31,"WAITRESS","125","2.0","1.8611111111111112","0.0","5","0","3"
32,"WALTER","125","2.0","1.6111111111111112","57.86666666666667","14","0","3"
33,"WOMAN","125","3.0","2.5833333333333335","0.0","1","0","3"
34,"WOO","125","3.0","1.9444444444444444","0.0","3","0","0"
35,"YOUNG MAN","125","3.0","2.0","0.0","1","0","0"
36,"YOUNG WOMAN","125","3.0","1.9444444444444444","0.0","3","0","4"
37,"YOUNGER COP","125","3.0","1.9722222222222223","0.0","2","0","0"
