"from","to","weight"
"BARRIGAN","COLIN","6.0"
"BILLY","ASAP",NA
"BILLY","BANKROBBER",NA
"BILLY","BARRIGAN",NA
"BILLY","BARTENDER",NA
"BILLY","BILL",NA
"BILLY","BROWN","2.0"
"BILLY","COSTELLO","7.0"
"BILLY","DIGNAM","3.0"
"BILLY","FBI",NA
"BILLY","FRENCH",NA
"BILLY","GWEN",NA
"BILLY","MISTER FRENCH","4.0"
"BILLY","PRIESTS",NA
"BILLY","PROPRIETOR",NA
"BILLY","QUEENAN","6.0"
"BILLY","UNCLE",NA
"BILLY","YOUNG PRIEST",NA
"BILLY'S AUNT","BILLY","2.0"
"BILLY'S AUNT","SEAN",NA
"BOOKIE","BILLY",NA
"BRIAN","FRENCH",NA
"BROWN","BARRIGAN","3.0"
"CAMERA GEEK COP","ELLERBY",NA
"CHINESE TRANSLATOR","CHINESE GANGSTER",NA
"COLIN","BILL",NA
"COLIN","BILLY","4.0"
"COLIN","BROWN","8.0"
"COLIN","COSTELLO","6.0"
"COLIN","DETECTIVE 1","2.0"
"COLIN","DETECTIVE 2",NA
"COLIN","DIGNAM","2.0"
"COLIN","ELLERBY","4.0"
"COLIN","FRENCH",NA
"COLIN","GWEN",NA
"COLIN","LAZIO",NA
"COLIN","QUEENAN","2.0"
"COLIN","QUEENAN'S SECRETARY",NA
"COSTELLO","BARTENDER",NA
"COSTELLO","CHINESE GANGSTER",NA
"COSTELLO","CHINESE TRANSLATOR",NA
"COSTELLO","DIGNAM",NA
"COSTELLO","FRENCH","2.0"
"COSTELLO","GWEN","2.0"
"COSTELLO","JIMMY",NA
"COSTELLO","PRIESTS",NA
"COSTELLO","YOUNG PRIEST",NA
"DELAHUNT","BILLY","2.0"
"DETECTIVE 1","DETECTIVE 2","2.0"
"DETECTIVE 1","DETECTIVE 4",NA
"DIGNAM","QUEENAN","5.0"
"DIGNAM","SGT DIGNAM",NA
"DOME","COLIN",NA
"DOME","REALTOR",NA
"DRILL INSTRUCTOR","BILLY",NA
"ELLERBY","BROWN","2.0"
"ELLERBY","COSTELLO",NA
"ELLERBY","DIGNAM","2.0"
"ELLERBY","LAZIO","2.0"
"FADE UP ON","COSTELLO",NA
"FITZY","BILLY","2.0"
"FITZY","COLIN",NA
"FITZY","COSTELLO",NA
"FITZY","DELAHUNT","2.0"
"FITZY","MISTER FRENCH",NA
"LAZIO","DIGNAM",NA
"MADOLYN","BILLY","5.0"
"MADOLYN","COLIN","5.0"
"MADOLYN","COSTELLO","3.0"
"MADOLYN","GWEN",NA
"MISTER FRENCH","BARTENDER",NA
"MISTER FRENCH","BOOKIE",NA
"MISTER FRENCH","COSTELLO","5.0"
"MISTER FRENCH","DELAHUNT",NA
"MISTER FRENCH","FRENCH",NA
"MISTER FRENCH","GWEN",NA
"MRS KENNEFICK","BARRIGAN",NA
"MRS KENNEFICK","COLIN",NA
"NEWS ANCHOR","COSTELLO",NA
"NEWS ANCHOR","FITZY",NA
"NEWS ANCHOR","MISTER FRENCH",NA
"OTHER PRISONER","BILLY",NA
"PHONE TECH COP","DIGNAM",NA
"PHONE TECH COP","ELLERBY",NA
"PHONE TECH COP","LAZIO",NA
"PRIESTS","YOUNG PRIEST",NA
"PROPRIETOR","COLIN",NA
"PROPRIETOR","COSTELLO",NA
"PROPRIETOR","YOUNG COLIN",NA
"QUEENAN","ASAP",NA
"QUEENAN","BROWN",NA
"QUEENAN","COSTELLO",NA
"QUEENAN","ELLERBY","2.0"
"QUEENAN","FBI",NA
"QUEENAN","FITZY",NA
"QUEENAN","LAZIO",NA
"QUEENAN","PHONE TECH COP",NA
"QUEENAN'S SECRETARY","BROWN",NA
"REALTOR","COLIN",NA
"REPORTER","ELLERBY",NA
"SEAN","BILLY","3.0"
"SEAN","FRENCH",NA
"SEAN","MISTER FRENCH",NA
"SGT DIGNAM","BILLY","2.0"
"SGT DIGNAM","COLIN",NA
"SGT DIGNAM","ELLERBY",NA
"SGT DIGNAM","LAZIO",NA
"SGT DIGNAM","QUEENAN",NA
"SPEAKER","COSTELLO",NA
"VOICE ON PHONE","COLIN",NA
"YOUNG COLIN","COLIN",NA
"YOUNG COLIN","COSTELLO",NA
"YOUNG COSTELLO","COLIN",NA
"YOUNG COSTELLO","COSTELLO",NA
"YOUNG COSTELLO","INSTRUCTOR",NA
"YOUNG COSTELLO","PROPRIETOR",NA
"YOUNG COSTELLO","YOUNG COLIN","2.0"
