"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ASAP","250","4.0","2.4","0.0","2","0","2"
2,"BANKROBBER","250","4.0","2.52","0.0","1","0","2"
3,"BARRIGAN","250","3.0","2.16","6.500000000000001","4","0","0"
4,"BARTENDER","250","4.0","2.24","0.0","3","0","2"
5,"BILL","250","3.0","2.2","0.0","2","0","2"
6,"BILLY","250","3.0","1.54","451.0408730158731","27","0","2"
7,"BILLY'S AUNT","250","4.0","2.5","0.0","2","0","2"
8,"BOOKIE","250","4.0","2.48","0.0","2","0","2"
9,"BRIAN","250","4.0","2.96","0.0","1","0","2"
10,"BROWN","250","3.0","2.06","15.31190476190476","6","0","0"
11,"CAMERA GEEK COP","250","4.0","3.0","0.0","1","0","1"
12,"CHINESE GANGSTER","250","4.0","2.54","0.0","2","0","3"
13,"CHINESE TRANSLATOR","250","4.0","2.54","0.0","2","0","3"
14,"COLIN","250","2.0","1.52","453.0706349206351","24","0","0"
15,"COSTELLO","250","3.0","1.58","367.9650793650793","22","0","3"
16,"DELAHUNT","250","4.0","2.46","0.0","3","0","2"
17,"DETECTIVE 1","250","3.0","2.44","49.0","3","0","0"
18,"DETECTIVE 2","250","3.0","2.46","0.0","2","0","0"
19,"DETECTIVE 4","250","4.0","3.42","0.0","1","0","0"
20,"DIGNAM","250","3.0","1.9","23.71349206349206","8","0","1"
21,"DOME","250","3.0","2.48","0.0","2","0","0"
22,"DRILL INSTRUCTOR","250","4.0","2.52","0.0","1","0","2"
23,"ELLERBY","250","3.0","2.02","111.37936507936506","10","0","1"
24,"FADE UP ON","250","4.0","2.56","0.0","1","0","3"
25,"FBI","250","4.0","2.4","0.0","2","0","2"
26,"FITZY","250","3.0","1.96","21.941666666666674","7","0","2"
27,"FRENCH","250","3.0","1.98","58.85","6","0","2"
28,"GWEN","250","3.0","2.02","2.15","5","0","3"
29,"INSTRUCTOR","250","4.0","3.18","0.0","1","0","3"
30,"JIMMY","250","4.0","2.56","0.0","1","0","3"
31,"LAZIO","250","3.0","2.3","3.6924603174603177","6","0","1"
32,"MADOLYN","250","3.0","2.04","0.0","4","0","3"
33,"MISTER FRENCH","250","4.0","2.08","27.598015873015882","10","0","2"
34,"MRS KENNEFICK","250","3.0","2.48","0.0","2","0","0"
35,"NEWS ANCHOR","250","4.0","2.46","0.0","3","0","2"
36,"OTHER PRISONER","250","4.0","2.52","0.0","1","0","2"
37,"PHONE TECH COP","250","4.0","2.7","0.0","4","0","1"
38,"PRIESTS","250","4.0","2.24","0.0","3","0","3"
39,"PROPRIETOR","250","3.0","2.0","8.95","5","0","3"
40,"QUEENAN","250","3.0","1.82","64.44960317460317","12","0","1"
41,"QUEENAN'S SECRETARY","250","3.0","2.48","0.0","2","0","0"
42,"REALTOR","250","3.0","2.48","0.0","2","0","0"
43,"REPORTER","250","4.0","3.0","0.0","1","0","1"
44,"SEAN","250","4.0","2.42","1.75","4","0","2"
45,"SGT DIGNAM","250","3.0","2.06","6.636904761904763","6","0","1"
46,"SPEAKER","250","4.0","2.56","0.0","1","0","3"
47,"UNCLE","250","4.0","2.52","0.0","1","0","2"
48,"VOICE ON PHONE","250","3.0","2.5","0.0","1","0","0"
49,"YOUNG COLIN","250","3.0","2.22","0.0","4","0","3"
50,"YOUNG COSTELLO","250","3.0","2.2","49.0","5","0","3"
51,"YOUNG PRIEST","250","4.0","2.24","0.0","3","0","3"
