"from","to","weight"
"APPOLONIA","DON TOMMASSINO",NA
"BRUNO","SOLLOZZO",NA
"CALO","MICHAEL","2.0"
"CARLO","CONNIE","3.0"
"CARLO","HAGEN",NA
"CARLO","MICHAEL","3.0"
"CARLO","PAULIE",NA
"CARLO","WOMAN",NA
"CLEMENZA","CARLO",NA
"CLEMENZA","DON CORLEONE",NA
"CLEMENZA","HAGEN","3.0"
"CLEMENZA","KAY",NA
"CLEMENZA","LAMPONE",NA
"CLEMENZA","SOLLOZZO",NA
"CONNIE","GIRL",NA
"CONNIE","KAY",NA
"CONNIE","MICHAEL","2.0"
"DON CORLEONE","BARZINI",NA
"DON CORLEONE","BONASERA","2.0"
"DON CORLEONE","CARLO",NA
"DON CORLEONE","FREDO",NA
"DON CORLEONE","GENCO",NA
"DON CORLEONE","JOHNNY","2.0"
"DON CORLEONE","MICHAEL","4.0"
"DON CORLEONE","SANDRA",NA
"DON CORLEONE","SONNY","3.0"
"DRIVER","SONNY",NA
"FABRIZZIO","CALO","2.0"
"FABRIZZIO","VITELLI",NA
"FREDO","JOHNNY",NA
"FREDO","MICHAEL","3.0"
"FREDO","MOE",NA
"GIRL","CARLO",NA
"GIRL","MICHAEL",NA
"GIRL","TESSIO",NA
"HAGEN","BONASERA","2.0"
"HAGEN","DON CORLEONE","7.0"
"HAGEN","FREDO","2.0"
"HAGEN","KAY","2.0"
"HAGEN","MAMA",NA
"HAGEN","MICHAEL","6.0"
"HAGEN","PAULIE",NA
"HAGEN","WOLTZ",NA
"JOHNNY","HAGEN",NA
"JOHNNY","MOE",NA
"JOHNNY","SONNY",NA
"KAY","DON CORLEONE",NA
"KAY","JOHNNY",NA
"KAY","MAMA","2.0"
"KAY","SONNY",NA
"LAMPONE","PAULIE","2.0"
"LUCA","DON CORLEONE",NA
"LUCA","HAGEN",NA
"LUCA","SOLLOZZO",NA
"LUCY","HAGEN",NA
"MAN","LUCA",NA
"MAN","MAN 2",NA
"MAN","SOLLOZZO",NA
"MCCLUSKEY","COP",NA
"MCCLUSKEY","MICHAEL","2.0"
"MCCLUSKEY","SOLLOZZO",NA
"MICHAEL","APPOLONIA","2.0"
"MICHAEL","CLEMENZA","4.0"
"MICHAEL","COP",NA
"MICHAEL","DON TOMMASSINO","2.0"
"MICHAEL","ENZO",NA
"MICHAEL","FABRIZZIO","3.0"
"MICHAEL","JOHNNY","2.0"
"MICHAEL","KAY","7.0"
"MICHAEL","MAN",NA
"MICHAEL","MOE",NA
"MICHAEL","SOLLOZZO","2.0"
"MICHAEL","SONNY","3.0"
"NAZORINE","DON CORLEONE",NA
"NAZORINE","HAGEN",NA
"NERI","DRIVER",NA
"NERI","MICHAEL",NA
"NURSE","MICHAEL","2.0"
"NURSE","SONNY",NA
"PAULIE","CLEMENZA","4.0"
"PAULIE","WOMAN",NA
"PRIEST","MICHAEL","3.0"
"SANDRA","CLEMENZA",NA
"SANDRA","SOLLOZZO",NA
"SOLLOZZO","DON CORLEONE",NA
"SOLLOZZO","HAGEN","3.0"
"SONNY","CLEMENZA","4.0"
"SONNY","CONNIE",NA
"SONNY","FREDO",NA
"SONNY","HAGEN","6.0"
"SONNY","MAMA",NA
"SONNY","PAULIE",NA
"SONNY","SANDRA","2.0"
"SONNY","SOLLOZZO",NA
"SONNY","TESSIO","2.0"
"TESSIO","CARLO",NA
"TESSIO","CLEMENZA","2.0"
"TESSIO","DON CORLEONE",NA
"TESSIO","HAGEN","2.0"
"TESSIO","MICHAEL","3.0"
"THE GODFATHER","BONASERA",NA
"THE GODFATHER","DON CORLEONE",NA
"VITELLI","CALO",NA
"VITELLI","MICHAEL",NA
