"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"APPOLONIA","355","3.0","2.341463414634146","0.0","2","0","2"
2,"BARZINI","355","4.0","2.5853658536585367","0.0","1","0","3"
3,"BONASERA","355","4.0","2.4390243902439024","1.95","3","0","3"
4,"BRUNO","355","4.0","2.7560975609756095","0.0","1","0","1"
5,"CALO","355","3.0","2.317073170731707","0.0","3","0","2"
6,"CARLO","355","3.0","1.853658536585366","42.642532467532476","9","0","4"
7,"CLEMENZA","355","3.0","1.7560975609756098","46.239285714285714","11","0","4"
8,"CONNIE","355","3.0","2.1463414634146343","2.026190476190476","5","0","4"
9,"COP","355","3.0","2.341463414634146","0.0","2","0","2"
10,"DON CORLEONE","355","3.0","1.6097560975609757","166.46244588744594","17","0","3"
11,"DON TOMMASSINO","355","3.0","2.341463414634146","0.0","2","0","2"
12,"DRIVER","355","4.0","2.5853658536585367","1.15","2","0","0"
13,"ENZO","355","3.0","2.3658536585365852","0.0","1","0","2"
14,"FABRIZZIO","355","3.0","2.317073170731707","0.0","3","0","2"
15,"FREDO","355","3.0","1.951219512195122","4.583333333333334","6","0","0"
16,"GENCO","355","4.0","2.5853658536585367","0.0","1","0","3"
17,"GIRL","355","3.0","2.2439024390243905","0.25","4","0","4"
18,"HAGEN","355","3.0","1.6097560975609757","151.10173160173161","17","0","3"
19,"JOHNNY","355","3.0","1.9268292682926829","5.408333333333334","7","0","0"
20,"KAY","355","3.0","1.8780487804878048","10.424675324675324","8","0","0"
21,"LAMPONE","355","4.0","2.682926829268293","0.0","2","0","4"
22,"LUCA","355","3.0","2.292682926829268","6.583333333333332","4","0","1"
23,"LUCY","355","4.0","2.5853658536585367","0.0","1","0","3"
24,"MAMA","355","4.0","2.4390243902439024","0.0","3","0","0"
25,"MAN","355","3.0","2.1951219512195124","42.933766233766235","4","0","1"
26,"MAN 2","355","4.0","3.1707317073170733","0.0","1","0","1"
27,"MCCLUSKEY","355","3.0","2.2439024390243905","1.4000000000000001","3","0","2"
28,"MICHAEL","355","2.0","1.3902439024390243","416.0695887445888","25","0","2"
29,"MOE","355","3.0","2.317073170731707","0.0","3","0","0"
30,"NAZORINE","355","4.0","2.4634146341463414","0.0","2","0","3"
31,"NERI","355","3.0","2.317073170731707","6.125000000000001","2","0","0"
32,"NURSE","355","3.0","2.2439024390243905","0.0","2","0","0"
33,"PAULIE","355","4.0","2.292682926829268","15.81904761904762","6","0","4"
34,"PRIEST","355","3.0","2.3658536585365852","0.0","1","0","2"
35,"SANDRA","355","3.0","2.268292682926829","0.0","4","0","1"
36,"SOLLOZZO","355","3.0","1.7804878048780488","71.93777056277058","10","0","1"
37,"SONNY","355","3.0","1.6585365853658536","82.65844155844157","15","0","0"
38,"TESSIO","355","3.0","1.8780487804878048","5.23452380952381","7","0","4"
39,"THE GODFATHER","355","4.0","2.5609756097560976","0.0","2","0","3"
40,"VITELLI","355","3.0","2.317073170731707","0.0","3","0","2"
41,"WOLTZ","355","4.0","2.5853658536585367","0.0","1","0","3"
42,"WOMAN","355","4.0","2.731707317073171","0.0","2","0","4"
