"from","to","weight"
"ARAGORN","BOROMIR","5.0"
"ARAGORN","GIMLI","4.0"
"ARAGORN","LEGOLAS","7.0"
"ARAGORN","SARUMAN",NA
"ARWEN","FRODO",NA
"ARWEN","GANDALF",NA
"ARWEN","PIPPIN",NA
"ARWEN","SAM",NA
"ARWEN","STRIDER","3.0"
"BILBO","FRODO","3.0"
"BILBO","MERRY",NA
"BILBO","PIPPIN",NA
"BOROMIR","ARWEN",NA
"BOROMIR","FRODO","4.0"
"BOROMIR","SARUMAN",NA
"BOROMIR","STRIDER","2.0"
"ELROND","ARAGORN",NA
"ELROND","BOROMIR",NA
"ELROND","FRODO",NA
"ELROND","GANDALF","3.0"
"ELROND","GIMLI",NA
"ELROND","LEGOLAS",NA
"ELROND","MERRY",NA
"ELROND","PIPPIN",NA
"ELROND","SAM",NA
"ELROND","STRIDER",NA
"FRO DO","FRODO",NA
"FRODO","ARAGORN","5.0"
"FRODO","BUTTERBUR","2.0"
"FRODO","FARMER MAGGOT",NA
"FRODO","GATEKEEPER",NA
"GALADRIEL","ARAGORN",NA
"GALADRIEL","BILBO",NA
"GALADRIEL","FRODO",NA
"GALADRIEL","GANDALF",NA
"GALADRIEL","GOLLUM",NA
"GALADRIEL","HALDIR",NA
"GALADRIEL","SAM","2.0"
"GANDALF","ARAGORN","5.0"
"GANDALF","BILBO","5.0"
"GANDALF","BOROMIR","3.0"
"GANDALF","FRO DO","2.0"
"GANDALF","FRODO","11.0"
"GANDALF","GIMLI","5.0"
"GANDALF","GOLLUM",NA
"GANDALF","LEGOLAS","3.0"
"GANDALF","MERRY","3.0"
"GANDALF","PIPPIN","2.0"
"GANDALF","SAM","6.0"
"GIMLI","BOROMIR","4.0"
"GIMLI","FRODO","4.0"
"GIMLI","GALADRIEL",NA
"GIMLI","HALDIR",NA
"GIMLI","LEGOLAS","4.0"
"GIMLI","SARUMAN",NA
"GIMLI","STRIDER",NA
"GOLLUM","BILBO",NA
"HALDIR","ARAGORN",NA
"LEGOLAS","BOROMIR","3.0"
"LEGOLAS","FRODO","2.0"
"LEGOLAS","STRIDER",NA
"LURTZ","ARAGORN",NA
"LURTZ","BOROMIR",NA
"LURTZ","LEGOLAS",NA
"LURTZ","MERRY",NA
"LURTZ","PIPPIN",NA
"MERRY","ARAGORN","4.0"
"MERRY","BOROMIR","2.0"
"MERRY","BUTTERBUR",NA
"MERRY","FARMER MAGGOT",NA
"MERRY","FRO DO",NA
"MERRY","FRODO","7.0"
"MERRY","GIMLI","3.0"
"MERRY","LEGOLAS","3.0"
"MERRY","SAM","7.0"
"ORC OVERSEER","SARUMAN","2.0"
"PIPPIN","ARAGORN","2.0"
"PIPPIN","BOROMIR","2.0"
"PIPPIN","BUTTERBUR",NA
"PIPPIN","FARMER MAGGOT",NA
"PIPPIN","FRO DO",NA
"PIPPIN","FRODO","6.0"
"PIPPIN","GIMLI",NA
"PIPPIN","LEGOLAS","2.0"
"PIPPIN","MERRY","7.0"
"PIPPIN","SAM","7.0"
"PIPPIN","STRIDER","2.0"
"SAM","ARAGORN","4.0"
"SAM","BILBO","2.0"
"SAM","BOROMIR","2.0"
"SAM","BUTTERBUR",NA
"SAM","FARMER MAGGOT",NA
"SAM","FRODO","10.0"
"SAM","GIMLI","3.0"
"SAM","HALDIR",NA
"SAM","LEGOLAS","3.0"
"SAM","LURTZ",NA
"SAM","STRIDER","5.0"
"SARUMAN","FRODO",NA
"SARUMAN","GANDALF","5.0"
"SARUMAN","LURTZ",NA
"STRIDER","ARAGORN",NA
"STRIDER","FRODO","3.0"
"STRIDER","GANDALF",NA
"STRIDER","MERRY","4.0"
"WITCH KING","ARWEN",NA
