"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ARAGORN","512","3.0","1.434782608695652","9.873809523809523","14","0","2"
2,"ARWEN","512","3.0","1.7391304347826086","22.0","7","0","3"
3,"BILBO","512","3.0","1.7826086956521738","3.3833333333333333","7","0","1"
4,"BOROMIR","512","2.0","1.434782608695652","6.788095238095239","13","0","2"
5,"BUTTERBUR","512","3.0","1.9565217391304348","0.0","4","0","0"
6,"ELROND","512","3.0","1.6521739130434783","0.0","10","0","2"
7,"FARMER MAGGOT","512","3.0","1.9565217391304348","0.0","4","0","0"
8,"FRO DO","512","3.0","1.9565217391304348","0.0","4","0","0"
9,"FRODO","512","2.0","1.2173913043478262","48.36904761904761","18","0","0"
10,"GALADRIEL","512","3.0","1.7391304347826086","5.292857142857143","8","0","1"
11,"GANDALF","512","2.0","1.3043478260869565","27.902380952380952","16","0","1"
12,"GATEKEEPER","512","3.0","2.1739130434782608","0.0","1","0","0"
13,"GIMLI","512","3.0","1.4782608695652173","7.802380952380953","13","0","2"
14,"GOLLUM","512","3.0","2.130434782608696","0.0","3","0","1"
15,"HALDIR","512","3.0","2.0","0.0","4","0","1"
16,"LEGOLAS","512","3.0","1.608695652173913","0.9880952380952382","11","0","2"
17,"LURTZ","512","3.0","1.826086956521739","1.3333333333333333","7","0","2"
18,"MERRY","512","3.0","1.434782608695652","11.235714285714284","15","0","0"
19,"ORC OVERSEER","512","4.0","2.6956521739130435","0.0","1","0","2"
20,"PIPPIN","512","3.0","1.3478260869565217","16.069047619047616","16","0","0"
21,"SAM","512","3.0","1.3043478260869565","23.64047619047619","17","0","1"
22,"SARUMAN","512","3.0","1.7391304347826086","22.654761904761905","7","0","2"
23,"STRIDER","512","3.0","1.565217391304348","1.6666666666666665","11","0","2"
24,"WITCH KING","512","4.0","2.6956521739130435","0.0","1","0","3"
