"from","to","weight"
"AGENT BROWN","AGENT SMITH","2.0"
"AGENT JONES","AGENT BROWN","3.0"
"AGENT JONES","AGENT SMITH","3.0"
"AGENT JONES","TRINITY",NA
"AGENT SMITH","LIEUTENANT",NA
"AGENT SMITH","MORPHEUS","2.0"
"AGENT SMITH","NEO","5.0"
"AGENT SMITH","TRINITY",NA
"ANTHONY","DUJOUR","2.0"
"ANTHONY","NEO",NA
"APOC","MOUSE",NA
"APOC","NEO",NA
"APOC","SWITCH","2.0"
"APOC","TANK","2.0"
"APOC","TRINITY","2.0"
"CABLE","APOC","2.0"
"CABLE","CYPHER",NA
"CABLE","MORPHEUS",NA
"CABLE","NEO",NA
"CABLE","SWITCH",NA
"CABLE","TRINITY",NA
"COPS","COP",NA
"CYPHER","AGENT SMITH",NA
"CYPHER","APOC","2.0"
"CYPHER","MORPHEUS","2.0"
"CYPHER","NEO","3.0"
"CYPHER","SWITCH",NA
"CYPHER","TANK","3.0"
"DOZER","CYPHER","2.0"
"DUJOUR","NEO",NA
"GIZMO","MORPHEUS",NA
"MAN","CYPHER",NA
"MAN","DOZER",NA
"MAN","NEO",NA
"MAN","TRINITY","3.0"
"MAN","WOMAN","2.0"
"MOJO","MORPHEUS",NA
"MOJO","REX",NA
"MORPHEUS","APOC",NA
"MORPHEUS","COP",NA
"MORPHEUS","COPS",NA
"MORPHEUS","DOZER",NA
"MORPHEUS","MAN",NA
"MORPHEUS","NEO","10.0"
"MORPHEUS","PRIESTESS",NA
"MORPHEUS","TRINITY","5.0"
"MORPHEUS","WOMAN",NA
"MOUSE","CABLE","3.0"
"MOUSE","CYPHER",NA
"MOUSE","MORPHEUS",NA
"MOUSE","NEO",NA
"MOUSE","SWITCH",NA
"MOUSE","TANK","4.0"
"MOUSE","TRINITY",NA
"NEO","AGENT JONES",NA
"NEO","DOZER",NA
"NEO","GIZMO",NA
"NEO","OLD MAN",NA
"NEO","ORACLE",NA
"NEO","PRIESTESS","2.0"
"NEO","TANK","5.0"
"NEO","TRINITY","10.0"
"OLD MAN","TRINITY",NA
"PILOT","AGENT JONES",NA
"PILOT","NEO",NA
"PILOT","TRINITY",NA
"RHINEHEART","NEO",NA
"SERGEANT","AGENT JONES",NA
"SPOON BOY","NEO",NA
"SPOON BOY","PRIESTESS",NA
"SWITCH","NEO",NA
"SWITCH","TANK","2.0"
"TALL EMPLOYEE","MORPHEUS",NA
"TALL EMPLOYEE","NEO",NA
"TANK","CABLE","2.0"
"TANK","DOZER",NA
"TANK","MORPHEUS","5.0"
"TRINITY","COP",NA
"TRINITY","COPS",NA
"TRINITY","CYPHER","5.0"
"TRINITY","DOZER",NA
"TRINITY","GIZMO","2.0"
"TRINITY","SWITCH",NA
"TRINITY","TANK","7.0"
"WOMAN","CYPHER",NA
"WOMAN","DOZER",NA
"WOMAN","NEO",NA
"WOMAN","TRINITY","2.0"
