"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"AGENT BROWN","543","4.0","2.6666666666666665","0.0","2","0","1"
2,"AGENT JONES","543","4.0","1.9","39.133333333333326","6","0","1"
3,"AGENT SMITH","543","3.0","1.8","48.20000000000002","7","0","1"
4,"ANTHONY","543","4.0","2.2","0.0","2","0","2"
5,"APOC","543","3.0","1.8666666666666667","0.42857142857142855","8","0","3"
6,"CABLE","543","3.0","1.8666666666666667","0.42857142857142855","8","0","3"
7,"COP","543","3.0","2.2","0.0","3","0","4"
8,"COPS","543","3.0","2.2","0.0","3","0","4"
9,"CYPHER","543","3.0","1.6666666666666667","9.378571428571428","12","0","3"
10,"DOZER","543","3.0","1.9","0.4","7","0","4"
11,"DUJOUR","543","4.0","2.2","0.0","2","0","2"
12,"GIZMO","543","3.0","2.033333333333333","0.0","3","0","4"
13,"LIEUTENANT","543","4.0","2.7666666666666666","0.0","1","0","1"
14,"MAN","543","3.0","1.9333333333333333","0.0","6","0","4"
15,"MOJO","543","4.0","2.3666666666666667","29.0","2","0","0"
16,"MORPHEUS","543","3.0","1.4666666666666666","101.86666666666667","17","0","4"
17,"MOUSE","543","3.0","1.8666666666666667","0.42857142857142855","8","0","3"
18,"NEO","543","3.0","1.2666666666666666","197.97857142857137","23","0","2"
19,"OLD MAN","543","4.0","2.1333333333333333","0.0","2","0","2"
20,"ORACLE","543","4.0","2.2333333333333334","0.0","1","0","2"
21,"PILOT","543","4.0","2.033333333333333","0.0","3","0","1"
22,"PRIESTESS","543","3.0","2.033333333333333","2.1666666666666665","3","0","2"
23,"REX","543","5.0","3.3333333333333335","0.0","1","0","0"
24,"RHINEHEART","543","4.0","2.2333333333333334","0.0","1","0","2"
25,"SERGEANT","543","5.0","2.8666666666666667","0.0","1","0","1"
26,"SPOON BOY","543","4.0","2.2","0.0","2","0","2"
27,"SWITCH","543","4.0","1.9666666666666666","0.0","7","0","3"
28,"TALL EMPLOYEE","543","3.0","2.066666666666667","0.0","2","0","2"
29,"TANK","543","3.0","1.8333333333333333","1.2785714285714285","9","0","3"
30,"TRINITY","543","3.0","1.4333333333333333","71.31190476190476","18","0","4"
31,"WOMAN","543","3.0","1.9333333333333333","0.0","6","0","4"
